用户,是否看过,评分,评论时间,有用数,评论
张小北,看过,推荐,2016/9/12 1:22,510,该导演的第一部真人电影，算上鼓励分得有4星半了。叙事和技术做的很成熟。（我觉得中国电影要承认差距，但不认同某些人说的什么甩几条街……看看韩国导演来中国拍的那叫什么啊……技术和决心都有，无奈审查坑爹）
暹罗copen,看过,力荐,2016/8/20 16:57,2931,同在亞洲，差距好大，越看越沮喪。
浩子菌,看过,力荐,2016/9/13 4:15,1511,霓虹有寄生兽，棒子有釜山行，我大天朝有什么呢？床下有鬼之床下又有鬼。
王大根,看过,力荐,2016/9/12 0:39,922,《上海行》，G101次列车，北京开往上海，中途被要求在徐州下车。今年要上的那部抄韩国片的《美好的意外》，陈坤、桂纶镁、王景春，搬过来演三个主角刚好。棒球小伙找李现，棒球改成篮球，小女朋友就来个吴倩吧。会演戏的小孩想不出来，改成少女，张子枫。好了不做梦了，睡觉。
犬系少女刘七七,看过,力荐,2016/9/14 13:52,893,一个小小的建议：你可以晚上看吃饭时看，请不要乘高铁时看，会怀疑人生的。
夜麻麻嘛,看过,力荐,2016/8/31 22:33,254,我本来还挺怕的，但是看见孔侑的大长腿简直一秒跳戏prprprprpr 腿简直到我胸啊prprprprpr 我要回去把孔侑以前的电影都看个遍！！
LeungChanXXX,看过,推荐,2016/8/22 0:47,557,过瘾。节奏快，人设饱满。尽管依旧是千篇一律的西方丧尸电影模式，但韩国这次的尝试还是蛮成功的，群尸场面能媲美《僵尸世界大战》，行动与感染速度赶得上《惊变28周》，每段丧尸追逐戏都能看得手心出汗。当然核心还是人性刻画与反思，有几处煽情的地方都把我旁边的观众煽哭了。
Wongwongwong,看过,力荐,2016/8/30 21:47,224,前4/5和基友疯狂吐槽 后面哭成狗 艾玛。。圣母的光环照耀大地；孕妇和小孩拿着丧尸电影的免死金牌；韩国人反射弧好长 发呆5分钟才跑；小女孩太丑了实在太丑了又黑又丑
完达山一号,看过,推荐,2018/1/15 10:15,208,满屏放不下的孔侑叔叔的大长腿，和女主第二次合作了，看的怕怕的，坐高铁都有阴影了～～～人性人性，时常在想，自己遇到这种情况是会怎么样呢？好在结局把女人和小孩接回去了，而没有被放弃，嗯
蔕,看过,还行,2016/9/11 22:15,2384,爸爸知道自己感染快不行了，最后时刻回忆起女儿出生时的情景，笑着从车尾掉下去。这一段还是比较感人的。但影片整体不算精彩，且韩国电影特容易出现的人物发愣、呆滞的节奏，此片也不断出现，言情剧出现这个还能理解，但你这是丧尸片啊，人物的表情停顿时间过长很影响观感
弗朗索瓦张。,看过,推荐,2016/8/20 5:12,181,年度十佳候选，韩国人第一次拍丧尸就直接拔高到了绝对的亚洲第一水准。尽管毛病还是很多，剧情略俗，但韩国人对于欧美先进事物的学习吸收能力不得不说一向一流。
桃桃林林,看过,还行,2016/5/15 4:18,1046,比预想的好，《僵尸世界大战》的僵尸模式，虽然不可避免的出现了很多套路与恶意煽情的东西，但是，惊悚的氛围把握还是挺准确的
芦哲峰,看过,还行,2016/9/12 17:13,890,这是丧尸片，不是僵尸片。丧尸与僵尸最大的区别在于，丧尸是活人变的，僵尸的死人变的。人与丧尸僵尸最大的区别在于，人有坏心眼。
曾良君,看过,推荐,2016/9/12 7:15,133,今晚可以说不看不是人了，赶紧看了一下
明珠一颗孙小美,看过,推荐,2016/9/14 16:43,151,韩国人在批判政府和资本上完全不花功夫刻画，大概是毫不避讳吧，他们竟然在意识形态上面甩了我们这么远。
俺饭栓Q嗯韭？,看过,推荐,2018/2/2 10:49,107,非常感人，明明是惊悚片，却赚足了我的眼泪。考验人性的时刻，人性经得住考验吗？在看完的很长一段时间里，坐高铁动车的时候都细心观察身边的人，生怕有人反常，哈哈哈，怕是中毒太深。
小柚子×旅行家,看过,力荐,2016/9/12 12:01,183,今年截止8月最致郁的电影。比贪婪可怕的是病毒，比病毒致命的是政治，比政治更黑暗的是人性。五星推荐。
嘿呀艾玛,看过,推荐,2018/1/17 19:41,68,虽然题材是关于丧尸的题材，里面的情节很紧张紧凑，但是整个影片下来最重要的讲的是人性和亲情还有爱情，我感触很深的是那对棒球队的情侣，怀孕的妇人和他的老公，还有那个老婆婆，最后就是那对父母，父亲在最后感染的时候跳下火车，还有中间系列对人性的考验，看完后内心会非常的压抑，很感动
木由,看过,力荐,2016/9/14 20:01,307,发现我的哭点很奇怪，开始为胖大叔哭，再被丧尸吓哭，绝望哭，为瘦大叔哭，再被狙击手吓哭，为小女孩的歌哭一直哭到喉咙充血脑子不会动像只丧尸，缓了好久才来写影评。上次哭成这样还是忠犬八公。感恩导演没有为噱头击杀她们，不然我会哭死的。以后我嫁老公就一个标准，好人，能打架，带我逃。
宠,看过,推荐,2018/2/12 15:57,91,这是看过的丧尸片子里最让人感觉到舒服的！以往看丧尸片会让人感觉画面很血腥！不舒服！但这部片子以改往常的丧尸片，在丧尸片中加入了人性的考验！我觉得这位导演还是很棒的！到最后小女孩唱起歌的时候，瞬间泪目，扫去了之前丧尸的恐怖！看完之后会引起我们的思考！里面每一个演员都表现得很出色！
冰拿铁,看过,力荐,2016/7/23 23:45,105,虽然有些情节交代的马马虎虎，不过被丧尸追逐什么的很精彩刺激，还有笑点，泪点。最喜欢最后车厢里的对立，彰显了人性的善与恶。那个人模狗样的大叔，分分钟想砍死他八百次！！！题外话：我不反对偶像演戏，可是演技尴尬请先接一些尴尬的片不好么，在一部好电影里只有你分外出戏啊~~~
rasler,看过,较差,2016/9/12 0:08,233,1.逻辑性巨差的片子，给8+有些过誉。2.逻辑不通谈何人性。3.务实主义可以确保人类生存100选1，我选100。
匡轶歌,看过,还行,2016/9/13 11:19,223,有的人救人是本能、有的人害人是本能，有的人救人是事件教育＋自我反省，有的人救人or害人，是导演说了算。人物总在该拿主意有行动的时候发呆磨时间，看得直捉鸡。别太埋汰好莱坞，好莱坞可不会这样拖戏毁节奏，还是韩剧特色。男主全程智商飘忽演技不在线，小女孩该跑时不跑、不该跑乱跑，略烦人。
[x],看过,还行,2016/9/12 20:46,173,我的内心毫无波动，甚至还想笑。
南笙,看过,力荐,2016/9/13 17:03,94,最后那一枪，我还以为要开呢，想到《活埋》。
欢乐分裂,看过,还行,2016/9/11 19:30,749,孕妇体力max
花衬衫,看过,推荐,2018/1/24 18:03,80,在害怕恐惧的情境下，每个人的选择不同，善恶就在一念间。
