用户,是否看过,评分,评论时间,有用数,评论,,
柯里昂,看过,力荐,2017/1/24 14:36,136,明明全片都是用的明亮色调，但是却看的无比压抑。一次次面对亲人的死亡和离去，酒吧里的每一拳都是彻底的释放，和煦的曼彻斯特背后隐藏着的是我挥之不去的痛苦往事，卡西这个角色有多难演已经不言而喻。导演拍起亲情戏来像极了是枝裕和，卡西的表演属于“于无声处听惊雷”那种。截至目前我的颁奖季top3,,
岛上的夏奈,看过,力荐,2017/6/26 3:13,129,死不掉，活不了。,,
伊瓦,看过,力荐,2016/11/21 10:32,61,六星。东岸的海，所有明亮的镜头都美得动人心魄。然而人生困局，挥出去的都是空拳，又都是痛。邻座的老爷爷哭了出声。男主一脸丧真招人喜爱。配乐都是大提琴啊口琴啊，加分。,,
樹一,看过,推荐,2017/1/6 15:01,220,2017年看的第一部电影，是一个人在Williamsburg的一家小影院看完的。因为是午夜场，无字幕，昏睡了一半的时间，几近绝望且漫长的两小时，即便是这样，在散场之后也清晰记住了几个异常凌冽的孤独片段，在电影里看到了比自己更惨的人生，也没有得到释怀，淋着雨走回了公寓。,,
朝暮雪,看过,推荐,2017/1/31 23:25,134,卡西·阿弗莱克凭借《海边的曼彻斯特》成为奥斯卡影帝，再加上本·阿弗莱克的最佳导演和最佳剧本，两人成为“都获得过奥斯卡”的兄弟，据说这样的兄弟全世界不超过五对。,,
西楼尘,看过,还行,2017/2/10 0:18,220,平凡的日子里，灾祸总是陈仓暗度；庸碌的岁月中，幸福往往狡兔三窟。我抱着啤酒零食跌倒了，尚且可以爬起来，被生活狠狠开了一枪，从此便丧却了爬起来的全部气力。那始终抬不上救护车的担架、永远关不上的冰箱柜门，使我成为相传于人世的流言。今夜的曼彻斯特有风，遇见衣衫凉薄的我，请再添一点柴火。,,
牧风,看过,力荐,2017/1/18 23:30,1456,如今的影评人动辄靠骂“中产阶级”来博人眼球，只要喊“中产阶级”去死就有SB点赞，这我忍了，可是！人家一水管工也要被讲成是中产阶级，实在替凯西咽不下这口气！看电影只看到“阶级地位”、“政治目的”，人电影没你想的这么黑暗！而且我天C也已有25%的人是中产阶级了， 各位中产请不要自己打脸！,,
米粒,看过,推荐,2016/10/3 12:20,638,典型的“中产阶级伤痛故事”通过穿插的剪辑打碎了压抑的情绪，喜忧参半的剧本看得出非常花心思，不是暖心的鸡汤，也没有让人沉浸在心碎中，度把握得很好，两个多小时不显漫长。而且算是卡西的独角戏了！他真是个气质独特的演员，没有所谓的“夺金时刻”，却把情绪慢慢渗透到了每一个镜头里,,
亵渎电影,看过,推荐,2017/2/3 20:14,266,这几年奥斯卡颁奖季不错的电影，剧本都不能用麦基的《故事》来判断好坏了，《海边的曼彻斯特》就是，从那套“好”剧本的标准看李这个人物，它的塑造方式犯大忌，但作为生活流的故事，正是这些所谓的“坏”让这个故事变得不一样，有了一种新鲜的感觉，李这个人物的丧和悲伤反而变得不狗血，更生活了。,,
九尾黑猫,看过,推荐,2017/2/14 22:53,214,年轻的时候学会很多道理，等到真正开始体会懂得的时候，仍然发现这并不足以让你过好一生。大多数时候我们赞美那些勇敢击溃不幸的人，因为也许更多人会选择停留在原地兀自哀伤。不过，不管留下或者离开，都可以活得很有尊严。,,
shininglove,看过,还行,2017/2/5 16:42,136,世界上有无数个曼彻斯特，那里是失败者的角落，泪海干涸，灵魂萧索，李·钱德勒行尸走肉，穆里尼奥壮志未酬。,,
davekozg,看过,力荐,2016/11/24 15:56,117,曼彻斯特小镇冬天的大雪，凛冽彻骨。一个冷冰冰的故事，彻骨冰凉却也蹒跚向前。既然和过去诀别，就不要再回头看。总有人不愿也不能和过去的生活讲和，即便满脚泥泞满心羁绊，生活总还是要有继续的方向#目前为止个人年度最佳，剧本和表演都绝赞#,,
心生,看过,力荐,2017/1/29 23:17,198,看了N遍，每次都特揪心，特心疼男主。卡西终于遇到了让他大放光彩的角色，终于出头了！他的表演太棒，那种颓废与心死真是入骨，浑身都是戏。有时就这样，心里有的坎就是迈不过，对于一些事无论如何都无法跟自己和解。那是人生中至深的痛，已成为嵌入生命的荆棘，他只能带伤而活，旁人不必也无法劝和,,
BC,看过,力荐,2016/12/5 0:47,99,Michelle Williams 最后那出真厉害,,
