用户,是否看过,评分,评论时间,有用数,评论,,
seamouse,看过,推荐,2017/1/26 0:27,19,与《奥丽芙·基特里奇》一样灰色，一样无法和周围和自己达成和解，似乎这已经成了美国东北的某种绝望故事色调。Lee去见律师谈监护人角色，与闪回段落交待所遭遇灾难的那场蒙太奇特别出色，别的部分则感觉剪辑得可以再漂亮一些。演技已经如此出色情况下，过度用吉亚佐托的G小调柔板，确实会让情绪过度。,,
大海里的针,看过,力荐,2017/2/23 15:38,20,全程克制不煽情，但全程都是泪点,,
Sophie  Z,看过,推荐,2017/2/17 12:18,21,The cold dead winter…这片看的时候还没觉得特别难过，但是后劲太大了，这两天总是不断回想起一些细节。卡西的演技，那句I can't beat it，眼里全是悲伤。,,
玑衡,看过,还行,2017/3/6 12:56,24,整个设定太惨，有一种被骗惨的感觉……,,
彌張,看过,还行,2017/1/25 20:35,18,年头几部热门片我都无太多感觉,,
小墨MO,看过,力荐,2017/2/15 8:07,34,整部片子其实相当克制，不过度渲染，才有了冷冰冰的疼痛感。很喜欢男主角手臂上并没解释缘由的小伤口，就是这样一个活得像行尸走肉的男人，会用毛巾小心地包起三个孩子的相框。,,
Clyde,看过,力荐,2017/2/13 17:46,17,完全以一个父亲的角色感受这部影片，有太多不能承受之重，火灾、警局录口供、偶遇前妻等几场戏，卡西•阿弗莱克都奉献了年度最佳的表演，他把一个父亲永远无法释怀的痛苦以麻木般隐忍的方式表现出来，观众看不见但已撕心裂肺。更难得的是，他在影片中的状态高度统一，这就是毫无瑕疵的表演！,,
野象小姐,看过,还行,2017/2/23 17:25,26,差不多窒息了,,
RITA,看过,还行,2017/2/13 21:33,30,有家庭的意义在于 当你决心遗世独立的时候 还不能去死,,
更深的白色,看过,还行,2017/2/15 9:40,19,前半部分情绪好足，萧索冬日加适时闪回丧出新高度。但那段伤痛史实在是太直接drama，揭晓之后开始剧作乏力，叔侄关系线没什么张力，还是只能在行尸走肉和酒吧暴走之间切换，没有了前半部分的精巧细腻。,,
小烨,看过,力荐,2017/3/2 14:39,18,年度最丧。跨不过去的坎，就别跨了。努力会痛苦的话，就别努力了。逃避比较舒服的话，那就逃避好了。,,
魏小河,看过,推荐,2017/2/18 22:35,16,人生毕竟不能重头再来。,,
松如,看过,推荐,2017/3/1 1:13,23,我要看个喜剧喘口气……,,
新·文森特九六,看过,推荐,2017/1/24 14:49,15,4.5，其实编剧和导演并没有多出彩，幸运的是把宝都押在卡西身上这步走对了，一部演员引领着众主创找到位置与找准感觉的作品，估计颁奖季那几大热门里个人最爱的就是这部了。,,
席德,看过,还行,2017/2/7 23:11,11,今年奥斯卡提名的几部电影我都有点看不下去，感觉被主流抛弃了。本片几位提名的演员的演技我统统get不到，甚至觉得他们演得不太好。配乐完全用力过猛，显得很假。还是跟范桑特、跟小津他们的电影学学吧，适度冷漠才更动人。（去年说奥斯卡提名烂的那拨人在哪儿？今年更欲哭无泪了吧。,,
基瑞尔,看过,力荐,2017/2/20 18:05,13,之前非常刻意的去回避这部电影，因为不想丧。但看完反而觉得这部电影没有加法减法，就是画一个长长的等号从一开始到最后。最伤心的一场戏是接近两小时的时候，Randi和Lee几近痛彻心扉的见面。Casey在《星际穿越》的细腻在这一部有了更大的发挥，但还是小米不多的几次出场更加打动我。,,
klzbyxg,看过,推荐,2017/6/1 19:50,10,节奏缓慢但异常让我入戏 看完以后感觉非常空虚,,
古尔齐亚,看过,力荐,2017/8/25 23:02,21,我一直以为uncle lee会在最后说，好吧，我留下来，可他还是没说,,
mOco,看过,推荐,2017/2/16 22:48,14,听到Lee说出I can't beat it.这话时就像感受到曼彻斯特阴冷的海风，全身战栗。同样是情绪戏，比之精巧的叙事结构与视听技巧，更喜欢这样靠细节打动人的作品。,,
甜椒Oli,看过,推荐,2017/3/12 9:30,15,没有可以从头来过的人生。一步踏错终生错。,,
饱肚师叔,看过,力荐,2017/2/25 12:46,12,大型防火意识教育宣传片，看完以后我紧张的开始检查起家里可能具有火灾隐患的角落。,,
固力果guriko,看过,推荐,2017/3/20 9:50,23,他们在街头相遇，再也无法直视对方的眼睛，连说一句完整的话都显得困难。他不知道出口在哪里，或者根本不想寻找，未来是什么，根本不想知道。,,
Leon Winters W,看过,力荐,2018/9/1 14:42,17,典型的豆瓣文艺电影，文戏冗长全片无高潮，如果说大多数电影、小说或者微博都在熬一碗鸡汤，那这部就是一个美帝底层中年男人失意生活的写照，我们应该勇敢面对人生，在生活中寻求自我救赎的话，那影片到这里就是确切的反鸡汤了。犯过的错误没有办法弥补，对着心爱的人说错的话没有办法收回，失去的东西也许一辈子都无法得回，我们最终都要抱着遗憾度过余生。海边的曼彻斯特采取了一种独特的方式，它把最煽情的部分小心翼翼地折叠、隐藏，近乎舍弃，不得已时才泄露一点点，它只交代了前因，再交代了后果，中途那些痛彻心扉的过程，在整部电影中都被故意省略和剔除了，这种故意留白的叙述方式正暗合着主人公自己的心境——他同样故意忘记那一段。但越是如此避而不提，人们越能自己脑补出那些难以描摹的痛苦。省略和留白成就了这部电影。,,
大头绿豆,看过,力荐,2018/5/4 14:40,21,我还能做些什么，除了拍拍你的肩膀，在你身旁坐下，不发一言。,,
第一公民郁白,看过,力荐,2021/5/12 21:48,31,生活中的一切悲欢离合都已经和我无关，在曼彻斯特凛冽的寒风中，我就这样艰难的支撑着需要我做的一切，早在卡壳的那一发子弹中，我已经结束了自己的一生,,
SELVEN,看过,推荐,2017/1/23 14:07,10,77/100 一个无法原谅自己的男人的暴怒和自我伤害，他最终可以走出阴霾吗？实际上电影在最后已经给出了答案。个人非常喜欢充斥着隐喻和象征符号的剧情片，本片是编导和主角一个镜头一个镜头讨论出来的，细腻程度可想而知，不是所有演员都有如此好运的，2017注定是Casey A的风光之年。,,
汪金卫,看过,力荐,2017/8/26 19:04,9,大银幕让人更认真地品味故事中的酸甜苦辣。曾经与现在两条线索交织剪辑，让观众逐渐了解男主的过往。当电影回溯到那些悲痛的过去，真让人难过并为之动容。所有演员演得都很好，全片情绪细腻而伤感，仿佛看到了自己身边的生活。音乐好听舒缓而含有淡淡的悲伤。大陆版删的1分钟不长，但也不可忽视,,
a little mark,看过,推荐,2016/12/25 8:18,6,Here in Massachusetts, it's always cold and sad.,
P-nutButterFry,看过,推荐,2016/12/23 8:27,11,太沉了…看完之后不看集动画片真睡不着觉……剪辑教科书,,
去年槲寄生,看过,推荐,2017/2/8 22:30,11,痛苦无法消解，也不需要他人理解，它已经是记忆、身体中的一部分。没有归结出什么生活大道理，继续活下去，丧就是人生的常态。,,
艾晨,看过,力荐,2017/8/25 22:17,13,丧气逼人，就像南方不停下着细雨的冬天，漫长而又冰冷。你朝着山上跑了不知多远，胸口生疼，大口呼吸，却感觉下一秒就要透不过气来。,,
Neelder,看过,推荐,2021/9/16 23:24,32,“未经他人苦，莫劝他人善。” 两人在街上偶遇的那一段悲到骨子里头去了。,,
哼哼.floweray,看过,推荐,2017/1/25 22:37,14,豆瓣8.8真的有点虚高，可能是看惯了日式废材，美式的同类型电影真是看的几度想要入睡。好几次感觉李不是要打人，而是要变身，成为韦恩。想要再说点什么，但是真的无话可说，连个诗都无法勾起。,,
雄一样霸天下,看过,力荐,2016/12/19 1:54,17,生活，是活着的人挣扎着走出来的,,
起床，吃饭,看过,推荐,2017/2/14 9:23,25,四星半，音乐太抢戏了,,
莫戥衘,看过,推荐,2017/1/30 10:32,11,又孤单又浪漫又性冷淡。近年美国这样的文艺片太少了。奥斯卡就站卡西。,,
五色全味,看过,力荐,2017/2/19 2:44,15,看似平淡的生活切片，每场戏的设计却如此细腻、丰富又出人意表，那些看似累赘的场次在我看来却异常精准，非常大胆。心中今年的奥斯卡最佳电影和最佳剧本,,
蔕,看过,推荐,2017/1/31 13:48,9,生活中有些悔恨和苦涩，又怎么走得出来，只有痛着才能活下去。有些镜头不错，穿插叙事方式不错，配乐过重画蛇添足。不适合大过年看呀,,
之晨,看过,推荐,2018/1/25 16:23,26,那笑声不是我的 那歌声不是我的 那忧愁是我的 那苦闷是我的 那海风吹过的小镇，小镇上的房屋 房屋内的主人，主人的小船 小船发出的水声 水声里的热爱，不是我的 葬礼上哄孩子的男人不是我 能相濡以沫的不是我 和昨天拥抱的不是我  在今天把酒言欢的不是我 心比海水更冷的是我 余生随着海水飘荡的是我,,
巴伐利亞酒神,看过,推荐,2017/1/31 20:52,10,这是一部属于悲伤的电影，让人想起《德克萨斯的巴黎》；这还是一部属于冬天的电影，悲伤如那一点一滴侵袭而来的寒意，让整个身心都被冰封了。,,
琴  酒,看过,还行,2017/3/4 14:56,16,一种和过去的痛苦与创伤联系过于紧密的生活其实一直是我回避的题材，线条的单一，声部的缺乏，都会让我很害怕。太直面“人”的片子，需要有很多非人的东西来中和。,,
godannar,看过,推荐,2017/8/28 0:15,8,核心当然是Casey充满说服力的表演，但把这部电影和其它类似题材区别开来的我认为是那份“我不知道能够为这个男人做些什么”的温柔，以及与之相对的“也许我真的无能为力”的诚实。最能体现上述两点的是情节间大量使用海边风景做过渡，并佐以近似白噪音的教堂风格配乐，奢侈地带出大量思考空间。,,
谋杀游戏机,看过,力荐,2017/2/23 1:47,8,as good as dead,,
阿巴厮,看过,推荐,2017/2/12 22:24,16,演得好。角色的苦难太深重了，没有要救赎，只是继续生活。两度落泪，特别是二人相遇场景，又随意又心碎。不过，好像就这样，哭完就没了。,,
支离疏,看过,推荐,2017/1/31 17:38,8,4.5星，没有任何铺垫渲染这种偏硬的闪回剪辑方式，让观众和男主的精神世界尽量保持同步：伤痛的回忆到来也没有预兆和铺垫。—这是他的精神世界的叙事逻辑。最好的是没有什么修复与痊愈的俗套结尾，配乐真好。演员都是顶级表现。,,
bayer04,看过,力荐,2016/12/15 0:11,7,这一周多好幸福。Incendies脑残粉看到降临之后You can count on me脑残粉终于等到Kenneth Lonergan第三部电影了（Margaret看得我好frustrated）。当代最好dramatist没有之一，角色对话冲突全部满分。配乐剪辑神级。又是一个幸福的奥斯卡季，让我默默开心一会儿去。,,
帕拉,看过,推荐,2017/1/14 10:29,9,观影过程中笑声连连但抚不平忧伤调子，这也算导演的作者属性了，忧伤的情绪配合幽默又不失真的生活写实细节，两者融合的很好，不会觉得有冲突。其实导演并没有给主演太多的表现空间，他更注重整体的效果，而不会一直给卡西特写镜头，但的确这个角色容易招人偏爱。[B+],,
月上西河,看过,推荐,2022/1/16 21:17,21,电影的情节是反高潮的，把最戏剧化的剧情一笔带过，将重点放在男主角时刻的隐忍，对外界的封闭，和时不时无法控制的爆发上。电影的内核也是反传统叙事的，抛弃了一贯的成长，和解的套路，选择了截然相反的方式。男主角的内心从始至终暂停在一处，哪怕到最后也选择了逃离。不过，正是这种暂停，封闭和逃离才最大限度的展示了一个人悲伤的浓度。,,
科林,看过,还行,2017/8/15 11:15,8,父位，咏叹调，火灾症候群，冰箱里的鸡=冰柜中尸体。海滨小镇，雪满地、海鸥飞、冰冷刺骨，同样冰冷刺骨的还有李的心，动不动暴动是他对自己的失望、对世界的发泄。沉睡的李梦见了女儿们，惊醒，然后灭火——幸好，他没彻底冷掉。,,
安东,看过,力荐,2017/2/11 23:19,15,直视悲伤比忘却昨天更需要勇气。,,
Doublebitch,看过,力荐,2017/2/1 1:54,8,不错，仿佛在看（微丧版的）是枝裕和。,,
Lycidas,看过,力荐,2017/3/18 17:50,10,@balmes 觉得特别难以承受的是，看着他的生命迅速退却至灰败荒芜，再也无法被救赎，只剩下一场看不到尽头的心碎。,,
小猪大侠,看过,推荐,2017/1/30 1:37,10,阿莫多瓦16年的最爱，情感上十分的克制，没有和解与拥抱，或是所谓更容易的生活方式。有的只是曼彻斯特仿佛永远不会结束的冰冷冬季，和各自被暂停的人生。小米厉害，几分钟的戏把一个复杂的人物演得极其饱满。,,
CPnine,看过,力荐,2021/7/15 21:50,35,不是所有人都能和过去的自己和解。有些遗憾会贯穿整个人生。I can't beat it.,,
雷宝珠,看过,较差,2017/9/10 21:11,17,伪内敛及刻意，还他妈闪回剪辑装高级，我知道你们看似与世格格不入的颓丧青年最容易代入这种电影角色之中,,
尉迟上九,看过,推荐,2017/1/28 9:29,17,放不下的精神包袱，无法释然的伤痛，心疼的隐忍和压抑，最后有点类似凝固许久的颜料终将会在时间里自然化开的意味，情绪一直被强势而动听的配乐牵引着，曼彻斯特冷冽的寒意和弥漫的忧伤，当下与过往的日常点滴交叉进行，卡西出挑而立体的人物形象，再次看到了生活最为真切而纯粹的面貌。,,
幼银,看过,推荐,2017/1/24 22:55,9,生命是一场漫长的告别,,
jiangchenshazi,看过,力荐,2021/7/5 20:36,14,结合时事再来看真是讽刺,,
幽灵不会哭,看过,推荐,2017/1/28 22:10,13,阴冷的海风吹不走，漫天的海鸥带不走的是忧愁，背负沉重过去的人都在寻找新生的稻草，奈何他选择了放逐，剧本处理得不错，许多细节让人感动（救护车的轮子收不上）结尾也将对生活的妥协转化为平淡又随性的相视，回忆的展现很好地契合了悲从中来的感觉，但配乐过于夸张，小提琴声轨显太重,,
牛 牛 嘎,看过,力荐,2017/2/16 21:24,3,配乐不错,,
唐小万,看过,推荐,2016/9/11 4:22,17,这种小片还是蛮得我心的，突然get到了小本的魅力…,,
小妖の七七,看过,还行,2017/2/25 11:18,18,不错,,
街道办爱豆,看过,力荐,2017/1/1 14:52,13,在beekman theatre的午夜场里迎来了我的2017。最大的感触是谁人无伤痛，都是如人饮水冷暖自知。喜欢这部片子是因为它很克制，很“尊重”。I'm sorry I can't beat it. 它告诉你, it's okay. It's okay.,
淋,看过,力荐,2017/1/26 17:55,17,事已至此，很抱歉，所有人都不开心,,
D K U N,看过,力荐,2017/2/3 9:55,8,喜欢这种用淡淡的语调讲着浓稠深沉感情的电影。整部片子没有刻意在任何一处特别用力，但前后的连贯呼应却将这股丧明白无误地传达了出来。Casey和Michelle的表演都非常令人回味。,,
豆瓣路人己,看过,推荐,2017/2/14 10:00,6,I cant beat it。他逃不开的那些回忆，那些他逃开那些回忆的发生地吧。Lee这个角色的后劲比电影本身更强。,,
新桥妖妖,看过,还行,2017/4/8 14:51,6,海边的曼彻斯特并不想离开海边，还有朋友们，谁又想远离朋友呢,,
PetitCerrito,看过,力荐,2016/12/13 1:12,13,Tear-jerking scene with Michelle Williams and Casey Affleck.,,
李九弟Jody,看过,力荐,2017/1/29 2:12,12,For others, LIFE SUCKS and LIFE GOES ON, but you know it's not true. 总有一页是难以翻过而需要逃避的，这不是懦弱。时间会告诉你答案为何。真实细腻自然不做作，感谢呆萌没有接演，活在哥哥光环下的卡西终有大放异彩之时。
毛,看过,还行,2017/2/15 12:11,6,整部电影就像卡西这个角色 平白无故 累赘 毫无闪光点可言,,
突然一朵大荷花,看过,推荐,2017/2/10 13:00,8,必须要接受一点的是，再怎么悲怎么丧的人生，竟然都是正常的。（想再看遍《船讯》）,,
大 蜹 蜹,看过,力荐,2016/11/29 2:04,7,Even if you have nothing to loose in the smallest form of living. 第二遍看完心有点疼。can't beat it.,,
蚂蚁没问题,看过,力荐,2017/8/30 16:41,9,允许不振作允许放弃的电影，我觉得很伟大,,
無,看过,力荐,2017/5/24 16:33,9,火焰在我眼中熊熊燃烧，海水慢慢将我的心淹没，我再也不能呼吸却又不能死去，曼彻斯特的海，我该怎么继续。,,
Jonathan,看过,较差,2017/1/27 22:47,15,这部本届奥斯卡六项提名的大热片属于个人特别不喜欢的文艺片风格，过于零散、琐屑、沉闷和温吞，后半部分完全是快进过的看。我不装逼，所以真看不出来这部年度最佳影片到底好在哪儿。基本锁定奥斯卡最佳男主的卡西也让我看不出来演技好在哪儿。但总比电视里欢乐、聒噪、繁荣但虚假的联欢会好多了。,,
晚不安,看过,力荐,2017/1/29 2:36,8,我犯下了不可饶恕的罪行，我亲手毁了美满的人生。我想我们都是一样的人，无法摆脱往事的阴影。如果生活一定要继续，那只能以痛苦的方式。再也不会出现转机，只能用孤独来惩罚自己。回到伤心之地，发觉无法融入，也已无足轻重。一部诚实、平静而绝望的电影，卡西的冰山脸下掩藏着一个男人破碎的心。,,
南悠一,看过,推荐,2017/1/24 23:32,10,丧逼的人生是个死循环，只有情感的羁绊才能产生涟漪。这片所有的戏也就集中在男主这个情感淡漠症患者身上，中间火灾那段闪回很棒。创作者试图用配乐煽我思考人生，他失败了，可能银幕上看会不一样。2017.08.26，大银幕上果真不一样，哭惨。,,
张春[阿卡纳],看过,力荐,2017/2/18 20:10,14,全国有排片的影院只有百来家，而且量很少，看大银幕要抓紧。这一次虽依然看得很悲伤，但同时又非常舒服。就好像这种悲伤才是理所应当的，自然的。虽然人物并未有一次真正意义的宣泄和救赎，但影片本身如泣如诉，形式补足了内容，我感受到某种安慰。毕竟故事是虚构的，而观众是真实的。,,
纤纤,看过,推荐,2017/6/4 9:55,11,你心中藏着伤痛，时间也未必能够抚平，到生活还要继续，抬眼间茫然无措…,,
vivi,看过,推荐,2017/2/9 21:18,5,3.5 干净的画面、配乐和表演。Michelle Williams很抢戏，不是不好，但重遇前妻那场戏两人对比落差太大、感觉特别糟。看之前无意中知道了“中产阶级伤痛”这个标签，真的全程出戏。这么干净的片子真的哪来的阶级感？,,
宇宙,看过,推荐,2017/2/27 3:09,6,#zimuzu.tv# 4.3 分。老蓝州的白人蓝领，挺惨的，特别是那种无人可怪、却又无法卸下的负担。剪辑不知道高明还是拙劣，但我喜欢；配乐是我喜欢的那类半切题的命运环绕，当然我好像一直喜欢内向共鸣的配乐（不是烘托环境那种）。,,
#NAME?,看过,力荐,2017/2/25 13:57,13,从冰箱里的鸡肉那个镜头开始，情绪跟着剧中人物一起被打开，后半段哭得不能自已。。没有大起大落，没有happy ending，没有从痛苦中释怀——平淡又真实的人生,,
路西法尔,看过,还行,2017/8/6 23:57,7,每次回忆、每个歇斯底里都是因为一个景物，比如冰箱中的肉让帕特里克想起停尸间里的父亲，这点不错，很学院派的范，但也让整个作品太过工整了，加上小本的表演和音乐就更是如此。最近几年的提名都给我这种越来越工整的感觉……,,
大島,看过,推荐,2019/4/21 12:33,20,好似躺在水温刚刚好的浴缸里悲伤,,
4cats,看过,力荐,2017/5/19 2:24,5,哀莫大于心死。马达坏了可以换新的。心碎了呢？幸运点的“做成艺术咯”。大多数人呢，只能去吃屎了。,,
Fiona和平,看过,推荐,2017/2/22 23:41,11,你得特丧，和他丧一块儿去了才看得下去。年轻的时候你有好多事儿：有俩女朋友，有乐队，有船，或者有俩女儿一个儿子，一个妻子一个家。但到了某个点儿，就开始嗖嗖没，如同你总守的电视连续剧，突然停播了，那种确丧，尤其当你发现你还活在现实中，那种确丧，很确定，很丧，拍下来，就成了这部电影,,
自在渍,看过,推荐,2017/2/22 9:32,13,电影的确要一气呵成地看，每天吃饭看20分钟，把一部据说克制隐忍伤感的电影看成了断断续续的生活碎片，寡淡，呵气成冰，感情上隐隐约约触碰到了，又很模糊不清，印象里就是面无表情的人持续生活于灰蒙蒙的环境与心境中。,,
崇子,看过,还行,2017/5/14 14:49,8,怎么说呢，男主的人生，说特别也不是很特别，说普通也不算普通。这种始终站在观察的角度去注视着男主的片子，如果男主的人生不是很带感的话，就有点无聊……嗯，我是说电影有点无聊= =,,
Pirouette,看过,推荐,2017/2/15 18:19,16,”心碎掉就碎掉，碎了也补不回来的；没什么好向前看的，但我不回头。“ ——  for my two years 2014&2015 @HK.,,
Q。,看过,推荐,2017/2/9 4:28,6,一部由诸多无声的瞬间撑起来的影片。也许人的一生大部分就像这般都是由悲伤和遗憾组成吧。★★★★,,
RUNE,看过,推荐,2017/2/21 23:10,11,即使悲伤奔涌而来，日子也依旧平淡如水，这就是生活。,,
东遇西,看过,较差,2017/2/17 11:56,8,两星半不入。看下来颇有些悲喜交集意味，基本的维度算是具备了，但无论剧作还是导演水准都有较大提升空间，如果结构控制更精准一些，镜语表现力更强一些，整体应该会上一个台阶,,
曼靑,看过,还行,2017/3/7 16:03,7,「那些劝我们向前看的朋友，“不是所有人都可以和过去和解”。」这句话应该很好的诠释了这部电影最终想让观众看到的东西吧。整部电影都在下雪，冷飕飕的绝望，简直冷不丁的要被冻得缩一缩脖子。故事并没有讲到我的心里，我也没有像你们一样想哭，所以你们也不要怪我太绝情。,,
谢谢你们的鱼,看过,力荐,2017/2/14 13:50,11,丧得很细腻，丧得很真实，影片是如此让人感同身受地诠释了伤痛，诠释了那种举步不前的心理状态，冷冰冰的冬日小镇中的孤寂灵魂，人生可能真的不会好了，live with it。,,
文文周,看过,推荐,2017/9/2 13:37,4,不是所有人都必须与生活和解。,,
国王KING,看过,推荐,2017/3/29 12:52,7,很丧的电影，很丧的人生。,,
嗔,看过,还行,2017/2/9 23:01,6,为什么一致好评 难道我有问题吗  没有被泪目 全程被强插的bgm烦死了 简直不放音乐会死可见一斑 真想跟弹幕撕逼  以后是不是看个电影都会一言不合就尬舞 真的有问题的是我吗,,
Obtson,看过,推荐,2017/7/31 11:03,8,你绕过的路、抓过的马、开过的枪，都在冷冽的海风里。,,
皮革业,看过,推荐,2017/1/25 20:07,9,可能是小阿弗莱克的巅峰了吧……,,
朱熠,看过,推荐,2017/8/28 22:06,9,四星半。人生可不就是这样丧，没有救赎，没有治愈，没有和解，只有踉跄着拖着无法愈合的伤口行走。,,
蚊多多,看过,力荐,2017/2/14 21:28,8,那个伤口，随着时间慢慢结痂成疤，疤痕底下是回忆的凹陷，本以为不去碰就不会疼，可是有一天不小心撞到这个疤痕，缺掉一块肉的部分突然再次瘙痒，开始肿胀，开始化脓，才知道原来受过的伤要是忘不了，会一直难受。你的痛苦是没办法被人理解的，而悲哀的是我们总期待。,,
spencer,看过,推荐,2017/3/1 2:49,7,他一辈子都不可能快乐，他必须惩罚自己才能活下去。,,
新竹,看过,力荐,2016/11/27 7:56,5,Overwhelming and heartbreaking...會發現忍俊不禁的笑點不算少。但人生自帶的那一抹荒謬的喜劇色彩，並不能令焦頭爛額心力交瘁輕鬆哪怕一毛。走出影院整個人都恍如石沉大海。Life sucks! 所以，相較下我的還不算太糟。,,
