用户,是否看过,评分,评论时间,有用数,评论,,,
LORENZO 洛伦佐,看过,推荐,2016/12/13 19:51,21,后半段又煽又壮阔，特别是和基友那一段。故事讲得比较满，没有太多思考的空间。当然true story的力量就在于此，振聋发聩。太喜欢加菲了，明媚如春风，还是团队大奶，队友喊medic的时候俨然副本刷boss......加血啊！,,,
スピカ,看过,还行,2016/12/10 21:09,14,美版抗日神剧分数这么高？？为了尊敬原型人物加一星吧,,,
起床，吃饭,看过,还行,2017/8/27 18:38,16,梅尔吉布森的电影，镜头总觉得愣头愣脑的。音乐也非常教条。,,,
我对你的无语简直能沉默整个宇宙,看过,力荐,2017/1/4 0:01,13,平凡人类的英雄主义最值得歌颂，而不在于是否关乎信仰。,,,
mumudancing,看过,力荐,2016/12/22 22:11,16,英雄主义照耀钢锯岭，但就是有血有肉的好看啊！,,,
小A,看过,推荐,2016/12/28 9:31,16,剧本非常一般，Mel Gibson靠一己之力把这个可能会被大多数制片人丢掉的剧本转化成了一部冲击力极强的电影。每秒钟我都能感觉到包括导演、演员在内的制作团队使出浑身技艺克服陈词滥调的努力。Hugo Weaving惊艳的演出让我扭转之前对他所有的平庸印象。,,,
暹罗copen,看过,力荐,2016/12/9 14:20,41,满分电影，完美电影，我的年度最佳和最爱。,,,
介意,看过,较差,2017/1/19 20:30,5,拒絕安德魯·加菲爾德。,,,
琴  酒,看过,力荐,2016/12/18 21:47,16,作为反战片看是满分，展现了战争最残酷的那一面，作为个人信念的实践看也很好，“再救一个，多救一个”，那真是信仰给人的力量。但我却始终不能忘记故事发生在沖縄戦，想到战时毫无训练受迫参加战斗的沖縄人，日军的胁迫，战后的独立复归，以及替日本本土承担的美军基地。太复杂了。,,,
阿罡书房,看过,较差,2016/12/12 22:46,7,看完此片，请允许我学习男主角坚守自己的底线，说一句真话。,,,
mumudancing,看过,力荐,2016/12/22 22:11,16,英雄主义照耀钢锯岭，但就是有血有肉的好看啊！,,,
汪金卫,看过,还行,2016/11/25 16:51,18,台湾上映版140分钟。熬过前一小时拖沓的傻逼中二矫情戏，接下来就是80分钟的极度残酷血腥的视觉震撼战争场面。爆头断肢，血肉横飞，肠脑满地。国内必会删减吧。日军残暴无脑，加菲主角光环大开，情绪渲染过度，一度觉得是夸张的好莱坞个人英雄主义抗日神剧。片尾历史真人出现，方才惊呼牛逼。三星半,,,
baochen,看过,力荐,2018/2/21 20:35,36,很另人震撼的故事，沒有想過看這種戰爭片，居然會被感動，信仰的力量，是無限的,,,
黄小胖,看过,力荐,2016/12/10 17:38,27,真实性击败我了我预先准备的吐槽，真实在于画面，在于事迹，也在于信仰。,,,
谢谢你们的鱼,看过,力荐,2016/12/8 22:21,33,没有奢侈的特效、没有一线的演员、没有气势磅礴的大场面，但就是这么一部中低成本的战争电影让我观影结束10分钟内回不过神来。梅尔吉布森再次用朴实的电影叙事、娴熟的视听语言以及满腔热血创造了又一个电影史上的经典作品。这样的电影和《拯救大兵瑞恩》一样值得你去看第二遍，第三遍甚至二三十遍。,,,
Mona Lishark,看过,较差,2017/2/24 14:33,9,Boring as fuck...,,,
過期貓糧,看过,推荐,2016/12/13 0:02,14,每出现一个伤员，获得一个圣盾。荣耀将赐予我力量！圣光将赐予我胜利！,,,
连城易脆,看过,推荐,2020/4/26 18:43,18,【超凡·戴斯蒙德·基督教原教旨·素食·枪械PTSD·理想主义·闪避点满·多斯·圣母侠】当美国人大方地通过主旋律电影歌颂宗教信仰爱国主义，让大兵带着圣经上战场，甚至战斗前还要祈祷，票房口碑双丰收时，国产影视剧中帮我交最后一次党费却成了不少大陆影迷口中的笑柄，真是悲哀。除了双标以外，确实也存在一些硬件方面的差距，首先就是战争场面的塑造，梅尔吉布森在片中所拍摄的战斗画面给人的感觉相当真实、惨烈，将战争的残酷性表达得淋漓尽致，而不少劣质国产战争片中塑料感十足的场景反而消解了这种残酷性，只能引人发笑。然后对于信仰的理解程度也是云泥之别，国产主旋律电影的导演本身就缺乏对共产主义信仰的理解，又相当不坚定，如何指望他们拍出合格的战争片呢？当哪天我们像外国人对待圣经一样对待我们的社会主义核心价值观时，何愁拍不出好,,,
如小果,看过,力荐,2016/12/10 13:14,9,《血战钢锯岭》太好看了，年度Top前三，就是这个名字翻译的太像《狼牙山五壮士》这种红色国产剧了，非常失败的译名。,,,
小斑,看过,推荐,2016/11/19 5:22,24,又见无语译名。结束时观众有掌声，一多半是给真实事件的当事人的。通过Desmond的童年和爱情故事令英雄有血肉更亲民。用他和上级同侪的对抗展现其信仰与意志。最后是神迹时刻。梅导一贯手段。战争戏拍得特别好，不设立场（日军也尽现其勇），没有保留（断手断脚穿肠破肚）。,,,
肖浑,看过,推荐,2016/12/11 13:48,15,大银幕血腥之最。很好看，可我期待的结局是多斯被残酷战争逼得拿起枪杀敌或者干脆精神崩溃。传教姿态比战争场面更恐怖。,,,
拉赫玛尼诺妇,看过,力荐,2016/9/14 10:59,16,反正我是哭成狗了，战争场面残忍又真实，大概是最棒的抗日片？虽然冷静下来想有些地方也有可以渲染的意思，但真得感动到我我就是要给满分！小细节很棒，演员都特别好，表演有说服力。信仰困境这个切入点也很特别,,,
哪吒男,看过,还行,2017/1/19 23:03,9,安德鲁·加菲尔德真是......小天使小可爱~！！（粉红色那种）,,,
Trillian,看过,较差,2016/12/17 1:40,4,"杰出的视觉效果和氛围塑造也掩盖不了导演陈旧教条的三观，“一切都是信仰的功劳""和“红星闪闪照我前行""有什么区别? 毫无主见的女性角色，理所应当的爱情故事。战争电影究竟应该带给我们什么? PS: 加菲的主角气场不够，最好表演还是在TSN",,,
叶洲,看过,还行,2016/11/4 12:49,14,梅尔·吉布森一如既往的宗教狂热和血腥，在2016年也算稀有动物了。全片平铺直叙，前半段拖沓，不过训练营训话真是笑死。后半段的战争真是太恐怖了，如果片中的奇迹（救下75人并毫发无损）完全属实，真的也只有他心中的神能支撑他并保护他了。Roman Guerriero,,,
浣熊市垃圾回收,看过,还行,2016/12/14 22:06,15,Oh boy have we got you a Christian propaganda ：）战斗场面好评，配角演技杠杠的尤其是雨果叔，加菲恕我直言演得像弱智。深受感动，向战场上互相扶持的人们致敬，但是谢谢你啊我不吃这嘴圣经安利。另外惊悚居然玩三次、还TM摸进地道潜行点满，meh,,,
内陆飞鱼,看过,推荐,2016/12/11 22:21,14,一个坚持信仰，用行动赢得尊重，拯救生命的故事，硬汉梅尔·吉普森另一种“勇敢的心”，文戏武戏一比一，平衡得好，前一小时爱情浪漫温柔，家庭揪心，新兵纠结，后一小时枪林弹雨耳朵炸聋，残肢断臂血腥恐怖，这样的真实奇迹，只能说主角“命大”。贵国拍不出来。战争太残酷，希望有生之年不要遭遇啊。,,,
红线,看过,推荐,2016/8/11 18:41,13,我以为我会哭，但是我没有⋯⋯梅尔吉布森导演，蜘蛛侠主演，煽情有不到位，战争场面有，还特写了些血肉模糊的镜头，但是总觉得火候不够的感觉，不过挺有大片相，很像拯救大兵瑞恩，体现的是美国式人道主义精神，美国人打日本人，应该会过审吧哈哈哈哈,,,
darkcat,看过,推荐,2016/12/27 22:47,17,战争有多可怕和平就有多珍贵,,,
大胃⃣麒⃣,看过,还行,2016/12/9 22:06,17,不顶不是镁国仁！,,,
安德烈大叔,看过,推荐,2016/12/8 22:02,14,信仰之光佑我灯塔国，喜欢这部电影的老派与直男，建议由川普大帝授爆裂猛男华莱士“好莱坞直男荣誉勋章”。,,,
CharlesChou,看过,较差,2016/12/15 23:08,9,Does it count as profanity that I laughed out loud in cinema?,,,
陈哈,看过,推荐,2016/12/12 19:20,11,片是好片啊，“说教”能拍成这样也是厉害了。题外话：当年去电影院看《拯救大兵瑞恩》的时候，美空军正在昼夜轰炸南联盟。现在在电影院看着拒绝摸枪的有信仰的医疗兵，美政客则在提供枪给ISIS们...,,,
艾晨,看过,力荐,2016/12/8 2:35,24,今年第246部。这样的主旋律可以有。关于信仰，关于生命，关于选择。,,,
袁长庚,看过,还行,2016/12/22 1:07,10,最后十五分钟有点儿手撕鬼子，但爬上钢锯岭的第一波攻击真是我在电影里见过的最接近地狱的场景,,,
拔刀诀,看过,推荐,2016/12/10 12:10,6,前半部分三星，常规套路，后半部分五星，战争场面的震撼程度超过拯救大兵那段抢滩登陆战。,,,
韧勉,看过,推荐,2017/3/1 14:50,9,最后脚踢手雷，那真有点儿抗日神剧的味道，用暴力血腥来书写反战电影，结尾收的很好，没有政治渲染，梅尔吉布森越老功力越深厚。,,,
CyberKnight电子骑士,看过,推荐,2017/12/19 14:03,4,前半段《恋恋笔记》后半段《血战冲绳》。梅尔吉布森的电影特色跟东木一样鲜明独特，不过其导演手法也算好坏参半：宣扬宗教倒也没什么，就是对角色的塑造还有些表面化，对主角的内心、变化表现都不够深入，战友们的态度转变也完全依赖主角神迹般的故事。这方面就没法跟《全金属外壳》之类媲美了。,,,
朴九月,看过,力荐,2016/12/14 22:12,7,全程哭，无法相信这样的人和事真的存在和发生过，感谢导演拍下此片让后世知晓这样的故事和人物，并了解战争,,,
阿拉丁,看过,较差,2016/12/15 8:38,13,披着人文关怀的羊皮，举着英雄主义大旗，结尾还不忘给切腹的日本军官布一个完美的定点光，你到底是想表达天佑美利坚还是壮哉武士道呢？我想梅尔.冯.吉布森.小宁导演的内心一定是混乱的。场面之恢弘有如当年freedom，而内容之空洞则与李安之间隔着一万场中场战事。,,,
团小纸,看过,推荐,2016/12/10 23:07,6,即便知道是真实事件却觉得电影好假，就因为突然问神所以留在了战场那里！前面的信仰坚持铺垫到这里一下子没意义了。但战场太真实了，以至在心里默念无数次祈求世界和平。加菲有很棒的眼神，以及这是发生在冲绳…美军后来对这里也不是解放而是报复！其实那里的海很美的～,,,
guiltyboi,看过,还行,2016/12/11 0:07,10,这评分怎么那么高…美国抗日神剧啊（这个故事也许不太适合改编电影，片尾的真实采访要更好看些）…另外加菲好像有点长残了,,,
余小岛,看过,推荐,2016/12/10 16:14,8,说实在的，bug有点多；但又是根据真实故事改编的，让人不得不信，还真有这样的人存在。在前后两个”地狱“里，坚持自己的信仰。,,,
玛丽莲教父,看过,推荐,2017/2/5 3:12,7,许你美帝可以开挂救人、不许我们手撕鬼子？——领导抽了一口荷花淡淡的说。,,,
vivi,看过,还行,2016/12/9 20:40,10,3.5 男主的信仰、成长、洗礼，人物塑造还是偏嫩，太主旋律，中规中矩。不理解电影院内为什么一直笑声不绝。,,,
Leon Winters W,看过,力荐,2018/3/12 22:04,5,补课2016，其实冲绳岛日军输在没有一个妈宝男和振奋人心的Bgm，前期铺垫很赞，男主加菲符合美帝白左基督徒所有幻想，女主颜值过于逆天有点像斯图尔特必须赞！后面结局反而过于匆匆结尾，男主使出了星爷少林足球拯救了数名队友，完成了属于他真正的救赎！超凡被砍其实看起来让加菲戏路变宽了,,,
魏无忌,看过,还行,2016/12/11 0:11,16,梅尔·吉布森真是走火入魔了，什么戏都要搞成宗教题材。比「拯救大兵瑞恩」还差十个「硫磺岛的来信」。文戏全靠奇遇，武戏全靠开挂，什么战术战略都扔太平洋里了。还好反战的价值观没偏，不然就是妥妥的抗日神剧了。,,,
ayi,看过,很差,2016/12/10 0:05,13,先进典型事迹报告。,,,
相伴,看过,推荐,2018/3/27 8:11,8,当时在看的时候就觉得这部电影的主演因为自己童年的阴影而无法握枪，但是到了后半部分，就截然不同了，为了救受伤的战友而不惜冒着生命危险去抢救。。实在令人钦佩！,,,
Andrea,看过,力荐,2016/9/27 9:40,8,这个世界有些人就是喜欢作死，作死还作得理直气壮的。比如在那个全世界都痛恨法西斯都希望痛扁小鬼子的时代，跟人家说我上战场不想杀人不想带武器，只想逛一圈回来的时候顺带拖(救)几(十)个人。成功变作死为牛逼。,,,
L'automne,看过,还行,2016/12/1 22:50,20,拒绝武器的士兵本来就很神奇，手无寸铁的士兵在枪林弹雨中救下75条人命就更显得既讽刺又催泪。可是，我总觉得在战争里讨论正义或仁慈，是一个很难站得住脚的命题。要说表现战争的血腥和残酷，应该还比不上Kajaki。,,,
马达,看过,还行,2016/12/22 22:03,12,我是主角，我不会死,,,
Eve|Classified,看过,推荐,2016/12/10 13:41,3,“求您，只让我再多救一个就好。再多救一个。”坚持信念的人有着别人看不见的一面，每个世人何尝不是如此？这让他有着救别人的勇气和力量。我已经失去了。随后，pre judge者都来道歉或者也正是出于这一前提。所以我只有judgement. 想到“我不管你信什么，只管去信”牧师对Mal说。他做到了，我不能。,,,
丹朱AI🌵,看过,还行,2016/12/13 21:33,3,某同学说：“这音乐挺八股的。”哈哈~,,,
历史理性,看过,推荐,2016/12/17 22:13,4,某些右翼总觉得玉碎作战感天动地，赢了道义分，但美国可没觉得自己道义上输了,,,
岚行,看过,还行,2017/5/28 11:21,4,节奏差.不过我感受到的竟不是一边倒的主旋律陈腐价值观.宗教浸染/国家主义教化深入到让人不假思索判断,可两厢的结论却相悖,其各自宣称的正当性就很可疑了.而若它们一是一非,又为何要有抱守一边却仍成为糟糕之人的反例.道斯试图兼得的任性同于他追求姑娘的手段和时机.但你所信必定只由俗世回应.维文叔赞
zitsunari,看过,还行,2016/12/19 16:18,4,从入军营到上战场之间那段文戏还不错，加菲太适合这种理想主义的文弱角色，就是岁月无情，已经有点显老了。。,,,
杨大志°,看过,推荐,2017/4/30 22:29,9,不仅有宏大的战争场面，更有无法割舍的亲情、浪漫忠贞的爱情和坚忍笃定的信念。,,,
Carf,看过,还行,2016/11/20 6:18,22,宗教反杀戮片，不是反战争，必然矛盾的是救护战友去杀戮一样服务于杀戮机器。各国的主旋律都是一样的好，但是我更加尊重反抗侵略保家卫国的杀戮。,,,
请保持高冷,看过,推荐,2016/12/28 12:25,8,在寒冷的冬日，窝在被子里，喝杯热巧克力，看一部好片，真是绝美的享受～,,,
张春[阿卡纳],看过,力荐,2016/12/11 14:01,15,太好看了。我从来没有看一个电影看的脖子和背全僵住～,,,
bird,看过,力荐,2016/12/9 12:27,19,只要你有信仰，就不是一个玩笑，那就是真实的你。,,,
芥末蘸酱,看过,还行,2016/9/4 17:15,6,挺好看的，就是前半部有点长了。one more那段很阿甘；不仅没有黑人，似乎连亚裔、拉美裔都没有。,,,
空想特摄兔男郎,看过,力荐,2017/4/2 13:17,6,其实电影本身拍得只能算是合格，有太多类型片的套路，但是由于历史上真实发生的这个奇迹实在是太感人了，忍不住要打满星。其实这个片子主要的讲两个事，一个是信仰的力量，再就是个人信仰与他人之间的界限。顺便提一句，最后梅导也特意描绘了日军的切腹场景，这其实也是一种信仰的实践。,,,
麦子麦子酱,看过,推荐,2016/12/10 22:24,5,超级主旋律 但是战争场面拍得很独特 很多出彩的镜头,,,
白树,看过,力荐,2020/12/27 23:40,10,我有限的观影经验告诉我，战争是会改变所有人的，想在战争中活下去，那就需要成为一个杀人机器。所以，在我观影时，让我掉眼泪的反而是前半段。我以为，这个有着信念、坚持自己的人，最后会向战争妥协，选择拿起枪支，那是多残酷的事情，所以我哭了。可是他并没有，并没有像我所想的那样，被战争改变。他没有改变战争，战争也奈何不了他。所以，我敬佩他。看多了战争片，让我对战争有些麻木，有些绝望，我觉得战争会改变任何事，但其实不是，总有一些战争改变不了的东西，比如信念。那天夜晚，那个疯狂抢救伤员的多斯，身上简直带着光。,,,
东遇西,看过,较差,2017/1/30 9:29,14,整个故事就是一神经病反转为神的逆袭心灵鸡汤，童年创伤前置成为不可置疑的前因，现实层面的封神就成为后果，两者因其权威性无可置疑。但如果我们把创伤视为人之常态，那封神的过程某种意义上也是一个正常人发展成为神经病的过程，这一过程必然反智反人类，简单的说，就是不可以常理而度之、细思则恐极,,,
九尾黑猫,看过,还行,2017/1/21 21:53,6,这是一本不过不失的教科书，主修美国主流价值观。胜在故事本身已经足够动人，吉普森聪明在知道不用太过渲染。,,,
明羽波·秀川,看过,力荐,2016/12/13 21:21,14,去电影院里看，哭个不停，哭得发抖。和Doss他比起来，我的信仰和灵命是多么软弱，在世俗的诱惑或要求与上帝的诫命之间，我向世俗妥协了多少次？面对困境的时候我逃避了多少次？当良心挣扎苦痛的时候，我回避了多少次？我一直自称基督徒，然而我为了这份信仰做了什么？坚持了什么？,,,
爱幻想的小孩,看过,推荐,2016/11/14 19:36,10,加菲演得太棒！一众卡司也演得棒！战火戏份拍出了一种悲壮的美感。只是可惜了导演，说了犹太人的坏话，从此被媒体唾弃，海报上连名字都没留。美国的政治正确还是很可怕的。拍电影搞艺术的人能拍出好作品就足够了。,,,
mideastsptfire,看过,很差,2016/12/22 11:58,6,mel gibson's come back和donald trump's election, 哪个更容易点?,,
小油飞,看过,推荐,2017/1/1 11:48,6,战争场面拍得真好，而且鉴于是真人真事，连手撕鬼子的槽点都不好意思吐了，宗教部分也能原谅了……其实归根结底感觉是在赞美美军连这种人都能包容（在走了后门的情况下）。,,,
麻绳,看过,推荐,2016/12/9 11:15,17,比较老派的战争片，很主旋律，但现在看来也很难得。要不是有true story加持，这样的战场白莲花故事还真挺难说服我的。后一半一进战场立刻开挂，暴烈至极，太梅尔吉布森了，有点找回了看《勇敢的心》的感觉。,,,
Aray,看过,推荐,2016/12/9 22:11,24,貌似是第一次在电影院看手撕鬼子。,,,
夢俠沈星丹,看过,力荐,2016/12/12 0:58,5,战争的场面调度方面还是无人能出拯救大兵瑞恩其右，  斯皮尔伯格还是那个唯一一个能够清楚地告诉你敌我双方的一场场大小战的过程是怎么打的那个神,,,
发条饺子,看过,推荐,2016/12/17 17:14,7,梅叔叔一直喜欢直白狂热的灌输他的意志，不讲中立，电影本身水准也就打个75分吧，战役部分情节人物设定都是样板式的，加菲开挂起来也是吴宇森式英雄主义。但即使是明知有艺术创作的成分，依然会觉得无比温暖感动，与宗教战争无关，就只是敬佩那种坚持信念的朴实和勇气。,,,
熊野爷(老年版,看过,推荐,2016/12/17 1:03,14,让我想到一个问题：加菲尔德是不是美国王宝强？,,,
防寒对策,看过,较差,2016/12/29 22:42,6,这种主旋律宣传电影从内容、形式到手法都和战争本身一样无趣空洞又毫无意义。,,,
哥谭花匠safina,看过,还行,2016/12/10 17:46,5,本来可以给四星，然而对于这种渲染奇迹的表现方式感到不舒服，扣一星,,,
Roger颜,看过,力荐,2016/12/8 22:10,28,有时候亲临其境不需要3D，只要找一个小银幕，坐在它两米之外看一部Hacksaw Ridge这样的电影。如临战场，感受信仰。毫无疑问，这是我在电影院看过的最好的电影。,,,
西决,看过,还行,2016/12/10 0:25,7,好听点是扎实老派，不好听是太直太笨，前段铺垫过长中段军营老套结局战场炼狱倒过瘾，但也只停留在牛逼的视效上，角色太平庸，除了雨果维文的哽咽令人动容，加菲演技不怎么样，一干配角也都跟群演似的。配乐无感。老梅展现出战争的残酷，肉体的脆弱，信仰的奇迹，虽真人真事可反思战争不免有点宣教之嫌,,,
bookbug,看过,推荐,2016/12/12 21:59,5,好吧我还真是挺喜欢看这种主题先行的直男片，温情脉脉之后也能血脉贲张的,,,
基本是我,看过,力荐,2016/12/8 22:34,7,信仰真牛掰，可以杀人也可以救人。希望梅尔吉普森提名奥斯卡bp和bd。,,,
飞行官小北,看过,推荐,2017/1/3 10:56,7,三星半吧。男主跟先前挤兑他的肌肉男在战壕交心时，好想说句赶紧开房吧，正打仗呢怎么还谈开恋爱了呢。整部电影就是这样，慢，拖，煽，除了非常厉害的战争场面。另，原型人物真的超级伟大。,,,
郑核桃,看过,还行,2016/12/11 19:56,5,这个视听呈现其实是把 true story 的力量打了折扣的，让人惊异的永远不是信仰或信念本身，而是它与承载它的人物之间令人惊异的化学结果。影片太强调那些简单层面的东西了。开场爱情戏份拍得年代感太足，也让人有点乏味/反胃呢。,,,
57,看过,还行,2017/1/8 23:56,9,每次都嘲笑好莱坞的套路和主旋律，也没什么效果。不得不正视，这种圣徒叙事，和革命英雄主义、或其他宗教、民族的集体策略有什么区别？意识形态都需要自我表达，哪一种可以创造真正的生活？这部过度煽情的电影的启示在于，非如此不可 ，不然别人怎么知道你的信仰是什么以及你信到什么程度。,,,
魂,看过,推荐,2016/11/30 17:02,4,没给五星原因是故事讲的确实一般，有些流水账，但观感依然非常棒。加菲从头到尾没打过一发子弹，不过不仅没搞砸演成圣母婊，相反是全场最酷炫的人，让观众真正感受到他坚定不移的信仰。战争场面更是点燃全场人的肾上腺素，不是我看过最血腥的，但完全不输今年的荒野猎人。,,,
猪头妖怪,看过,还行,2016/12/10 20:05,9,及格，但完全够不上预期啊。太平铺直叙了不是吗？群戏也做得不算成功，那么多配角，真正能让人记住的有几个？一两个顶多了吧？,,,
居无间,看过,推荐,2016/12/8 23:20,3,好的战争片都是反战的，所以这个类型贵在立意。此片在杀戮和仇恨之外，走出了战争中的另一条路。男主角幸运而伟大，有如神明。导演也完全是以拍神的手法在塑造人物。影片的力量源自于对信仰的坚守。其他的方方面面其实都平平，尤其是采取了低劣恐怖片才会用到的吓人手段，挺low的。3.5,,,
顾盼,看过,推荐,2018/4/9 8:54,5,现实讲出来往往比故事更动人。,,,
m89,看过,还行,2016/12/8 14:09,18,不把japs翻译成小日本，也算是一种进步吧。传教片。梅尔吉普森仍旧是那个狂热虔诚的基督教原教旨主义者。有个镜头很有意思:一场大战后幸存的加菲怀抱圣经，这时对剪日本士官剖腹自杀，还真是“所有信仰都值得尊重”。战争场面不错，够横店导演们喝两壶的，不过战争的荒谬远胜残酷，这与信仰无关。,,,
RITA,看过,推荐,2016/12/12 3:58,8,加菲是永远的少年,,,
隔壁家的桃太太,看过,推荐,2016/12/1 16:58,8,最擅长血腥的吉布森拍战争不要太合适。jb都炸飞到天上去了。,,,
阿娜贝拉,看过,较差,2016/11/24 0:32,10,影史第一伪君子 最当婊子还要立牌坊的男主角。不杀人 不持枪 就请不要参军 助人杀人也是杀。男主衣服完全暴露了头长脖长肩膀窄的乌龟身材。导演传道的唾沫星子都要喷到观众脸上 泛滥煽情五流配乐和慢镜头令人发指。战争场面节奏运镜布景一流 配上一个五流故事 梅尔吉布森的大起大落果然有道理,,,
托托,看过,还行,2016/12/31 23:04,4,影片意欲呈现基督附体的人。前半段感人，后边变味。在我眼里，男主角坚持个人信仰纯洁，而他的妻子、父亲、战友却在为他背负十字架。人的回忆会放大英雄情结，而忽略真实的内心挣扎。他站在山下究竟在祈祷什么呢，横尸遍野，他又能祈祷什么呢。,,,
LeungChanXXX,看过,推荐,2016/12/10 22:44,8,无论是故事推进还是内核价值观都很老派很主旋律，但不妨碍好看，尤其是从进入战场部分开始真的震撼到屏息凝视，临场感极佳，直到片尾出现真人画面时脑子甚至还是无法思考的状态，走出电影院只想用力呼吸。信仰的力量令人敬畏，友情戏比爱情戏更具chemistry,,,
fefe,看过,推荐,2017/5/3 20:46,3,2014.2 看看，人家美国的主旋律怎么拍的这么好看！梅尔·吉布森的暴力风格还真是血淋淋的真实啊！,,,
雨夜飞行,看过,推荐,2017/2/3 1:13,3,最不喜欢看的电影题材之一，但是高潮部分还是高潮了。不喜欢加菲的表演，但是其他演员都演的有血有肉。全片荷尔蒙与血浆齐飞，看得我春心荡漾又心惊胆跳,,,
朱欢尘,看过,推荐,2016/12/14 15:53,10,如果是假的就很肉麻。可是是真的，所以很伟大。,,,
彭萦,看过,还行,2016/12/9 23:53,8,和我国的战争片差不多风格  没有兄弟连和太平洋战争那么真实,,,
辛波卡,看过,推荐,2016/12/27 19:22,6,握草这个片最牛逼的一点是，电影最后多丝手握圣经和日本兵为了天皇刨腹的平行剪辑，对两种信仰的平等处理，绝不美化自己抹黑别人，绝不把对方拍成禽兽把自己拍成真正的人。,,,
jagpumpkin,看过,推荐,2016/12/26 12:42,4,Mel Gibson好战，喜欢宏大。幸好选择了Desmond Doss这个人物，又选择了Andrew Garfield这样的演员，调和了一部分战争的愚蠢残酷，消解了一部分信仰的偏执可怖。前半部分真无聊，澳洲演员真好用。推荐这篇最值得一读的影评《A Hero among Heroes》：https://movie.douban.com/review/8220037/,,,
赵启辰,看过,推荐,2016/12/10 1:22,6,真实的力量再次被电影放大，一切都很好，唯独不喜音乐，夜间不断救人也拿大音乐轰隆隆，感人的永远是行为，音乐只是气氛，我已经被感动了，你再拿音乐给那么强烈的指向那感觉像是在怼我,,,
太阳的倒影,看过,还行,2016/12/17 14:33,3,梅尔吉布森果然是皮开肉绽专业户，战争场面特别是初上钢锯岭的那一段在大荧幕的加持下确实很震撼，能感觉到自己在与死亡同行！甚至觉得自己闻到了硝烟的气味！...不过很倒霉后座有解说帝全程弹幕，所以其他部分能看进去就见鬼了...,,,
乐乐乐了,看过,推荐,2017/2/23 14:19,11,有信仰而且严格遵守要求自己的人真有魅力～ 加菲脖子真长。。。。,,,
大海里的针,看过,推荐,2016/12/11 15:31,6,很爽的战争片，值回票钱,,,
jinying,看过,还行,2016/12/12 17:17,5,3.5星，不喜欢如此简单的价值观，虽然知道只有这样简单才能被大众喜爱。另外一个小时时才上战场的结构让人佩服，想到九层妖塔10分钟时男主角就上路了，这就是距离。,,,
安东,看过,推荐,2016/12/18 19:57,4,被战争戏惊得魂飞魄散。和平真好。,,,
