用户,是否看过,评分,评论时间,有用数,评论,,,
Favillae,看过,力荐,2016/12/8 15:33,74,为真人真事打五星。本尊事迹很难想象，一个医护兵，赤手空拳，单枪匹马，在冲绳岛钢锯岭这样的地狱救护出75人。英雄中的英雄。MoH授予他不能更恰当。Desmond炮火中肩负战友狂奔的形象。煽得几度泪。连长的反应，当时想要是TP里尤金的好连长碰到这样的部下又会怎样做。散兵坑坑友可惜啊。,,,
木卫二,看过,推荐,2016/11/30 11:58,3814,没有真人真事加持，你真会觉得，梅尔·吉布森是一枚假天主之名的神棍。当真实不可思议到某一个程度，你就会觉得，它怎么可以比电影还假啊。但这么老派的关乎个人信仰的电影，傻纯真的故事，看起来还是令人动容。电影是《全金属外壳》的两段式结构，大段的平静和抗争后，突然进入手撕鬼子的地狱模式。,,,
梦羽灵泉,看过,力荐,2016/12/8 17:03,960,无需多做评价，最好的评价就是开篇的字幕——a true story,,,
已注销,看过,还行,2016/12/8 15:26,256,雨果维文的演技碾压……看到好多老梗,,,
汽车大师,看过,力荐,2016/12/9 22:02,597,打仗真不需要120帧,,,
davekozg,看过,推荐,2016/11/7 11:24,3475,看完觉得吹牛啊，结果片尾出现正主时震惊了，再一查历史，真实道哥居然比电影里还开挂，真死人堆里爬出来的。当下好莱坞难得一见的右派电影，梅尔吉布森甩掉了神神叨叨，拿出宗教信仰和残酷战场，战争场景真实血腥，令人发指的牛逼 #这战争场景要是3D高清估计得看吐了#,,,
巴伐利亞酒神,看过,推荐,2016/12/9 0:47,1641,这部片子最牛逼的，把钢锯岭拍成了寂静岭，把鬼子拍成了鬼。第一次被一部战争片的恐怖场面吓到，感同身受于士兵的恐惧。,,,
灰狼,看过,力荐,2016/12/9 8:37,503,谁告诉我加菲猫的哥哥最后去哪了？,,,
谢飞导演,看过,推荐,2017/2/21 1:47,426,青少年时期及父辈们的经历，永远是艺术家创作的源泉。看外国老一辈导演们的“老派”作品，当然有着强烈的共鸣与认同感，同时也为自己一代人由于时代的限制，在创作上的无语和失职而感伤。,,,
太常寺协律郎,看过,力荐,2016/12/10 17:22,98,你一定要相信，这个世界上真的有很好很好的人，戴斯蒙德·多斯从血肉横飞的钢锯岭上一个人救下了75个重伤员。这不仅仅是宗教的力量，是一个人内心信仰的力量。笑中有泪，最后热泪盈眶，战争的残酷和血腥从未如此震撼地在大屏幕上展示过。,,,
兔安叽,看过,推荐,2016/12/10 16:39,212,我是反对给战争动作题材打上“直男”标签的，就像反对给女性为主的电影打上“女权”标签。我周围的女性欣赏这部电影完全不少于男性，性别标签太狭隘了。更有趣的是，这个右派的电影里，男主以反暴力成就了伟大，恰恰打破了男子气=暴力的性别偏见。,,,
Die Katze,看过,力荐,2016/11/2 19:01,93,軍火之外的道具都是我朋友提供的。,,,
巨米雨,看过,较差,2016/11/21 20:08,1091,属于那种它想表达的所有点我都懂，但是基本是没有办法接受，更不要说engage的类型，战争血腥和宗教，只能说非常非常的直男以及非常非常的主旋律，以至于影片呈现出的价值观有那么些狭隘了，它将一个伟大的人物一段伟大的故事用某种自以为是的价值观表达了出来，我觉得这对于这些战争中的英雄是一种亵渎,,,
LOOK,看过,还行,2016/12/8 16:16,165,本质上和上甘岭没啥区别。女主颜值爆表。,,,
2koo,看过,力荐,2016/12/16 23:21,75,有个会走关系的老爸还是很重要的……我是不是歪楼了？,,,
Roderick,看过,推荐,2016/11/6 10:29,246,当他终于从上面下来，双眼血丝与泪水模糊相融，胆颤地提防着周围的战友的时候，真是太让人心疼了。一个人在战场上硝烟与尸横遍野里寻找一个又一个生存的希望。Andrew的表演可圈可点，能有大导演提携希望能成大器。,,,
恶魔的步调,看过,推荐,2016/12/8 22:18,252,蜘蛛侠不吐丝改用绳子了,,,
小海,看过,力荐,2016/12/8 23:56,66,所有人的灵魂都是不死的，但正直者的灵魂将是永生不灭永垂不朽的——苏格拉底。,,,
橘猫爱吃鱼,看过,力荐,2018/1/19 13:38,89,剧情紧张，场面震撼，根据真实事件改编，值得一看。,,,
K45P3R,看过,还行,2016/11/15 17:51,115,这部电影的唯一看点在于战争戏真的拍的十分出色。将暴力美学发挥到极致。镜头节奏都很流畅。剩下的就是上世纪主流大片的基础剧本。线索混乱人设无聊。可能我不信教吧觉得男主有点傻逼。其他人物刻画基本为零。,,,
远子,看过,还行,2016/12/14 22:38,149,主旋律战争片里的音乐和爱情品味实在是糟糕；结合比利·林恩来看就有点讽刺了：男主的版权卖了多少钱？；如果最后没救那么多人，那么他的信仰是不是就没价值了？没有信仰的人总是会被信仰所打动。,,,
有心打扰,看过,还行,2016/12/8 23:26,102,3.5影片让我没有想到的是男主角真的直到最后都没有开枪，我以为战争会让所有人失去，至少是暂时地、选择性地忘掉信仰，而男主角坚持下来了，他某一时刻真的看见了上帝。我由衷佩服那些真正有信仰的人！,,,
小黄鸭,看过,力荐,2016/12/10 9:43,56,信仰有多大，力量就有多大。电影名字平平，又是战争题材，却十分好看，庆幸没错过老梅这部诚意之作。不拿枪，只救人，疯狂开挂，不可思议却是真人真事。救人那一段，再多救一个，各种燃。全片他两次拿枪都只是为了救人，一次救母亲，一次救战友。最喜欢结尾那句话：只要你有信仰，那绝不是一个玩笑。,,,
Angela,看过,力荐,2016/12/8 20:09,62,梅尔.吉布森真他妈硬汉啊，又硬又直。,,,
力总,看过,力荐,2016/12/12 23:28,43,你知道一个人要承受多大的意志力，才可以有所不为。,,,
K,看过,力荐,2016/11/19 12:53,67,牛逼，刚刚爬上去那段恐怖程度堪比恐怖片了。,,,
Q。,看过,推荐,2016/12/8 21:46,91,「我还是不能理解你的信仰，但我知道了你的信仰有多坚定。」特别复古老派，又硬又直，但很多时候“a true story ”比千万特效更能打动人心。★★★★,,,
Steamed Punk,看过,推荐,2016/11/27 3:01,73,这辈子还没有看过这么可怕的战争片，打仗一开始第一个爆头就把我看傻了，一直到结束全程无法思考只能生理性地想流泪，看完电影后衣服仿佛都沾上了一股浓烈的血腥味。文戏非常中规中矩，不过加菲演的太好,,,
赫恩曼尼,看过,力荐,2016/12/17 20:20,26,引人入胜的大片，讲述战争而不落俗套，给一个人以血肉，又不刻意煽情，实为难得。期待着我们所谓的抗战片可以拍成这样，而不是一味刷票房，讲空话。,,,
É,看过,较差,2016/12/13 6:57,26,宗教脑残遇上滥俗煽情狂魔。唯一的长处就是一定程度上展现战争的真实，但就这部分也过冗长。极度的宣扬宗教以及美式英雄主义和人道主义的种种并且就如此简单粗暴的表现出来，真的很让人感到恶心。如果不是片头一句改编自真实事件，真的只会觉得导演是不是大麻抽太多。,,,
科林,看过,力荐,2016/12/3 17:27,408,后半段足足1小时的战争场面，哇~热血沸腾！就算全世界都不理解你、抗拒你，依然秉持住自己的信仰绝不动摇。这种信念说的是男主角本身，也在讲梅尔·吉布森自己。,,,
影子的影子,看过,力荐,2016/12/3 17:22,107,如果不是真人真事，那真的是可以媲美抗日神剧了。信仰拯救人生，结尾真人采访哭成狗，平静而充实的和最爱的人生活在一起才是最美好的事情吧。真的好讨厌战争，让战争都滚蛋！,,,
遇见彩虹🌈,看过,力荐,2017/10/30 17:35,81,真实事件改编。看着他把一个个受伤的不管是战友还是敌人背下钢锯岭的时候，真的感动了，这就是信仰的力量，他做到了。他明明能力很强，却坚持不为了名利去利用，不因为时局而动摇，因为他坚持他的信仰，甚至可以失去生命。战争片，没有宣扬和平，却让人看到了信仰和平的力量。,,,
欲剩,看过,推荐,2016/11/11 14:18,213,The real heroes were all over there. 煽情也好，做作也罢，一个人若是知道自己想成为什么样的人时，天下无敌，这就是信仰。,,,
皮革业,看过,推荐,2016/9/4 17:15,71,Old school二战片，战争场面够狠够长够猛，算近年难得的体验。Mel Gibson用了全白阵容，没黑没墨，估计在好莱坞被喷死，也真死硬……,,,
白日美人_S,看过,推荐,2016/11/3 14:12,114,信仰的坚持，个人英雄主义。今才发现我竟一部Mel Gibson的片子都没看过，还蛮喜欢这种不拖泥带水的导演风格，每场戏的设置都有目的，目的达到就进行下一场。加菲真人真的可爱到爆棚呀。,,,
谋杀游戏机,看过,推荐,2016/9/4 19:54,46,低产的MG宝刀未老，大银幕战争场面震撼揪心，尽管手法略显老派，还是很难不被煽到。英雄主义，个人价值，恪守信仰，美国白人主旋律。加菲挺符合人设，奶气得不像军人，但又穿衣显瘦脱衣露肉，雨果维文演的父亲感人。前半段细水长流亲情友情，后半段专注战争，前后有些脱节，但可能反差大才更震撼吧,,,
��Psyche,看过,较差,2016/12/10 1:39,126,对梅尔吉普森拍出如此肤浅的宗教片感到惋惜，并且对其中错误到违背圣经原则的信仰教导感到愤怒，跟细细的红线相比，这片子真的跟哄孩子一样。梅尔吉普森再不解决自己信仰中的人文主义倾向的话就真的不要再以传教之名拍此等题材的片子了，真的是自绝后路并且有做“假师傅”的嫌疑了！,,,
觉,看过,较差,2016/8/16 20:57,28,知道是鸡汤，没想到是卖拷贝的那种鸡汤,,,
Vince,看过,力荐,2016/12/10 14:41,48,直接，真实，没有说教，紧凑。男主“one more”的执着时候我又快信上帝了。票房不会太好吧毕竟美国战争片，但会是有口碑的片子。（以及多次抹泪不是因为煽的，是某种沉浸感让眼泪不自觉流下来...）,,,
大奇特(Grinch),看过,推荐,2016/11/30 3:04,69,一种七八十年代热血战争片的通透和敞亮，通过以宗教为名拒绝摸枪的士兵，建立出固执己见的人物性格。接下来钢锯岭的恶劣环境，关照到战争的细节与情绪。我们才能逐渐理解主角的原则和救人，既反映出生杀与和平的二元对立，又令观者对信仰产生无比敬畏。,,,
已注销,看过,力荐,2016/12/24 22:15,21,没有信教确实很难理解这样的信仰，只能说男主的三观坚定的令人敬佩，战争的刻画非常写实，写实到让人永远都不想再看到这样的场景。好片值得一看。,,,
牛腩羊耳朵,看过,还行,2016/11/27 6:45,55,3 无法接受梅尔·吉普森的右派“尚武精神“：硝烟弥漫里从步枪弹匣里弹出的弹壳划出一道道美丽的弧线，子弹呼啸而过之后的是洒满银幕的血浆爆裂，战争场面拍得有多震撼多热血，就跟宗教信仰的切入点有多脱节，两者竟然被同时赞颂也算是”人间奇迹“。不过抛开故事，单为爽到爆的战争场面就值得进影院。,,,
冰红深蓝,看过,力荐,2016/12/18 22:48,16,吉布森继续探讨信仰与个人英雄主义的母题。单纯从视听角度论“好看”还是比不上内容黑点满满的[勇敢的心]，但本片战争场面惨烈度甚至超过了[拯救大兵瑞恩]，烘托与煽情的段落也很有效果，但还是不及结尾真实人物采访来得有感染力。第二幕教官训话借鉴自[全金属外壳]。加菲尔德演得无可挑剔。（8.8/10）,,,
舟菖蒲,看过,力荐,2016/12/9 23:45,22,再说一次，美国的主旋律电影，高就高在旋律本身非常高。电影放完感觉全场观众都要鼓掌了，碍于是“美国佬”的片子，生生憋住。,,,
左胸上的吸盘,看过,较差,2017/2/11 0:53,26,勉强两分。结构极简单，前半小时谈了场近似强奸的恋爱，继半小时是类似全金属外壳的军营戏，但领导们被主角身上信仰光环击垮，虽然他不服从拿枪的命令但也客气，最后一小时是炸逼战争戏，穿插了和战友冰释前嫌戏。男主很丑，瘪嘴加鱼尾纹，看上去太老，第二段里显得特别欠揍，军事部分也是鬼扯,,,
心生,看过,推荐,2016/12/10 14:22,52,时隔10年，梅尔·吉布森又坐在了导演岗位上，并再次带来了稳定又出色的发挥。关键是故事还是基于真实故事改编，生活真是比电影精彩，有那么多惊心动魄的往事被盖上历史的尘埃，一旦擦亮，会反射出一道道光芒。在这部里，便是一道人性的光芒，在加菲的表演下，传递出一种动人的力量。,,,
草威,看过,推荐,2016/12/9 13:09,30,对我来说，这电影是从大兵们真正上了战场之后才开始的。真实的战争感让人血脉喷张，能让人忘了之前的絮叨和神叨。有宗教信仰并且内心虔诚的人可能在极端的环境下创造奇迹，但这并不能当成一种价值观去弘扬。如果不是精彩的战争戏，就有点儿天主教宣传片的意思了。,,,
偷懒的猫,看过,推荐,2018/1/21 9:10,68,我如果不坚持我的坚持，我就不知道怎么去爱你。一个不拿枪的医务兵靠着他的坚持，信仰在战场中救了一个，几十个战士的故事。我虽然打5⭐但我不认可他连日本人都救的做法。,,,
暴走君,看过,力荐,2016/12/10 0:28,30,战争戏太凶残了，控制不住地生理性流泪。,,,
芦哲峰,看过,推荐,2017/1/31 20:56,24,战争场面太真实震撼了，足以弥补前一小时的乏味平庸。此片应给所有的好战分子观看。愿世界永无战争！,,,
水果君,看过,推荐,2016/12/13 22:42,44,没有办法认同男主角不拿枪的理念，所以丝毫没有办法代入，故事也不觉得感人，整个故事就是一个特殊的奇迹，完全不具备复制性。男主角的不拿枪，是千千万万拿起枪的杀戮者为你守住的信仰，这个信仰其实并没有受到真正的伦理考验，念及于此，我会觉得狡猾。,,,
亚比煞,看过,推荐,2017/2/18 19:11,66,和平主义者在战争年代承受的巨大压力，今天的社会或许没有多少不同吧，人人都得上另一种战场，成就的战场，抢钱的战场。你讨厌厮杀，想偏安一隅静静生活，同样要承受人们的指责，指责你逃避应尽的责任。战争从来没有停止，无论上与不上，杀与不杀，都需要拿出勇气。,,,
基瑞尔,看过,推荐,2016/11/6 12:46,42,电影前对加菲长得太阳光，太可爱而无法融入战争片的担心随着战争戏开始的时候就立刻烟消云散了。前面文戏很一般，后面进入战争戏就开始跟着紧张激动起来了，第一次看撕鬼子这么投入…里面Desmond的兄弟是CW那小破剧爱上朋友妈的小哥演的，出境不多但帅cry:),,,
米粒,看过,推荐,2017/1/3 0:09,32,3.5 倒是在个人英雄主义和上帝神谕找到了奇怪的平衡，如果他完全不信上帝，最后会显得像手撕鬼子的抗日神剧。而且并没有拿人性论来解释对战争的拒绝（男主不拿枪，但不管其他人拿不拿）。但总体来说，仍旧是好莱坞式传统的对战争的解读。战争场面残酷血暴到遮眼，加菲这部演得比沉默好很多,,,
三七莲华,看过,力荐,2016/12/10 23:16,25,梅尔吉布森是偏执狂，然而真的classy啊。他是非常老派典型清教徒的价值观，被诟病也是因为这种价值观显得不合时宜—但他并不是错的，人们会嘲笑这种偏执，但最终还是会尊敬这种偏执，因为这就是信仰的力量啊。把信仰活出来的人令人生畏。假冒为善看轻神的人多了，真的信仰证明在眼前反而不信了,,,
狷介有乌青,看过,推荐,2016/12/10 17:46,61,战争不会让我们变好，它只会放大我们的善与恶,,,
奥利,看过,较差,2016/12/8 22:03,34,这个真实故事其实就已经很套路了，尤其是在戴斯蒙德救完人之后人们都说看错你了你真棒就差没说你真是个英雄了，不是不能英雄主义，可执行得还是套路加尴尬，这点真心是不如勇敢的心。PS：加菲快笑成加菲猫惹！快减点肥。,,,
王这么,看过,还行,2016/12/27 16:38,40,差点儿就成了“信主就是好，枪子挨不了”，如果不是有现实原型，绝对以为编剧脑子进水了。才弄出这么刻意俗套，可见生活本身比小说电影都难以想象。,,,
欢乐分裂,看过,推荐,2016/12/8 13:38,39,“让我再多救一个”梅尔吉布森宝刀不老，儿女情长家国大义宗教信仰共冶一炉，主旋律伟光正，手法老派煽情过分前后略断裂，但一点也不妨碍被感动到啊！带着血腥金属气味的真枪实弹在血肉横飞的火光地狱里嗖嗖而过，让人浑身战栗；选角棒，高潮掐得准，“攀登”的前后对应。,,,
女神的秋裤,看过,推荐,2016/12/10 17:08,25,梅尔吉布森二十年前告诉我们什么叫自由，二十年后他告诉我们什么叫信仰！,,,
Helicopter,看过,较差,2017/1/21 15:14,8,为了煽情篡改事实用套路不要紧，问题在于本质上对“人”并无尊敬，人只是表现各式儿戏的杀戮大法的道具，只为呈现神的光环，神的力量...果然是神棍Mel Gibson...,,,
惊鸿,看过,推荐,2018/1/10 20:52,22,战争场面逼真到令人震撼…但或许主角从头至尾的坚持 和真实故事改编更令人动容 战争无眼 但所幸大爱永存,,,
LF,看过,还行,2016/12/11 17:54,22,文戏好尴尬，武戏太小气。关键是一直在讲耶稣，私货太多，当真是二十世纪福音战士,,,
Ou,看过,较差,2016/12/11 20:18,25,Desmond不通人性，只知天命。他从钢锯岭下来后被战友拍肩膀的反应，是典型的为人性而人性。前后不怎么统一。,,,
三七莲华,看过,力荐,2016/12/10 23:16,25,梅尔吉布森是偏执狂，然而真的classy啊。他是非常老派典型清教徒的价值观，被诟病也是因为这种价值观显得不合时宜—但他并不是错的，人们会嘲笑这种偏执，但最终还是会尊敬这种偏执，因为这就是信仰的力量啊。把信仰活出来的人令人生畏。假冒为善看轻神的人多了，真的信仰证明在眼前反而不信了,,,
狄飞惊,看过,推荐,2016/12/10 23:53,15,战争前是《珍珠港》，进军营后是《全金属外壳》，抢占钢锯岭是《拯救大兵瑞恩》，道斯想多救一人的执念则是《辛德勒名单》，上士的狙击战显然又是《兵临城下》，可见它其实处处都是套路，但偏偏一腔激情从头撑到了尾，鸡血满满最后全化为了汹涌澎湃的力量，堪称“荡气回肠”。,,,
FloriaZENG,看过,推荐,2016/12/17 23:04,31,感谢这些合格的战争片，在和平年代，没有任何娱乐性地最大化地告诉了我们战争的残忍和真实，哪怕只有小部分人被感染，也足够了，真心地谢谢它们。,,,
阿珂,看过,力荐,2016/12/8 1:22,30,最好看的战争戏，残酷而感人。。。,,,
阿珂,看过,力荐,2016/12/8 1:22,30,最好看的战争戏，残酷而感人。。。,,,
