用户,是否看过,评分,评论时间,有用数,评论,
malingcat,看过,推荐,2017/10/10 18:42,137,观影时，一直在研究，到底是男的更聪明还是女的更聪明？几次反转之后，懂了，母亲更聪明。,
大奇特(Grinch),看过,推荐,2017/9/3 23:10,67,一问一答的形式攻防兼备，各种可能性令故事发展和内心交战巧妙地呈现，观众可以从各个角度辩证。第一起案件采用密室推理的技巧，也是转移注意力的方法，因为第二起案件与第一起之间的联系才是问题根本。导演沿袭了《女尸谜案》的套路，又加入了《骑车人之死》和《控方证人》的技巧。,
恶魔的步调,看过,还行,2017/3/26 21:49,136,有完成度，但缺乏惊喜，只是一般的两集长度犯罪类美剧的水准。其实这就是一部走进科学。,
科林,看过,推荐,2017/4/4 0:09,63,说实话，我真看一半猜到结尾了……因为没有脸盲症，始终觉得某某和某某长得很像……（好像不对……这不应该是有脸盲症的理由吗？……）,
种瓜得瓜,看过,还行,2017/4/7 21:52,151,即使编剧做了各种人设，老夫妻两个喜欢看戏剧表演，老妇以前教文学（编剧本没问题），也无法说服我扮演一个律师，毕竟她儿子最后是没死而被男主推入湖中并不在他们的剧本内，而本身并非律师应该是无法应付这种突发状况的。一开始就猜测律师是老头对方的，结局果然是，这就可以了，没必要一定要老妇去。,
城南草木生,看过,较差,2018/2/14 23:03,76,什么年代了 还易容术 还人皮面具 什么玩意 烧什么脑 烧里凉,
обломов,看过,还行,2017/3/23 21:07,4033,比较一般，如果男主是策划一切的人，他根本不会如此相信一个素未谋面的人,
张小北,看过,力荐,2017/9/17 13:40,201,4星半。 不过西班牙新导演值得鼓励一下。而且影院观影体验太好了。,
matchbox,看过,推荐,2017/3/23 23:56,255,应该把男主叙述中的开车人换成情人，会让这个版本情人选择毁尸灭迹的动机更合理。最后的隔窗对视过于dramatic。其实四眼阿婆演金牌律师怎么就滴水不漏这个事情本身好像是最大的bug。,
西楼尘,看过,还行,2017/5/17 0:28,315,看得见的客人堂而皇之走进来，逼出真相；看不见的客人无踪无影溜出去，疑窦丛生。人心有看得见的角落，装着你车坏了我替你修的善意；也有看不见的角落，盛着容不得你苟活的凶恶。商界杀伐决断化作情感中的冷血残暴，机关算尽却低估了丧子之痛。需要多大的定力，在得知儿子本应存活的时候，不喊一声痛。,
老袁,看过,推荐,2017/3/22 11:41,144,电影已经做得不错，很多遗憾是因为影像的直露造成的，如果这是一篇短篇小说，会更精彩。,
蔕,看过,力荐,2017/3/22 21:31,376,为了掩饰一个谎言需要更多谎言，践踏过一次人性，下次就更容易了。随着故事推进能猜到一些反转，但紧张的节奏和没有一点废话时间的剧情能吸引你不断看下去，反转套着下一个反转，当真相全部揭开的时候必须叫一声好。西班牙意大利一些小成本电影质量真高,
汪金卫,看过,较差,2017/9/5 15:30,121,大失所望。看到了《闪灵》《告白》等片的影子。刚开场就猜中真凶的感觉还真是不太好。反复地反转也是忽悠观众，结尾更是扯淡，说换脸就换，你是权游无面者啊？所谓伏笔细节等非常拙劣浅薄。剧情中角色的动机、逻辑等完全不着调地随便玩弄。别说烧脑，简直是故弄玄虚，幼稚可笑。再看一遍的话会给1星吧,
刘康康,看过,还行,2017/9/16 15:18,357,所以……都不用确认对方的身份，也不用自己的私人律师在场，就这样跟一个第一次见面的人和盘托出？当然，细节上的小设计还是很不错的，喜欢调整汽车座椅这个设计，很生活又很巧妙，打火机和汽车入水的蒙太奇也不错。,
匡轶歌,看过,还行,2017/3/28 19:52,86,sorry 从这部片子里木有get 到快感，看完琢磨了一会儿，还觉得bug挺硬的。世上最完美之事，大概就是从来都没有什么“完美谋杀”，自得于完美的人，最后总是被老天整得很惨。,
艾小柯,看过,还行,2017/5/5 9:03,74,剧本蛮不错，就是表演比较夸张，更具舞台剧的特色。,
