用户,是否看过,评分,评论时间,有用数,评论,
建筑民工,看过,力荐,2017/9/19 10:41,11,原来巴萨的德国馆还有这个用处,
华盛顿樱桃树,看过,推荐,2017/3/21 15:59,15,很精彩很吸引人，精彩绝伦。故事是根本，只有设计好再别zuo别刷花样的好好拍出来就行。后面的反转层层精彩，欲盖弥彰最后一击即中。但感觉少了一场激情戏。,
狷介有乌青,看过,推荐,2017/3/27 23:15,12,【2017.41】好看！真相的那段音乐觉得下一秒就要迎来爆炸，简直酣畅淋漓。（也不枉我明早要起不来了）,
衣落成火,看过,力荐,2021/6/10 15:17,41,最后老奶奶脱下面具的时候，配着那段bgm太震撼了！,
hitlike,看过,还行,2017/4/7 16:34,13,实际没有微信某些公号吹的那么出人意料。此片案发场景显然是在致敬库布里克《闪灵》，俯拍去往旅馆的路上、雪山旁的独栋建筑、715房间等等。。。,
蚂蚁没问题,看过,还行,2017/3/26 16:50,11,毕竟这个结局蛮容易看出来的，伏线埋得还是太浅，最后电影高潮的时候只觉得他们在瞎激动，这里我就扣点分，其他部分，倒算是喜欢，很完整的故事，男主跟劳拉的个性，也很畅销君的【恶意】，最中意的环节。,
某J。624,看过,推荐,2017/3/31 8:47,9,很多人吐槽最后律师反转不够惊艳，但片子真正高潮迭起的部分反倒是前期命案版本的几次改变，而律师这个梗伴随着BGM不过就是场标准的落幕模式。这世界，寻找真相和伸张正义太难了。PS：跑去杭州跟着采访了导演，讲作品的时候很认真，观影时的想法被导演亲口一一验证的感觉很赞，就是合照上的我，太丑…,
阿怪,看过,推荐,2017/9/16 11:00,30,最大的bug男主智商这么感人不提前谷歌一下virginia goodman的长相？,
茜纱窗下,看过,力荐,2017/9/24 7:31,14,近两年最佳影片，各种反转太过瘾了，男主很性感,
littletwo,看过,推荐,2017/9/16 23:26,5,看到中间我猜出结局来了……这么多年侦探小说和悬疑故事真不是白看的……,
大海里的针,看过,推荐,2017/3/24 18:24,8,反转不错，评分虚高。,
支离疏,看过,还行,2017/5/7 0:06,19,这种玩儿叙事诡计的片子太多，要义在于用文字叙述，匹配影像重现，不断让观众相信所看到的，所听到的，之后不断推翻重演，造成反转。也没太多新鲜感。,
坦克手贝吉塔,看过,还行,2020/8/2 13:44,13,分这么高也许在于谁都能猜到，进而觉得自己智力尚可，从而获得一些抚慰。,
离净语,看过,还行,2018/6/21 1:30,14,怎么能排进豆瓣Top100的？？？？？,
Roberto,看过,还行,2017/9/16 10:35,16,译名误导了观众，分数虚高。律师如果是劳拉的妈，而且是真的被小伙子爸爸跟踪然后逼问女儿事实，再与小伙子爸无预谋地逼男主说出真相，那就好很多了。从头到尾任何一个细节都表现出小伙子父母的愚蠢和鲁莽，大傻子变成大侦探吗，结局实在是太牵强了。,
仿真男孩哪吒,看过,还行,2017/4/8 21:30,18,也不是编剧多有智商 就是单纯欺负脸盲,
Roooooolls,看过,还行,2017/3/30 9:20,11,看到影志打了五星的我,
萧秋水,看过,推荐,2017/9/20 21:24,17,《看不见的客人》如同一座迷宫，一层层深入，直到人性最阴暗的一面。丹尼尔将要被推下水时的最后挣扎，及劳拉被杀死的一刻，意味着阿德里安的沉沦不复。故事如同罗生门一样，逐渐呈现出真实的面目，老套的复仇，有新意的手法，真正有悬疑感的，不是结局，而是阿德里安被抽丝剥茧的过程，这是悬疑的另一,
拔刀诀,看过,还行,2017/4/10 1:41,7,变脸都出来了，可信度就低了很多。一个人的罗生门，有悬疑，可总差着那么一口气。,
薇羅尼卡,看过,推荐,2017/6/29 10:47,14,看到中程基本已经猜出剧情走向，因此结尾并没有那么多的反转感。不过从女性主导推至男性主导，还是比较棒的视角，再次证明了先入为主及固有印象又多么可怕。遗憾的是，男主身材这么好，都没怎么露！导演你好意思吗？！,
断肠人在刷牙,看过,推荐,2017/3/26 23:27,32,环环相扣，好久没见过这么精彩的推理电影了！,
bibabo,看过,力荐,2017/8/1 14:47,19,手握剧本的男主假装剧本在女主手中，结果万万没想到真正的剧本其实在XX手中……（当剧透隐去关键词）,
基瑞尔,看过,推荐,2017/9/15 13:45,13,"“只有牺牲才能换来赎罪”。觉得略遗憾的是除去故事推进，其他部分都很弱--在同类题材显得并没有那么高明。鹿的意象意外想到了年初的Get Out。总的说来在电影院有了一次不错的""故事进入""体验，所营造的反转也至少制造了对剧情猜测的乐趣。P.S. 在电影院吃冰淇淋舔男主的颜太美好了！",
已销注,看过,力荐,2017/9/23 22:06,16,男女主总是边开车边聊心边入神的转头盯着对方看。大家都是老司机了为什么还要犯这种错误？,
Jeannels,看过,较差,2017/3/28 20:56,11,糙,
shibuya emiri,看过,很差,2017/9/20 2:02,10,西班牙人好自大哦…感觉导演还挺得意…,
alain.proust,看过,推荐,2017/5/6 15:59,10,#027#尽管最后结局昭然若揭，但每一次反转形成的男主那种道貌岸然的无辜无助与内里的冷血无情的落差，都是在一层层地撕下他的虚伪面具，一次次地拷问他的良心，最可怕的是，弱势对抗强势竟然唯有走如此极端的方法才有出路。,
切,看过,推荐,2017/9/17 21:34,3,法布雷加斯的平行人生,
fomalhaut,看过,力荐,2017/5/14 15:12,10,没看过浩如烟海的日系推理，也不想在中途任何时刻猜谜底。任导演带着我没啥见识的思维一路看到最后，收获一次酣畅淋漓的体验，足以给出五颗星！,
darkcat,看过,推荐,2017/4/9 0:31,15,男主这个谎话精,
水浒三国金刚,看过,推荐,2017/3/25 21:40,9,西班牙版的罗生门，前半段扣人心弦，令人神经紧绷，导演曾执导过《女尸迷案》，也曾是《茱莉亚的眼睛》的编剧，虽然有些小硬伤，但整体不失为一部悬疑犯罪佳片,
欧阳杼,看过,力荐,2017/3/22 22:17,14,1. 料到很好看，但是没想到能精彩到这种地步。2. 结局并不难猜，但是好在有多重伪装的层层推进来加强剧情。3. 故事的内核像东野，情节的推进像西泽。4. 谎言有很多层次，小的谎言用来骗别人，大的谎言用来骗自己。,
鸡头井。,看过,还行,2017/4/4 23:41,9,看大家打这么高的分数我简直又要怀疑人生了。,
瓦力,看过,力荐,2017/4/11 10:41,7,从容、工整、迷人，悬念迭起的悬疑佳作，有高智商版《魔屋》之感，多重反转多个版本的故事都无懈可击，在完美犯罪里寻找真相，悬念留到最后一秒，表演和大伏笔都太牛逼，明着晃了一个多小时竟能让你完全没有察觉！叹服西班牙悬疑片又一次高能！9.5/10,
于是,看过,推荐,2017/7/5 18:51,12,反转反转再反转。,
橘猫爱吃鱼,看过,力荐,2018/8/17 7:02,8,很好看的一部悬疑片，剧情反转反转再反转，非常过瘾。,
11km,看过,推荐,2017/12/28 15:48,5,当时看了午夜场，完后直接通宵刷完1957年的《控方证人》，只叫过瘾。,
滴溜,看过,力荐,2020/3/31 2:37,15,我一直以为是男孩踢开后备箱游上岸后的复仇（。,
黑貓十一,看过,还行,2017/9/19 21:45,8,这片子……对我们这种本格密室推理爱好者和行走的人脸识别器到底有什么难度啦？？观后感只有以下是剧透——阿婆的《罗杰疑案》还是太不红了。这一切导致我在看案情的时候主要在想的是男主有哪些地方做错了不然就可以隐藏犯罪事实这件事情了…………,
美,看过,推荐,2018/4/15 23:29,9,悬疑烧脑，剧情反转再反转还很合理，导演把控能力很不错。,
SELVEN,看过,推荐,2017/3/21 2:09,4,76/100 作为一部悬疑电影，本片的摄影剪辑表演都很有水准，不过故事本身比较平庸，又漏出很多线索让观众可能比较容易就猜到结局，如果障眼法用的再好一点就是杰作了。,
皮革业,看过,还行,2017/9/21 10:57,10,这片子太投故事党所好了，电影化程度基本等同于华语片行活儿，导演还是直接写推理小说吧……,
小川叔,看过,力荐,2017/9/16 21:35,15,五星推荐非常值得！再看一遍。剧本好，所以场景基本很简单。当你以为已经猜到结局的时候，没想到有反转，当你以为快到结尾的时候，没想到又有反转，当你以为已经快结束的时候，没想到还能反转。三重惊喜。不要提前看剧透。不要提前看剧透。,
格里高尔,看过,推荐,2017/9/20 9:38,6,古典侦探模式，嘴炮断案。前半程好看极了，后半程不能令人信服。,
叶洲,看过,还行,2017/9/25 11:34,9,我只打三星，并不是因为看到一半我就猜出结局，而是因为所有人物都是功能性脸谱角色，毫无打动人的性格。罗织悬疑也很取巧，倒叙式地无证据的一套套口中故事很好编，所有倒叙的情节都可以是假的，也不容易留破绽,
宽松睡裤又如何,看过,力荐,2017/4/18 23:21,15,本片的妙处在于悬疑架构很像一个小径分岔的花园，预设好一个终点，如何通往终点的路径是开放式的，每一个节点都可以产生不同立场的遍历可能。依赖事实但不强依赖于真相，所有的空白都可以用逻辑去填补。观影过程很有意思。,
貓小三的意思其實是如果先生,看过,还行,2017/5/15 23:37,4,很容易猜到的套路。喜欢那个有点像闪灵的酒店外景。,
舒农,看过,还行,2017/9/12 18:05,5,剧本朗读会,
安小安,看过,推荐,2017/10/3 19:23,4,缺乏风格的叙事学意义佳片。,
余小岛,看过,还行,2017/3/23 8:59,15,回忆套娃用得非常好，一层套一层；但整体推理并没有很细致，不足以令人震撼，反正说得一套一套的。最后的易容术绝对是中国武侠小说看多了。。。。,
安德烈大叔,看过,还行,2017/9/19 10:02,8,这种套话和最终跳反的反转并称不上高明，比较让人宽慰的是倒推推理和叙述罗生门没有拍砸，这样以来最让人期待的人设反转就水到渠成了，虽然很快能猜到结尾，但是整个叙事过程比较漂亮，对观众情绪拿捏也到位，可圈可点，值得看看。,
连城易脆,看过,力荐,2017/9/20 14:33,4,不愧为西班牙版的《心迷宫》，看到最后头皮发麻，值得一看。唯一的槽点就是电影里但凡开车的时候分心吵架就会出车祸。,
半城风月,看过,推荐,2017/3/22 13:27,13,必须给编剧大大的赞。像这样的高智商悬疑剧情很少了，节奏快不拖沓，每个小细节都值得推敲。,
玲珑心,看过,推荐,2017/3/25 11:36,4,男主演技好。死者父母太奇幻，为了故事而存在了。,
所有团的团长,看过,力荐,2017/9/24 16:49,6,电影就是讲故事。牛逼。,
Pluto,看过,推荐,2017/8/5 0:50,10,小时候看过的推理故事100篇的再现，不难猜的结局，但推理和悬疑的节奏处理很好，故事本身好是一个层面，讲得好又是另一个层面了。,
天天把豆豆来豆,看过,推荐,2018/2/2 16:20,5,是一部值得看的悬疑片,
JOJOORC/Z,看过,推荐,2017/9/18 18:18,5,愚钝的我没有猜出来，沉浸感很强。结尾泪目。（在宋家庄一个充满尿骚味的奇怪小影院看完,
党阿飞,看过,推荐,2017/5/15 22:13,9,就悬疑故事而言，结构无疑是精彩的，但也有破绽，稍微有点烂尾。因为处心积虑建立结构，显得过分工巧扭捏。好人不得不依靠奸诈的计谋才能赢过这个世界，这种胜利无奈而悲凉。,
---,看过,力荐,2017/3/28 23:06,12,剧情几经反转，高潮持续迭起（温馨提示：看此片前请关弹幕）,
尉迟上九,看过,推荐,2017/3/27 7:35,9,3.5，可以一看，不过真是没啥悬念，谜底比较小儿科，但角色极具反差性的主观动机和意图颠覆得还算精彩，让你意识到一而再的自以为是有多么的不靠谱，谎言的危机在于漏洞的揭穿，直戳人性的多面性，节奏、剪辑玩转得挺吸引人，感觉很久没完整的看完一部新片了，竟也能看，看完觉得还行，当下真知足了。,
小岩菽,看过,推荐,2017/4/30 21:30,8,西语原名更到位，有多层含义，甚至把它拆解成contra tiempo也是极其切题，是一场与时间赛跑的对手戏。,
独行侠杀手阿何,看过,推荐,2017/9/8 23:56,4,第一次在电影院看西班牙电影及西语片，导演到场交流。看不清的真相。社会工程学，主角和律师其中一人被耍得团团长，凌厉英气银白短发的中女律师，都令我想起了挚爱的《我是谁：没有绝对安全的系统》。本来还想骂女主角是贱人的结果……唯一感觉不实际的是这些要复仇的角色总是突然技能全飙开外挂的……,
真可惜🥺,看过,推荐,2017/9/28 21:22,7,男主角看着就像个踢足球的怎么可以干那么高智商的事情,
Ocap,看过,还行,2017/4/3 22:35,6,3.5。不说结局好不好猜，至少能看出导演除了制造高观赏性之外就没别的野心。会讲故事又没野心就有点可惜和浪费了，但确实很吸得住人。,
逢山鬼泣,看过,力荐,2021/1/31 20:58,24,男主之前交代的听起来都很合理，所以人话能信吗？死者母亲真的太厉害了，最后隔窗对视的BGM很赞。P.s.要想人不知，除非己莫为，别做亏心事。,
Morning,看过,还行,2017/3/27 18:45,6,70分，前3/4篇幅之重，令其成为一个故事演示不算高明，两人文明撕逼互揭底牌也只是利用影像障眼法而已。当然导演用这样方法拍是为孤勇，生死全押在律师上。律师演员及早曝露在于两个角色表演是完全相同的，有好有不好，我认为两方法都可，但更倾向于两个角色应不同表演，毕竟男主也没有那么好骗。,
梦里诗书,看过,力荐,2017/3/23 21:38,16,多重反转的悬疑构思，在《看不见的客人》缜密的逻辑中近乎是无懈可击的，电影用一个密室杀人案作为其引人入胜的开端，随着剧情暗流涌动的发酵，如抽丝剥茧般的推倒与重塑俨然将悬疑氛围的渲染发挥到了极致，使一场人性的罗生之门不由让人拍案叫绝。,
树大陈,看过,还行,2019/4/9 18:08,12,这部片到底怎么封神的……,
谋杀游戏机,看过,推荐,2017/9/23 16:50,6,虽然早就被各种公号标题、网友微博剧透了多重反转和神秘人身份，但还是看得津津有味，全程都在提心吊胆。悬念，伏笔，虚实相间，还有两个对话者间的主导权较量，都充满叙事张力和思辨魅力。本来是电影记者组团去看羞羞的铁拳的，密钥意外出错临时改放这个，倒也符合心意,
幸存者,看过,推荐,2018/2/13 20:52,44,反转反转大反转，值得好好用心看,
PixelGirl,看过,推荐,2017/5/1 12:25,6,仅仅是因为做视觉工作猜出来的…,
科学向禄临马,看过,较差,2017/3/25 17:21,12,这也能归类惊悚标签？这个律师一出现就发现问题，看出了是谁了……以后不要看八组推荐了，他们烧脑是因为他们都没有脑可以烧,
颜小兽,看过,推荐,2017/9/19 0:23,9,一个人来看深夜场《看不见的客人》，好看啊好看！很 old fashion 的悬疑片，过山车一样的剧情。像围观两个高手打德扑，很有意思呀。唯一的缺点就是配乐铺的也太满了......吵得慌......,
桃子,看过,力荐,2017/10/8 0:44,1,5个月后影院二刷，音响太棒了！再次感叹，故事编得真好啊～！！！／／／2017/05/06:看得我好难受啊，天！这部片子在豆瓣上的火热，充分证明了人类是多么喜欢听故事，包括我。/拥有的越多越怕失去。一个谎言需要更多的谎言去补。与外遇对象一起遭遇车祸貌似已变成编剧定式之一。非常棒的教育片。,
巴伐利亞酒神,看过,推荐,2017/9/15 14:57,10,悬疑题材，又是西语片，能上院线一定别放过！女主演技出神入化啊，到结尾再回头看剧中她的情绪起伏，更让人感慨万千！,
U 兔,看过,还行,2018/1/8 14:24,2,#补遗#又是一部我看着前面就能随着不停预测剧情而且准确度还相当高的影片，几乎没什么惊喜可言。故事有些一厢情愿，抛去了一些其他的可能性而让做这事的人一意孤行，变成了作死代入感就弱一些。总体剧作还是有些意思的，小成本特效烂烂的，好几次出戏，演员都很棒，节奏有点慢。,
杨欢喜Metiche,看过,推荐,2017/4/2 19:21,11,西班牙版《完美陌生人》。不会因为猜出了结局就抬高或贬低它，因它的悬疑近乎恐怖的气氛营造得真好，因它对受害者夫妇的心理过程刻画得细致，也因它最终邪不压正的立场。电影并没有全程牵着鼻子走，其中你的判断、你的分析、你的感悟和你的害怕才是最重要的。人一生，所有的选择，都无法回头。,
喻鸣,看过,还行,2017/9/16 22:39,10,三星半，悬疑氛围不错，但诸多被人称道的反转竟然只建立在口述上，连案情推理都省了（仅调座椅梗不错），纯靠瞎编和猜想灌输给观众，这和《英雄》的臆想式反转有什么差别？全片铺垫只为了结尾抖个中途就能看穿的包袱，这种临终亮牌的伎俩比《万能钥匙》差远啦，至少人家中途没暴露啊。,
哀酱,看过,力荐,2017/9/17 13:10,4,这就是戏剧。,
开心街的小啵啵,看过,力荐,2017/9/15 20:17,5,全场诈胡,
昆汀的影子,看过,较差,2017/4/1 18:30,9,你瓣的水货虚高愈演愈烈了啊，可以说是非常幼稚又自以为是的悬疑了，比化妆梗更瞎的剧透是海报。男主适合演‘五十度“系列。,
某四,看过,推荐,2017/8/15 9:58,8,剧作堪称严谨，表演极具张力，节奏氛围俱佳，小成本悬疑标杆儿之作。嗯，恶人自有戏精磨【喂】#为什么都要撞死鹿！刚看的《逃出绝命镇》也撞死鹿！撞死鹿是一个什么特别的隐喻吗？鹿这么美的动物！【这位朋友请注意理性】#,
