排名,电影id,名称,年份,导演,演员,类型,国别,语言,评分,评分人数,五星占比,四星占比,三星占比,二星占比,一星占比,短评数
1,27121232,夏目友人帐 第六季 特别篇 铃响的残株 夏目友人帳 陸 特別編 鈴鳴るの切り株,2017,大森贵弘,神谷浩史/井上和彦/伊藤美纪/伊藤荣次/堀江一真/木村良平/菅沼久义/松山鹰志/下崎纮史/冈村明美/黑田崇矢/绪方贤一/久野美咲/种崎敦美/森下由树子/塙爱美,剧情/动画/奇幻,日语,日本,9.6,16711,80.70%,16.60%,2.40%,0.10%,0.20%,3436
﻿2,27167055,夏目友人帐 第六季 特别篇 梦幻的碎片 夏目友人帳 陸 特別編 夢幻のかけら,2017,大森贵弘,神谷浩史/井上和彦/小林沙苗/速水奖/安藤瞳/木村遥/樱井春名,剧情/动画/奇幻,日语,日本,9.5,12679,77.60%,18.90%,3.20%,0.10%,0.20%,2022
3,27011740,夏目友人帐 第五季 特别篇 一夜酒杯 夏目友人帳 伍 特別編 一夜盃,2017,大森贵弘,神谷浩史/井上和彦/小林沙苗/伊藤美纪/伊藤荣次/西村知道/杉山佳寿子/松川央树/滨添伸也/塙爱美/高野慎平,剧情/动画,日语,日本,9.5,14470,79.90%,17.20%,2.50%,0.10%,0.20%,2402
4,27045950,天使在美国第二部：重建 National Theatre Live: Angels in America Part Two - Perestroika,2017,玛丽安娜·埃利奥特,安德鲁·加菲尔德/拉塞尔·托维/内森·连恩/内森·斯图尔特-贾瑞特/马克·阿诺德/丹妮斯·高夫/苏珊·布朗/詹姆斯·麦卡德尔,剧情/同性,英语,英国,9.4,2212,77.50%,18.70%,3.10%,0.20%,0.60%,789
5,26961992,第五十一届超级碗 Super Bowl LI,2017,Dan Quinn,汤姆·布拉迪/Matt Ryan/Lady Gaga,运动,英语,美国,9.4,854,82.40%,10.70%,3.10%,0.80%,3.00%,232
6,27157768,与源太太一起 おげんさんといっしょ,2017,星野源,星野源/高畑充希/宫野真守/藤井隆/細野晴臣,,日语,日本,9.3,171,78.50%,13.90%,4.20%,1.40%,2.10%,53
7,27144867,排球少年剧场版：才能与感觉 劇場版 ハイキュー!! 才能とセンス,2017,满仲劝,村瀬步/石川界人/日野聪/入野自由/林勇/细谷佳正/冈本信彦/内山昂辉/齐藤壮马/浪川大辅,剧情,日语,日本,9.3,1973,73.10%,21.10%,4.70%,0.20%,0.80%,383
8,27021257,天使在美国第一部：千禧年降临 National Theatre Live: Angels in America Part One: Millennium Approaches,2017,玛丽安娜·埃利奥特,安德鲁·加菲尔德/内森·连恩/拉塞尔·托维/阿曼达·劳伦斯/丹妮斯·高夫/内森·斯图尔特-贾瑞特/马克·阿诺德/苏珊·布朗/詹姆斯·麦卡德尔/凯蒂·哈珀,剧情/同性,英语,英国,9.3,3215,71.90%,23.70%,3.40%,0.40%,0.50%,1059
9,27144868,排球少年剧场版：观念之战 劇場版 ハイキュー!! コンセプトの戦い,2017,满仲劝,村瀬步/石川界人/日野聪/入野自由/林勇/细谷佳正/冈本信彦/内山昂辉/齐藤壮马/竹内良太/木村昴,剧情,日语,日本,9.3,2032,73.20%,20.00%,5.70%,0.50%,0.70%,335
10,27133213,平克·弗洛伊德吉他手大卫·吉尔摩庞贝古城演唱会现场 David Gilmour: Live At Pompeii,2017,Gavin Elder,David Gilmour,,英语,英国,9.2,264,76.10%,16.90%,2.30%,1.40%,3.30%,98
11,27203607,孤独的美食家 除夕特别篇～ 最后一食！濑户内出差篇 孤独のグルメ 大晦日スペシャル ～食べ納め！瀬戸内出張編～,2017,松重丰,松重丰,剧情,日语,日本,9.2,6706,64.90%,29.70%,5.10%,0.10%,0.20%,1773
12,26994755,吹响悠风号剧场版：想要传达的旋律 劇場版 響け！ユーフォニアム～届けたいメロディ～,2017,石原立也,黑泽朋世/朝井彩加/丰田萌绘/安济知佳/寿美菜子/早见沙织/茅原实里/石谷春贵/沼仓爱美/樱井孝宏,剧情/动画,日语,日本,9.2,3302,68.20%,25.00%,5.50%,0.70%,0.60%,771
13,27168693,新贵2017圣诞特辑 Upstart Crow: A Christmas Crow,2017,Richard Boden,大卫·米切尔/蒂姆·唐尼/马克·希普/丽莎·塔巴克/杰玛·韦兰/Rob Rouse/艾玛·汤普森,喜剧/历史,英语,英国,9.2,513,69.10%,24.00%,4.90%,0.70%,1.20%,136
14,30373683,Wanna One PREMIER SHOW-CON 워너원 프리미어 쇼콘,2017,姜丹尼尔,姜丹尼尔/朴志训/李大辉/金在奂/邕圣祐/朴佑镇/赖冠霖/尹智圣/黄旼炫/裴珍映/河成云,,韩语,韩国,8.8,101,75.30%,11.10%,2.50%,1.20%,9.90%,11
15,27030646,さんタク 2017 Santaku 2017,2017,木村拓哉,木村拓哉/明石家秋刀鱼,真人秀/脱口秀,日语,日本,9.2,241,76.20%,13.80%,5.80%,1.60%,2.60%,43
16,30167544,林肯公园纪念演唱会 Linkin Park and Friends: Celebrate Life in Honor of Chester Bennington,2017,Linkinpark,Linkinpark,,英语,美国,9,80,73.80%,13.10%,6.60%,1.60%,4.90%,22
17,20495023,寻梦环游记 Coco,2017,李·昂克里奇,安东尼·冈萨雷斯/盖尔·加西亚·贝纳尔/本杰明·布拉特/阿兰娜·乌巴赫/芮妮·维克托/杰米·卡米尔/阿方索·阿雷奥/赫伯特·西古恩萨/加布里埃尔·伊格莱西亚斯/隆巴多·博伊尔/安娜·奥菲丽亚·莫吉亚/娜塔丽·科尔多瓦/赛琳娜·露娜/爱德华·詹姆斯·奥莫斯/索菲亚·伊斯皮诺萨/卡拉·梅迪纳/黛娅娜·欧特里/路易斯·瓦尔德斯/布兰卡·阿拉切利/萨尔瓦多·雷耶斯/切奇·马林/奥克塔维·索利斯/约翰·拉岑贝格,喜剧/动画/音乐/奇幻,英语 / 西班牙语,美国,9.1,1494938,61.90%,30.60%,6.90%,0.40%,0.20%,392122
18,27124569,化茧成蝶：2016年欧洲杯纪录片,2017,天下足球,,,汉语普通话,中国大陆,9.1,545,60.00%,32.70%,7.30%,0.00%,0.00%,117
19,30432345,柯南无国界：以色列特辑 Conan Without Borders: Israel,2017,柯南·奥布莱恩,柯南·奥布莱恩,脱口秀,英语,美国,9.2,244,65.30%,29.00%,4.10%,1.00%,0.50%,39
20,27062701,One Love Manchester,2017,爱莉安娜·格兰德,爱莉安娜·格兰德/贾斯汀·比伯/The Black Eyed Peas/Camila Cabello/Coldplay/麦莉·赛勒斯/利亚姆·加拉格尔/尼奥·贺兰/Little Mix/克里斯·马汀/Marcus Mumford/凯蒂·派瑞/亚瑟·雷蒙德/加里·巴洛/法瑞尔·威廉姆斯,,英语,英国,9.1,242,73.60%,18.80%,2.50%,1.00%,4.10%,53
21,27018258,谁害怕弗吉尼亚·伍尔芙？ National Theatre Live: Who's Afraid of Virginia Woolf?,2017,James Macdonald,艾美达·斯丹顿/康勒斯·希尔/伊莫琴·普茨/卢克·崔德威,剧情,英语,英国,9,2026,60.40%,32.00%,6.40%,0.70%,0.50%,981
