排名,电影id,名称,年份,导演,演员,类型,国别,语言,评分,评分人数,五星占比,四星占比,三星占比,二星占比,一星占比,短评数
22,26919026,机动战士高达 THE ORIGIN Ⅴ 激战 鲁姆会战 機動戦士ガンダム THE ORIGIN Ⅴ 激突 ルウム会戦,2017,安彦良和,池田秀一/潘惠美/三宅健太/古谷彻/浦山迅/银河万丈/柿原彻也/泽城美雪/大塚明夫/喜山茂雄/北泽力/一条和矢/松田健一郎/土屋英史/古川登志夫/新井里美/中西英树/中博史/大川透/茅野爱衣,科幻/动画,日语,日本,9,4487,62.90%,29.20%,6.10%,1.00%,0.90%,860
23,27107631,鬼灯的冷彻 OAD4 鬼灯の冷徹 「花咲前線/三者三様の男」,2017,镝木宏,安元洋贵/游佐浩二/长嶝高士/宫田幸季/平川大辅/喜多村英梨,动画,日语,日本,9,1265,58.80%,32.90%,7.50%,0.40%,0.40%,153
24,27149822,贾达·弗雷德兰德：美国是美国最棒的国家 Judah Friedlander: America is the Greatest Country in the United States,2017,贾达·弗雷德兰德,贾达·弗雷德兰德,喜剧,英语,美国,9,1078,60.70%,32.10%,5.80%,0.70%,0.60%,388
25,27621779,布朗夫人的儿子们：2017圣诞特别篇 Mrs. Brown's Boys Christmas Special: Mammy's Mummy,2017,Ben Kellett,布伦丹·奥卡罗尔/Jennifer Gibney/Dermot O'Neill/Paddy Houlihan/Eilish O'Carroll/Danny O'Carroll/Amanda Woods/Fiona O'Carroll/Pat Shields/Martin Delany/劳伦斯·金兰,剧情,英语,英国,9,181,58.80%,33.80%,6.10%,0.70%,0.70%,32
26,27166990,银魂华祭2017 銀魂華祭り2017（仮）,2017,空知英秋,杉田智和/阪口大助/钉宫理惠,动画,日语,日本,9,245,67.40%,19.30%,11.00%,0.60%,1.70%,38
27,26799731,请以你的名字呼唤我 Call Me by Your Name,2017,卢卡·瓜达尼诺,艾米·汉莫/蒂莫西·柴勒梅德/迈克尔·斯图巴/阿蜜拉·卡萨/艾斯特·加瑞尔/维克图瓦尔·杜布瓦/旺妲·卡布里奥罗/安东尼奥·里莫尔迪/埃琳娜·布奇/马可·斯格罗索/安德列‧艾席蒙/彼得·斯皮尔斯,剧情/爱情/同性,英语 / 意大利语 / 法语 / 德语 / 希伯来语,意大利 / 法国 / 巴西 / 美国,8.9,648597,56.10%,33.10%,9.30%,1.00%,0.40%,199485
28,27002620,戴夫·施佩尔：天旋地转的时代 The Age of Spin: Dave Chappelle,2017,Stan Lathan,大卫·查普尔,喜剧/脱口秀,英语,美国,8.9,2034,56.60%,33.80%,8.40%,0.80%,0.40%,498
29,26926305,孤独的美食家正月特别篇：井之头五郎漫长的一天 孤独のグルメお正月スペシャル～井之頭五郎の長い一日～,2017,久住昌之,松重丰,剧情,日语,日本,8.9,8452,56.00%,35.80%,7.70%,0.20%,0.10%,2540
30,26965031,周六夜现场：克里斯汀·斯图尔特/阿莱西娅·卡拉 Saturday Night Live Kristen Stewart/Alessia Cara,2017,唐·罗伊·金,克里斯汀·斯图尔特/阿莱西娅·卡拉/瓦妮莎·贝尔/贝克·班尼特/艾迪·布莱恩特/迈克尔·彻/皮特·戴维森/莱斯莉·琼斯/科林·乔斯特/凯特·麦克金农/凯尔·穆尼/鲍比·莫尼汉/塞西莉·斯特朗/基南·汤普森/萨西尔·扎玛塔/麦基·戴/亚历克斯·莫法特/梅丽莎·维亚西诺尔/达瑞尔·哈蒙德/亚历克·鲍德温/约翰·德鲁兹巴/梅丽莎·麦卡西,音乐/真人秀,英语 / 法语,美国,8.9,581,57.70%,31.80%,8.20%,1.10%,1.10%,155
31,26920178,少女与战车 最终章 第1话 ガールズ＆パンツァー 最終章 第1話,2017,水岛努,渊上舞/茅野爱衣/尾崎真实/中上育实/井口裕香/福圆美里/高桥美佳子/植田佳奈/菊地美香/吉冈麻耶/桐村麻里/中村樱/仙台惠理/森谷里美/井上优佳/大桥步夕/竹内仁美/中里望/多田好/山冈百合/秋奈/井泽诗织/山本希望/石原舞/金元寿子/喜多村英梨/叶山郁美/仓田雅世/上坂堇/佐仓绫音/高森奈津美/大地叶/米泽圆/七濑亚深/原由实/津田美波/安济知佳/明坂聪美/川澄绫子/伊濑茉莉也/平野绫/田中理惠/生天目仁美/早见沙织/濑户麻沙美/能登麻美子/下地紫野/饭田友子/椎名碧流,喜剧/动作/动画,日语,日本,8.9,1683,57.60%,33.30%,7.20%,0.90%,1.00%,300
32,27032408,弹丸论破2：舞台剧 スーパーダンガンロンパ2 THE STAGE 2017,2017,横滨流星,横滨流星/伊藤萌々香/井上正大/植田圭辅/いしだ壱成/铃木拡树,,日语,日本,8.8,129,56.90%,31.40%,9.80%,1.00%,1.00%,31
33,30203528,海鸥 THE SEAGULL,2017,Yury Butusov,Polina Raykina/Timofey Tribuntcev/Agrippina Steklova/Vladimir Bolshov/Anton Kuznetcov/Yury Butusov/Lika Nifontova/Mariana Spivak/Denis Sukhanov/Artem Osipov/Anton Kuznecov/Marina Drovosekova/Sergey Bubnov,剧情/喜剧,俄语,俄罗斯,8.6,401,54.40%,29.30%,11.80%,2.40%,2.10%,153
34,27000061,我能说 아이 캔 스피크,2017,金炫锡,罗文姬/李帝勋/廉惠兰/朴哲民/李尚熙/李知勋/郑妍周/金素真,剧情/喜剧,韩语 / 英语,韩国,8.8,91914,50.50%,39.70%,9.00%,0.60%,0.10%,29681
35,26982999,特雷弗·诺亚：天黑黑心慌慌 Trevor Noah: Afraid of the Dark,2017,David Paul Meyer,特雷弗·诺亚,喜剧,英语,美国,8.8,4467,49.30%,40.90%,8.90%,0.70%,0.20%,1655
36,27166606,月色真美 未放送短篇集 月がきれい 未放送ショートアニメ,2017,岸诚二,千叶翔也/小原好美/田丸笃志/村川梨衣/笔村荣心/金子诚/石见舞菜香/铃木美园/千菅春香/井上穗乃花/广濑裕也/石井马克/白石晴香/熊谷健太郎/东山奈央/龟冈孝洋/斋藤千和/岩田光央/井上喜久子/冈和男/前川凉子/古川慎,剧情/爱情/动画,日语,日本,8.8,1976,53.00%,35.20%,11.10%,0.50%,0.20%,366
37,26976388,报童传奇 Disney's Newsies the Broadway Musical,2017,Brett Sullivan,Jeremy Jordan/Kara Lindsay/Ben Fankhauser/Andrew Keenan-Bolger/Steve Blanchard/Aisha de Haas/Ethan Steine,歌舞,英语,美国,8.7,395,51.10%,36.90%,10.60%,0.60%,0.90%,158
38,27087206,富丽秀 National Theatre Live: Follies,2017,Dominic Cooke,Julie Armstrong/Norma Atallah/Josephine Barstow/Jeremy Batt/Tracie Bennett/Di Botcher/Billy Boyle/Janie Dee/Anoushka Eaton/Liz Ewing/Geraldine Fitzgerald/Peter Forbes/Emily Goodenough/Bruce Graham/Adrian Grove/Fred Haig/Aimee Hodnett/Dawn Hope/Liz Izen/Alison Langer/Emily Langham/Sarah-Marie Maxwell/Ian McLarnon/Leisha Mollyneaux/Gemma Page/Kate Parr/Philip Quast/Edwin Ray/Gary Raymond/Adam Rhys-Charles/Jordan Shaw/Imelda Staunton/Zizi Strallen/Barnaby Thompson/Christine Tucker/Michael Vinsen/Alex Young,歌舞,英语,英国,8.8,1314,50.60%,38.50%,9.80%,0.80%,0.30%,683
39,26920265,绝境求生 A Harsh Transition,2016,周放生,,纪录片,汉语普通话,中国大陆,8.8,773,46.40%,46.40%,5.80%,1.40%,0.00%,286
40,27620607,杰尼斯跨年演唱会2017-2018 ジャニーズカウントダウン 2017-2018,2017,东山纪之,东山纪之/TOKIO/堂本刚/V6/嵐/NEWS/関ジャニ∞/Hey！Say! Jump/Sexy Zone/A.B.C-Z/ジャニーズWEST/Kis-My-Ft2/山下智久/龟梨和也/冈本健一/中山优马/佐藤アツヒロ/ジャニーズJr./堂本光一,音乐/歌舞,日语,日本,8.8,362,55.50%,30.40%,12.70%,0.70%,0.70%,81
41,27099195,弗兰克·劳埃德·赖特：建筑美国之人 Frank Lloyd Wright The Man Who Built America,2017,Ian Michael Jones,Jonathan Adams,紀錄片 Documentary,英語 English,英国,8.7,176,47.50%,42.60%,9.20%,0.00%,0.70%,70
42,27621839,呼叫助产士：2017圣诞特别辑 Call the Midwife Christmas Special 2017,2017,Syd Macartney,珍妮·艾加特/朱迪·帕瑞福特/夏洛特·里奇/Jennifer Kirby/海伦·乔治/琳达·巴塞特/史蒂芬·麦可甘/劳拉·美恩/Anita Dobson,剧情/爱情/儿童/历史,英语,英国,8.9,123,61.50%,25.00%,10.40%,1.00%,2.10%,22
43,27133163,AKB48背后的故事特别篇 小嶋阳菜毕业遗留之物 AKB48裏ストーリー特別編 小嶋陽菜、卒業が遺すもの,2017,鈴木雅彦（TPK）,小嶋阳菜/高桥南/峰岸南/前田敦子/大岛优子/横山由依/山本彩/渡边麻友/北原里英,,日语,日本,8.8,100,51.30%,37.20%,10.30%,1.30%,0.00%,39
44,27085500,京都奈良梦华录,2017,李明熙,项明生,,粤语,中国香港,8.8,96,48.40%,45.30%,4.70%,1.60%,0.00%,31
45,26611804,三块广告牌 Three Billboards Outside Ebbing  Missouri,2017,马丁·麦克唐纳,弗兰西斯·麦克多蒙德/伍迪·哈里森/山姆·洛克威尔/艾比·考尼什/卢卡斯·赫奇斯/彼特·丁拉基/约翰·浩克斯/卡赖伯·兰德里·琼斯/凯瑟琳·纽顿/凯瑞·康顿/泽利科·伊万内克/萨玛拉·维文/克拉克·彼得斯/尼克·瑟西/阿曼达·沃伦/玛拉雅·瑞沃拉·德鲁/布兰登·萨克斯顿/迈克尔·艾伦·米利甘,剧情/犯罪,英语,美国 / 英国,8.7,757678,46.80%,43.30%,8.90%,0.70%,0.20%,191810
46,27059130,大佛普拉斯,2017,黄信尧,庄益增/陈竹昇/戴立忍/张少怀/陈以文/纳豆/丁国琳/李永丰/朱约信/雷婕熙/林美秀/小亮哥/游安顺/梁赫群/脱线/郑宇彤/鲁文学,剧情/喜剧,闽南语 / 汉语普通话,中国台湾,8.7,400026,48.00%,42.00%,8.90%,0.80%,0.30%,110400
47,26935251,春宵苦短，少女前进吧！ 夜は短し歩けよ乙女,2017,汤浅政明,星野源/花泽香菜/神谷浩史/中井和哉/甲斐田裕子/吉野裕行/秋山龙次/新妻圣子/诹访部顺一/悠木碧/小清水亚美/本多力/中冈创一/家中宏/中博史/滨野大辉/今村一志洋/虎岛贵明/落合福嗣/广濑裕也/菊地美香/内藤有海/野口百合/桧山修之/山路和弘/麦人,喜剧/爱情/动画/奇幻,日语,日本,8.7,114337,50.80%,36.20%,11.10%,1.50%,0.50%,47135
48,27011485,魔卡少女樱 透明牌篇 序章 小樱与两只小熊 カードキャプターさくら クリアカード編 プロローグ さくらとふたつのくま,2017,浅香守生,丹下樱/熊井统子/岩男润子/久川绫/关智一/绪方惠美,喜剧/爱情/动画,日语,日本,8.7,7220,49.10%,38.00%,11.60%,0.90%,0.40%,2184
49,26774014,岸边露伴一动不动 富豪村 岸辺露伴は動かない 富豪村,2017,加藤敏幸,樱井孝宏/中原麻衣/水桥香织,剧情/动画/奇幻,日语,日本,8.7,4060,48.20%,40.40%,10.30%,0.70%,0.30%,721
50,26635321,伤物语3：冷血篇 傷物語Ⅲ 冷血篇,2017,新房昭之,神谷浩史/坂本真绫/堀江由衣/樱井孝宏/入野自由/江原正士/大塚芳忠,喜剧/动画/奇幻,日语,日本,8.7,6869,53.20%,33.20%,10.80%,2.00%,0.70%,1532
51,27130415,小林家的龙女仆：情人节和温泉！ 小林さんちのメイドラゴン バレンタイン、そして温泉！,2017,武本康弘,田村睦心/桑原由气/高田忧希/长绳麻理亚/高桥未奈美/小野大辅/中村悠一/加藤英美里/石原夏织/后藤邑子/高桥伸也,喜剧/动画,日语,日本,8.7,3687,50.10%,36.50%,12.50%,0.70%,0.20%,489
52,26873005,鲁邦三世：血烟的石川五右卫门 LUPIN THE IIIRD 血煙の石川五ェ門,2017,小池健,浪川大辅/栗田贯一/泽城美雪/小林清志/山寺宏一/土师孝也,动作/动画,日语,日本,8.7,3220,52.10%,35.10%,11.10%,1.30%,0.40%,906
53,27157676,排球少年：特集！赌在春高上的青春 ハイキュー!! 特集! 春高バレーに賭けた青春,2017,满仲劝,村瀬步/石川界人/内山昂辉/诸星堇/林勇/齐藤壮马/大塚芳忠,动画/运动,日语,日本,8.8,1689,53.20%,33.40%,12.00%,1.10%,0.30%,325
54,5157309,胡桃夹子 Royal Opera House Live: The Nutcracker,2009,Monica Mason,Iohna Loots/Ricardo Cervera/Gary Avis,爱情/音乐/奇幻,英语,英国,8.7,634,49.00%,36.70%,14.30%,0.00%,0.00%,188
55,26959181,尼尔·布伦南：三个麦克风 Neal Brennan: 3 Mics,2017,尼尔·布伦南,尼尔·布伦南,喜剧,英语,美国,8.7,1054,45.20%,44.90%,8.40%,1.00%,0.50%,363
56,27098373,废头 Junk Head,2017,堀贵秀,堀贵秀,科幻/动画/奇幻/冒险,日语,日本,8.7,288,49.30%,40.60%,8.80%,0.50%,0.90%,95
58,27017277,日本列岛 91岁的深夜食堂 溝口美佐子 目撃！日本列島「91歳の“深夜食堂”～長崎　佐世保～」,2017,长山修见,溝口美佐子,,日语,日本,8.7,295,51.80%,35.30%,11.20%,0.40%,1.30%,74
60,27604286,爱登堡和巨象 Attenborough And The Giant Elephant,2017,Stephen Dunleavy,David Attenborough,,英语,英国,8.7,74,53.30%,28.30%,18.30%,0.00%,0.00%,11
61,26787574,奇迹男孩 Wonder,2017,斯蒂芬·卓博斯基,雅各布·特伦布莱/朱莉娅·罗伯茨/伊扎贝拉·维多维奇/欧文·威尔逊/诺亚·尤佩/丹妮尔·罗丝·拉塞尔/纳吉·杰特/戴维德·迪格斯/曼迪·帕廷金/布莱斯·吉扎尔/艾尔·麦金农/泰·孔西利奥/詹姆斯·休斯/凯尔·布瑞特科夫/米莉·戴维斯/莉娅·朱厄特/凯琳·布瑞特科夫/利亚姆·迪金森/艾玛·特伦布莱/马克·多兹劳/鲁奇娅·伯纳德/J·道格拉斯·斯图瓦特/阿里·利伯特/埃丽卡·麦基特里克/本杰明·拉特纳/杰森·麦金农/索尼娅·布拉加/吉洁特,剧情/家庭/儿童,英语,美国 / 中国香港,8.6,514661,43.10%,44.10%,12.00%,0.70%,0.10%,139155
62,27114240,冒牌上尉 Der Hauptmann,2017,罗伯特·斯文克,麦克斯·胡巴赫/米兰·佩舍尔/弗雷德里克·劳/贝恩德·霍尔谢尔/瓦尔德马·科布斯/亚历山大·费林/萨缪尔·芬齐,剧情/历史/战争,德语,德国 / 波兰 / 葡萄牙 / 法国,8.6,69123,40.80%,49.00%,9.50%,0.50%,0.20%,17224
63,27030639,啊，荒野 后篇 あゝ、荒野 後篇,2017,岸善幸,菅田将晖/梁益准/木下明里/茂吕师冈/高桥和也/今野杏南/山田裕贵/河井青叶/前原滉/萩原利久/小林且弥/川口觉/山中崇/绪方义博/木村多江/中山裕介/山本浩司/铃木卓尔,剧情,日语,日本,8.6,22300,46.60%,40.50%,11.70%,0.90%,0.30%,6925
64,26640849,黑执事：豪华客船篇 黒執事 Book of the Atlantic,2017,阿部记之,小野大辅/坂本真绫/诹访部顺一/福山润/大桥贤一郎/杉山纪彰/田村由香里/山下诚一郎/田中敦子/中田让治/石川界人/铃木达央/寺岛拓笃/木村良平/前野智昭/游佐浩二/朴璐美/东地宏树/梶裕贵/加藤英美里/藤村俊二/濑田宏美/宫本茉奈/花藤莲/增元拓也/榊孝辅/今村一志洋/野坂尚也/阿部薮一/佐原诚/有村百惠/伊波奈奈/君岛哲/工藤雅久/高宫彩织/堤义光/西乡彩香/林翔太/平丸拓实/福原克己/真木骏一/真中琴与/峰晃弘/弓原健史/渡边奏人,剧情/动画,日语,日本,8.6,11469,47.00%,38.20%,13.00%,1.40%,0.40%,3584
65,27065129,眩：北斋之女 眩～北斎の娘～,2017,加藤拓,宫崎葵/松田龙平/长塚京三/三宅弘城/余贵美子/野田秀树,剧情/历史,日语,日本,8.6,12155,43.50%,44.10%,11.50%,0.70%,0.10%,4859
66,27000006,男子游泳部特别版：各就各位 特別版 Free! -Take Your Marks-,2017,河浪荣作,岛崎信长/铃木达央/代永翼/平川大辅/宫野真守/细谷佳正/宫田幸季/铃村健一/丰永利行/内山昂辉/野岛健儿/日野聪/铃木千寻/渡边明乃/雪野五月/家中宏/津田健次郎,剧情/动画/运动,日语,日本,8.7,2210,50.40%,34.80%,12.90%,1.20%,0.70%,435
67,26994791,莫扎特传 National Theatre Live: Amadeus,2017,Michael Longhurst,Adam Gillen/Lucian Msamati/Peter Willcock/Everal A Walsh/Wendy Dawn Thompson/Eleanor Sutton/Robyn Allegra Parton/Eamonn Mulhall/Alexandra Mathie/Andrew Macbean/Jennifer MacCallum/Michael Lyle/Matthew Hargreaves/Nicholas Gerard-Martin/Hugh Sachs,剧情,英语,英国,8.6,1164,46.30%,39.40%,13.40%,0.90%,0.10%,394
68,27126926,海贼王 东海特别篇 路飞与四位伙伴的大冒险！！ ONE PIECE エピソードオブ東の海～ルフィと4人の仲間の大冒険!!～,2017,大塚隆史,田中真弓/冈村明美/中井和哉/山口胜平/平田广明/池田秀一/岸野幸正/小林通孝/田原阿尔诺/土门仁/大本真基子/园部启一/银河万丈/挂川裕彦/土井美加/永野广一/德山靖彦/高冢正也/宇和川惠美/丰岛真千子/浦和惠/石冢运升/桥本晃一/矢尾一树/国府田麻理子/川庄美雪/日比爱子/立木文彦/樋浦勉/小野健一/河本浩之/稻田彻/大谷育江/小杉十郎太/日高法子/山崎和佳奈/盐屋浩三/麻生智久/江川央生/小野坂昌也/森川智之/西胁保/织田优成/川原庆久/服卷浩司/藤本隆弘/平井启二/半田裕典/荒井聪太/千叶俊哉/秋山幸辉/服部想之介/鹿野优以/镰田梢/森下由树子/祖山桃子/木村遥/鹤田真希/关根有咲/大场真人,动画/奇幻/冒险,日语,日本,8.6,883,48.50%,36.70%,13.30%,0.90%,0.50%,106
69,26994997,第十二夜 National Theatre Live: Twelfth Night,2017,西蒙·戈德温,塔姆辛·格雷格/菲比·福克斯/奥利弗·克里斯/塔马拉·劳伦斯/杜恩·麦基琴/蒂姆·迈克穆兰/丹尼尔·里格比/詹姆斯·华莱士/Adam Best/Imogen Doel/Ammar Duffus/Claire Cordier/Daniel Ezra/Whitney Kehinde/Mary Doherty/Emmanuel Kojo/Andrew MacBean,喜剧,英语,英国,8.6,1293,43.80%,45.40%,9.70%,0.90%,0.20%,684
70,30162248,24小时不准笑：美国警察24小时 絶対に笑ってはいけないアメリカンポリス２４時！,2017,松本人志,松本人志/田中直树/浜田雅功/远藤章造,,日语,日本,8.6,140,49.50%,35.60%,12.90%,0.00%,2.00%,24
71,27189975,乐在当下 Present Laughter,2017,David Horn,凯文·克莱恩/凯特·伯顿/寇碧·史莫德斯,,英语,美国,8.6,320,46.50%,40.20%,11.60%,1.20%,0.40%,128
72,30432344,柯南无国界：墨西哥特辑 Conan Without Borders: Made in Mexico,2017,柯南·奥布莱恩,柯南·奥布莱恩,脱口秀,英语,美国,8.6,194,47.40%,38.20%,10.50%,3.30%,0.70%,35
73,27595629,Michelle Wolf: Nice Lady,2017,Michelle Wolf,Michelle Wolf,喜剧,英语,美国,8.9,113,55.60%,33.30%,10.00%,1.10%,0.00%,38
74,27191256,ERDEM x H&M: The Secret Life of Flowers,2017,巴兹·鲁赫曼,汤姆·里斯哈里斯/赫洛·费因斯-提芬/鲁比·达格纳尔/萨斯奇雅·德·布劳,,英语,英国,8.6,67,50.00%,33.30%,13.00%,1.90%,1.90%,26
75,27113517,血观音 血觀音,2017,杨雅喆,惠英红/吴可熙/文淇/柯佳嬿/陈莎莉/丁强/刘尚谦/林志儒/王月/温贞菱/王伟六/陈珮骐/尹昭德/大久保麻梨子/巫书维/颜毓麟/刘越逖/傅子纯/陈武康/施名帅/秀兰玛雅/应蔚民/李铨,剧情/悬疑,汉语普通话 / 粤语 / 闽南语 / 日语,中国台湾,8.5,360580,38.60%,48.00%,12.30%,0.90%,0.20%,100431
76,26761416,至暗时刻 Darkest Hour,2017,乔·赖特,加里·奥德曼/克里斯汀·斯科特·托马斯/莉莉·詹姆斯/本·门德尔森/斯蒂芬·迪兰/萨缪尔·韦斯特/汉娜·斯蒂尔/罗纳德·皮卡普/乔丹·沃勒/理查德·拉姆斯登/安娜·伯内特/尼古拉斯·琼斯/查理·帕尔默·罗斯韦尔/布赖恩·佩蒂福/菲利普·马丁·布朗/安杰莉克·琼/希尔顿·麦克雷/詹姆斯·伊莱斯/杰瑞米·查亚德/马汀·麦格/迈克尔·海登/迈克尔·博特/皮普·托伦斯,剧情/传记/历史/战争,英语,英国 / 美国,8.5,352282,40.00%,47.40%,11.70%,0.70%,0.20%,100909
