排名,电影id,名称,年份,导演,演员,类型,国别,语言,评分,评分人数,五星占比,四星占比,三星占比,二星占比,一星占比,短评数
346,27615401,翻译家 Un Traductor,2018,罗德里戈·巴鲁索,罗德里戈·桑托罗/马里塞尔·阿尔瓦雷斯/埃丝琳达·努涅斯/Milda Gecaite/Nataliya Rodina/Yoandra Suárez/Genadijs Dolganovs/Nikita Semenov/Aleksandra Maslennikova/Osvaldo Doimeadiós/Jorge Carlos Perez Herrera,剧情,西班牙语 / 俄语,古巴 / 加拿大,7.4,595,14.90%,47.20%,33.30%,4.30%,0.20%,203
347,30238972,在我遗忘之前 Antes Que Eu Me Esqueça,2018,蒂亚戈·阿拉基利安,何塞·阿布雷乌/卢塞·德·索萨/勒琪霞·依斯纳德/爱莎·杨波/玛丽安娜·利马/丹通·梅罗/得德·桑塔纳,剧情/喜剧,葡萄牙语,巴西,7.5,227,20.00%,40.60%,35.30%,3.50%,0.60%,96
348,4164100,呼吸 Breath,2018,西蒙·贝克,西蒙·贝克/伊丽莎白·德比茨基/理查德·劳斯伯格/瑞切尔·布莱克,剧情/运动,英语,澳大利亚,7.5,150,20.60%,40.50%,33.30%,4.80%,0.80%,53
349,30304539,D·L·休利：主流的反面 D.L. Hughley: Contrarian,2018,Jay Laurier,D·L·休利,喜剧,英语,美国,7.5,130,15.50%,48.50%,32.00%,3.10%,1.00%,34
350,30345223,周六夜现场：亚当·德赖弗/坎耶·威斯特 Saturday Night Live Adam Driver/Kanye West,2018,亚当·德赖弗,亚当·德赖弗/坎耶·威斯特,喜剧,英语,美国,7.6,114,19.80%,46.90%,28.40%,2.50%,2.50%,46
351,30183613,布莱恩·班克斯 Brian Banks,2018,汤姆·沙迪亚克,梅兰妮·利伯德/蒂凡尼·多庞特/格雷戈·金尼尔/阿尔迪斯·霍吉/雪莉·谢波德/马特·巴特格里亚/豪莎·罗克莫雷/道林·米西克/吉诺·文托/迪安·丹顿/哈里森·斯通,剧情/传记/运动,英语,美国,7.5,238,17.90%,46.20%,30.80%,4.60%,0.50%,63
352,30141476,兰伽斯塔拉姆恩仇录 Rangasthalam,2018,Sukumar,拉姆·查兰·特哈/萨曼莎·鲁斯·帕布/Aadhi/普嘉·海婅/普拉卡什·拉贾/Gautami/Jagapathi Babu,剧情/动作,泰卢固语,印度,7.5,168,26.90%,33.70%,28.80%,8.70%,1.90%,40
353,30329844,Amy Schumer Presents Sam Morril: Positive Influence,2018,马库斯·雷波依,Sam Morril,喜剧,英语,美国,7.5,157,17.60%,47.10%,31.90%,1.70%,1.70%,48
354,34459705,所有关于爱的歌 Todas as Canções de Amor,2018,Joana Mariani,玛丽娜·辉·巴尔博萨/布鲁诺·加利亚索/Julio Andrade/露易扎·玛丽安妮,爱情,葡萄牙语,巴西,7.5,113,27.10%,30.20%,34.40%,5.20%,3.10%,61
355,30232753,霍夫曼奇遇记 Гофманиада,2018,斯坦尼斯拉夫·索科洛夫,纳塔莉亚·费森/Vladimir Koshevoy/Slawa Polunin,动画/传记,俄语,俄罗斯,7.5,112,16.70%,50.00%,27.40%,6.00%,0.00%,46
