排名,电影id,名称,年份,导演,演员,类型,国别,语言,评分,评分人数,五星占比,四星占比,三星占比,二星占比,一星占比,短评数
1,35675021,伊恩·麦克莱恩80岁个人秀巡回演出 Great British Theatre: Ian McKellen on Stage,2021,西恩·马提亚斯,伊恩·麦克莱恩,剧情,英语,英国,9.7,415,86.40%,10.60%,3.00%,0.00%,0.00%,184
﻿2,35430794,山河令生来知己演唱会,2021,张哲瀚,张哲瀚/龚俊/周也/马闻远/孙浠伦/李岱昆/王若麟/黄宥明/陈紫函/金乐/赵茜/柯乃予/郭家豪/范津玮/黑子/郭云飞/袁帅/胡夏/满舒克/王嘉诚/王晰/弦子/叶里/汪聪/谢楠/马韬/小初/周照中/杨涵玉,音乐/歌舞,汉语普通话,中国大陆,9.5,139621,81.80%,14.30%,3.60%,0.00%,0.30%,77495
3,35432352,万物生灵：2021圣诞特别集 All Creatures Great and Small: Christmas Special,2021,安迪·海伊,尼古拉斯·瑞夫/瑞秋·申顿/萨缪尔·韦斯特/卡勒姆·伍德豪斯/安娜·梅德利/德里克/多萝西·阿特金森/詹姆斯·伯罗斯/威尔·索普/派翠西亚·霍吉/托尼·皮茨/Mollie Winnard/Imogen Clawson/Gabriel Quigley/Drew Cain,剧情/喜剧,英语,英国,9.4,4620,73.50%,23.10%,3.20%,0.10%,0.10%,1519
4,35675055,聆听阿黛尔 An Audience with Adele,2021,阿黛尔,阿黛尔,音乐,英语,英国,9.3,278,77.30%,17.00%,3.50%,0.00%,2.20%,88
5,35420003,TME Live 「想你 张国荣」线上音乐会 想你·张国荣,2021,张国荣,张国荣/许冠杰/张智霖/莫文蔚/李克勤/赵增熹/郑丹瑞,音乐,粤语,中国香港,9.3,894,75.90%,17.90%,4.60%,0.40%,1.20%,304
6,35717094,TME live 五月天“好好好想见到你”陪你跨年演唱会线上特别版,2021,陈信宏,陈信宏/温尚翊/石锦航/蔡升晏/刘冠佑,音乐/真人秀,汉语普通话,中国台湾,9.3,1515,68.90%,25.80%,4.80%,0.50%,0.00%,755
7,1428581,天书奇谭,1983,王树忱,丁建华/毕克/苏秀/程晓桦/施融/于鼎/杨成纯/孙渝烽/胡庆汉/尚华/刘广宁/乔榛/严崇德/伍经纬/童自荣/程玉珠/曹雷/王建新/杨文元/富润生/刘钦/刘风/翟巍/张欣/郭易峰/王肖兵,动画/奇幻,汉语普通话,中国大陆,9.2,257027,67.80%,26.30%,5.30%,0.40%,0.20%,46641
8,10428501,新·福音战士剧场版：终 シン・エヴァンゲリオン劇場版:│▌,2021,庵野秀明,绪方惠美/林原惠美/宫村优子/石田彰/坂本真绫/三石琴乃/山口由里子/立木文彦/清川元梦/关智一/岩永哲哉/岩男润子/长泽美树/子安武人/优希比吕/大塚明夫/泽城美雪/大原沙耶香/伊濑茉莉也/胜杏里/山寺宏一/内山昂辉/川田绅司/兴津和幸/下山吉光/星野充昭/佐藤蓝/泷泽罗子/堀越真己/八百屋杏/斋藤千和/小野冢贵志/仪武祐子/手冢弘道/塙爱美/中务贵幸/大南悠/丹羽正人/广濑小夜/中村源太/武藏真之介/新祐树/前田玲奈/村田知沙/井关花芽/虎岛贵明/神木隆之介,剧情/科幻/动画,日语,日本,9.2,60663,73.00%,18.00%,6.30%,1.40%,1.20%,26437
9,34908189,老友记重聚特辑 Friends: The Reunion,2021,本·温斯顿,詹妮弗·安妮斯顿/柯特妮·考克斯/马修·派瑞/大卫·休默/丽莎·库卓/马特·勒布朗/瑞茜·威瑟斯彭/Lady Gaga/大卫·贝克汉姆/贾斯汀·比伯/詹姆斯·柯登/辛迪·克劳馥/卡拉·迪瓦伊/埃利奥特·古尔德/基特·哈灵顿/拉里·哈金/敏迪·卡灵/托马斯·列农/克里斯蒂娜·皮克勒斯/汤姆·塞立克/詹姆斯·迈克尔·泰勒/玛姬·惠勒/马拉拉·尤萨夫扎伊/BTS,喜剧/爱情,英语,美国,9.2,67323,69.40%,22.40%,7.20%,0.80%,0.10%,26774
10,35351306,罗大佑【当年离家的年轻人】巡回演唱会 羅大佑 【當年離家的年輕人】 巡迴演唱會,2021,王佩云,罗大佑,音乐,汉语普通话,中国台湾,9.1,231,67.80%,23.40%,5.80%,0.60%,2.30%,76
11,35516431,2PM回归秀“MUST” 2PM COMEBACK SHOW 'MUST',2021,金闵俊,金闵俊/尼查坤·抔勒威查固/玉泽演/张祐荣/李俊昊/黄灿盛,音乐/歌舞/真人秀,韩语,韩国,9,96,72.50%,15.00%,6.30%,2.50%,3.80%,22
12,27200859,来自远方 Come from Away,2021,克里斯托弗·阿什利,詹·科莱拉/Petrina Bromley/De'Lon Grant/Joel Hatch/Tony LePage/Q. Smith/Caesar Samayoa/Astrid Van Wieren/Emily Walton/Jim Walton/Sharon Wheatley/Paul Whitty,歌舞,英语,美国,9.1,6289,65.30%,26.70%,6.70%,0.60%,0.60%,2489
13,35494375,端午奇妙游,2021,何灏号,何灏号/林森/李振宇/柳青瑶/焦静修/胡锡安/杨澜/张美珊/卢泽润/魏贝贝/王姝蒙/郭亚琼/魏鹏/王端/麒昊/栾西子/耿源/刘璐瑶/李佳颖/喻筱博/颜灵兰/韦欢/吴圆圆/刘木子,,汉语普通话,中国大陆,9.1,2934,64.30%,26.40%,8.20%,1.10%,0.00%,981
14,35474821,Dylan Moran: Dr Cosmos,2021,Martin Coombes,迪兰·莫兰,脱口秀,英语,美国,9.2,289,67.20%,26.10%,4.60%,1.70%,0.40%,138
15,35371280,五月天陪你守岁2021 五月天陪你守歲2021,2021,陈信宏,陈信宏/温尚翊/蔡升晏/石锦航/刘冠佑,脱口秀,汉语普通话,中国台湾,9.2,115,70.20%,19.00%,9.50%,1.20%,0.00%,18
16,35566750,潜迹 - 金多美 잠적 - 김다미,2021,徐丞汉,金多美,真人秀,韩语,韩国,9.1,566,64.70%,25.90%,8.40%,0.60%,0.40%,204
17,35707837,孤独的美食家 2021除夕特别篇 孤独のグルメ2021大晦日スペシャル～激走！絶景絶品・年忘れロードムービー,2021,井川尊史,松重丰/小籔千豊/梅泽昌代/中尾明庆/石野真子/山本未来/久住昌之,,日语,日本,9.1,3000,60.60%,33.50%,5.50%,0.30%,0.10%,1224
18,35206315,夏目友人帐：石起和可疑来访者 夏目友人帳 石起こしと怪しき来訪者,2021,大森贵弘,神谷浩史/井上和彦/堀江一真/黑田崇矢/冈村明美/长岛雄一/松山鹰志/下崎纮史,动画/奇幻,日语,日本,9,13473,59.20%,31.30%,8.40%,0.70%,0.30%,4441
19,35375238,河南卫视元宵节特别节目—河南博物院元宵奇妙夜,2021,路红莉,汪苏泷/周延/杨俊/林杨/马兰/范静/杨晓青/王凤琴,真人秀,汉语普通话,中国大陆,9.1,1462,62.70%,27.70%,9.60%,0.00%,0.00%,381
20,35286583,蜡笔小新：谜团！花之天下春日部学院 映画クレヨンしんちゃん 謎メキ！花の天カス学園,2021,高桥涉,小林由美子/林玉绪/广桥凉/一龙斋贞友/稻田彻/龟井芳子/兴梠里美/真柴摩利/森川智之/村瀬步/楢桥美纪/斋藤彩夏/佐久间玲/Chie Satô/山口太郎,动画/悬疑,日语,日本,9,21007,61.80%,28.50%,8.60%,0.80%,0.30%,8132
21,35382589,IZ*ONE线上演唱会ONE THE STORY IZ*ONE ONLINE CONCERT：ONE THE STORY,2021,张元英,张元英/宮胁咲良/曺柔理/崔叡娜/安宥真/矢吹奈子/权恩菲/姜惠元/本田仁美/金采源/金玟周/李彩燕,音乐/歌舞,韩语,韩国,9.1,110,75.00%,11.90%,9.50%,1.20%,2.40%,39
22,35498628,文明特急：回眼名演唱会 문명특급 : 컴눈명 스페셜,2021,Jae Jae,Jae Jae/金起范/夫胜宽/玄胜熙/金闵俊/尼查坤·抔勒威查固/玉泽演/张祐荣/李俊昊/黄灿盛/朴嘉熙/金正雅/李周妍/Rebecca Kim/吴惠麟/温流/崔珉豪/李泰民/文悬雅/李欧艾琳/倞利/表慧美/朴敏荷/赵笑珍/李金祚/崔效定/金美贤/柳始我/金祉呼/裵洧彬/崔乂园/李玟爀/文彬/磪有情/全昭弥/李大辉/崔叡娜/李彩燕/张度妍/朴智允,音乐/真人秀,韩语,韩国,9,104,63.50%,27.10%,8.20%,0.00%,1.20%,29
23,27305997,椒麻堂会,2021,邱炯炯,易思成/关南/邱志敏/薛旭春/顾桃,剧情,汉语普通话,中国香港 / 法国,8.8,624,54.70%,32.60%,10.50%,2.30%,0.00%,190
24,35688643,M1大奖赛2021 M-1グランプリ2021,2021,松本人志,松本人志,,日语,日本,9,138,55.90%,37.80%,5.40%,0.90%,0.00%,76
25,35684354,德鲁·迈克：红蓝绿 Drew Michael: Red Blue Green,2021,Drew Michael,Drew Michael,喜剧,英语,美国,8.9,89,54.90%,38.00%,5.60%,1.40%,0.00%,36
26,34950968,少女☆歌剧 Revue Starlight 剧场版 劇場版 少女☆歌劇 レヴュースタァライト,2021,古川知宏,小山百代/三森铃子/富田麻帆/佐藤日向/岩田阳葵/小泉萌香/相羽爱奈/生田辉/伊藤彩沙/津田健次郎/名冢佳织/筱宫明日香/广濑小夜/大原沙耶香/园崎未惠/川澄绫子,动画/奇幻,日语,日本,8.9,1633,62.80%,24.00%,10.50%,2.00%,0.70%,744
27,35503702,剧场版：海贼战队豪快者 10周年回归限定 テン・ゴーカイジャー,2021,小泽亮太,小泽亮太/山田裕贵/市道真央/清水一希/小池唯/池田纯矢,动作/科幻,日语,日本,8.9,164,63.20%,25.00%,7.60%,0.70%,3.50%,50
28,35651911,鬼灭之刃 鼓屋敷篇 鬼滅の刃 鼓屋敷編,2021,外崎春雄,花江夏树/鬼头明里,动画,日语,日本,8.9,3862,56.70%,33.20%,8.80%,0.70%,0.60%,300
29,35691909,鬼灭之刃 浅草篇 鬼滅の刃 浅草編,2021,外崎春雄,花江夏树/鬼头明里,动画,日语,日本,8.9,3338,58.70%,32.00%,8.10%,0.60%,0.60%,271
30,35453767,博·伯翰：隔离在家 Bo Burnham: Inside,2021,博·伯翰,博·伯翰,喜剧/脱口秀,英语,美国,8.8,2277,56.30%,31.40%,9.40%,1.90%,1.10%,1140
