排名,电影id,名称,年份,导演,演员,类型,国别,语言,评分,评分人数,五星占比,四星占比,三星占比,二星占比,一星占比,短评数
1,35132844,陈奕迅线上慈善演唱会 Live Is So Much Better With Music Eason Chan Charity Concert,2020,陈奕迅,陈奕迅,音乐/真人秀,粤语,中国香港,9.7,13120,86.20%,11.90%,1.40%,0.10%,0.40%,5229
﻿2,35242823,岚ARAFES2020at国立竞技场 ARASHI ARAFES 2020 at National stadium,2020,阿拉希,大野智/樱井翔/相叶雅纪/二宫和也/松本润,音乐/歌舞,日语,日本,9.6,636,91.10%,4.10%,1.50%,0.60%,2.60%,181
3,35314833,This is 嵐 LIVE,2020,嵐 ARASHI,大野智/樱井翔/相叶雅纪/二宫和也/松本润,音乐/歌舞,日语,日本,9.6,503,90.10%,4.60%,2.20%,1.00%,2.20%,139
4,34961898,汉密尔顿 Hamilton,2020,托马斯·凯尔,林-曼努尔·米兰达/小莱斯利·奥多姆/戴维德·迪格斯/芮妮·戈兹贝里/菲莉帕·苏/乔纳森·格罗夫/克里斯·杰克逊/贾思敏·赛法斯·琼斯/奥基里特·奥诺多瓦/安东尼·拉莫斯/卡利·贝蒂奥尔/阿丽亚娜·德博斯/霍普·伊斯特布鲁克/西德尼·詹姆斯·哈考特/萨莎·赫金斯/伊弗雷姆·赛克斯,歌舞/历史,英语,美国,9.5,59623,81.80%,14.30%,2.90%,0.40%,0.50%,23663
5,35192211,鱼丁糸Follow Me线上演唱会,2020,鱼丁糸,鱼丁糸/吴青峰/刘家凯/何景扬/谢馨仪/龚钰祺/史俊威,音乐,汉语普通话,中国台湾,9.4,821,79.30%,13.80%,5.20%,0.00%,1.70%,208
6,35288735,TME Live 吴青峰「16叶」线上演唱会 TME Live 吳青峰「16葉」線上演唱會,2020,吴青峰,吴青峰,音乐/真人秀,汉语普通话,中国台湾 / 中国大陆,9.4,553,74.10%,22.20%,3.70%,0.00%,0.00%,122
7,35034134,安德烈·波切利米兰大教堂空场独唱 Andrea Bocelli : Music for Hope - Live from Duomo di Milano,2020,Chris Myhre,安德烈·波切利,音乐,意大利语 / 英语,意大利,9.3,414,77.10%,16.80%,4.00%,0.00%,2.10%,115
8,35081458,TME live 五月天“突然好想见到你”线上演唱会,2020,陈信宏,陈信宏/温尚翊/石锦航/蔡升晏/刘冠佑,音乐/真人秀,汉语普通话,中国台湾,9.3,15017,69.10%,25.20%,5.40%,0.30%,0.00%,6713
9,34841525,永不消逝的电波(舞剧),2020,韩真,朱洁静/王佳俊,歌舞/历史,无对白,中国大陆,9.3,1576,74.40%,18.30%,7.30%,0.00%,0.00%,457
10,34937094,米兰达：我的欢乐庆典 Miranda: My Such Fun Celebration,2020,米兰达·哈特,米兰达·哈特/莎莉·菲利普斯/萨拉·哈德兰/派翠西亚·霍吉/汤姆·艾利斯/亚当·雷纳 Adam Rayner/艾玛肯尼迪 Emma Kennedy/迈克尔·兰德斯 Michael Landes/娜奥米·本特利 Naomi Bentley/奈杰尔·哈弗斯 Nigel Havers/希瑟·斯摩 Heather Small/马伊姆·拜力克 Mayim Bialik,喜剧,英语,英国,9.2,1285,71.80%,20.80%,6.30%,0.20%,1.00%,479
