排名,电影id,名称,年份,导演,演员,类型,国别,语言,评分,评分人数,五星占比,四星占比,三星占比,二星占比,一星占比,短评数
25,34914989,海绵宝宝音乐剧：舞台直播 The SpongeBob Musical: Live on Stage!,2019,格伦·维斯,Ethan Slater/Gavin Lee/Danny Skinner/Christina Sajous/韦斯莱·泰勒,喜剧/音乐/歌舞,英语,美国,9.1,681,64.20%,29.10%,5.10%,0.90%,0.70%,238
27,35145611,咻咻的奇幻之旅 L'odyssée de choum,2019,朱利安·比萨罗,Thierry Desroses/Prune Bozo/Oscar Pauleau/Effie Rey,动画,法语 / 荷兰语,法国 / 比利时,9.2,308,70.30%,23.40%,5.20%,0.40%,0.70%,132
28,34930755,bilibili晚会二零一九最美的夜,2019,宫鹏,朱广权/陈超/周延/彭磊/赵梦/庞宽/冯提莫/陈乐一/张光北/胡彦斌/易言/周笔畅/张蔷/理查德·克莱德曼/方锦龙/戴荃/周深/邓紫棋/吴亦凡 Kris Wu/陈信宏/蔡升晏/石锦航/温尚翊/刘冠佑/王禹/方颂评/肥皂菌/陆二胡/孟晓洁/洛天依/克丽希·克斯丹萨/路卡·苏利克/段汁/赵兆,歌舞/真人秀,汉语普通话,中国大陆,9,34489,59.00%,32.30%,7.80%,0.60%,0.30%,12537
29,34795703,伦敦生活 National Theatre Live: Fleabag,2019,维姬·琼斯,菲比·沃勒-布里奇,喜剧,英语,英国,9,10091,61.90%,29.60%,7.10%,0.90%,0.50%,3226
30,34676682,仲夏夜之梦 A Midsummer Night's Dream,2019,Nicholas Hytner,Gwendoline Christie/Oliver Chris/David Moorst,喜剧/爱情,英语,英国,9,1219,59.60%,32.30%,7.30%,0.50%,0.40%,646
31,34929639,国家宝藏·国宝音乐会,2019,吴琳,吴琳/杵屋子邦/福田辉久/黄豆豆/方锦龙/李祥霆/东仪秀树,音乐/历史/真人秀,汉语普通话 / 日语,中国大陆 / 日本,9,693,58.30%,35.00%,6.70%,0.00%,0.00%,191
32,34461606,我的小马驹：彩虹之旅 My Little Pony: Rainbow Roadtrip,2019,Gillian Comerford,塔拉·斯特朗/阿什莉·鲍尔/安德莉亚·利布曼/塔比莎·杰曼/凯西·薇瑟乐克,动画,英语,美国 / 爱尔兰 / 加拿大,9,203,65.70%,25.40%,6.50%,0.00%,2.40%,25
33,34928025,Bingo trip WINNER,2019,姜昇润,姜昇润/宋旻浩/金秦禹/李昇勋,真人秀,韩语,韩国,9,200,72.50%,14.00%,7.00%,1.80%,4.70%,28
35,33446612,柯南无国界：澳大利亚 Conan Without Borders: Australia,2019,柯南·奥布莱恩,柯南·奥布莱恩/休·杰克曼/Jimmy Vivino/José Arroyo/Mike Merritt/斯特恩·拉斯科普洛斯,喜剧/脱口秀,英语,美国,9,157,61.10%,31.70%,5.60%,0.80%,0.80%,32
36,27149654,银河英雄传说 Die Neue These 星乱 第1章 銀河英雄伝説 Die Neue These 星乱 第1章,2019,多田俊介,宫野真守/铃村健一/梅原裕一郎/梶裕贵/远藤绫/诹访部顺一/中村悠一/小野大辅/三木真一郎/石川界人/铃木达央/川岛得爱/花泽香菜/古谷彻/二又一成/下山吉光,动画,日语,日本,9,1314,62.20%,29.70%,6.50%,0.70%,0.90%,249
38,34868199,银河英雄传说 Die Neue These 星乱 第3章 銀河英雄伝説 Die Neue These 星乱 第3章,2019,多田俊介,宫野真守/铃村健一,动画,日语,日本,9.1,550,64.00%,28.50%,6.40%,0.70%,0.50%,98
39,35207723,名侦探柯南：红之校外旅行 Detective Conan：The Scarlet School Trip,2019,山本泰一郎,山口胜平/山崎和佳奈/高山南/堀川亮/雪野五月/松井菜樱子/久川绫/小西克幸,动画,日语,日本,8.9,9362,60.70%,27.70%,9.70%,1.00%,0.80%,2532
40,30175632,来自深渊：启程的黎明 メイドインアビス 旅立ちの夜明け,2019,小岛正幸,富田美忧/伊濑茉莉也/大原沙耶香/丰崎爱生/田村睦心/沼仓爱美/塙爱美/村田太志/泽海阳子/稻田彻/茶风林/新祐树/中务贵幸/川原庆久/村瀬步/松川央树/今井昭畅/福西胜也/小堀幸/滑川洋平/伊原正明/新田大地/丹羽正人/坂本真绫,动画,日语,日本,8.9,4257,55.20%,34.90%,8.50%,0.80%,0.60%,787
41,34906688,孤独的美食家 2019除夕特别篇 孤独のグルメ 2019大晦日スペシャル,2019,田口佳宏,松重丰/安藤樱/宇梶刚士/六平直政,剧情,日语,日本,8.9,5558,55.20%,37.20%,6.90%,0.50%,0.20%,1619
42,33429592,天路历程 The Pilgrim's Progress,2019,Robert Fernandez,David Thorpe/约翰·瑞斯-戴维斯/Kristyn Getty,动画,英语,美国,8.9,274,65.80%,21.50%,8.20%,2.70%,1.80%,79
43,30483560,布朗夫人的儿子们2019新年特辑 Mrs. Brown's Boys: New Year Special 2019 Mammy's Motel,2019,Ben Kellett,Jennifer Gibney/布伦丹·奥卡罗尔/Eilish O'Carroll,喜剧,英语,英国,9,170,58.10%,35.30%,4.40%,1.50%,0.70%,27
44,34938011,成功的原则 PRINCIPLES FOR SUCCESS,2019,Ray Dalio,,,英语,美国,8.9,197,57.20%,33.70%,6.60%,1.20%,1.20%,62
45,34926646,银魂银祭2019 銀魂 銀祭り2019（仮）,2019,空知英秋,杉田智和/阪口大助/钉宫理惠,动画,日语,日本,9,109,67.50%,20.50%,8.40%,1.20%,2.40%,22
46,34781689,长靴皇后 Kinky Boots the Musical,2019,Jerry Mitchell,Matthew Halton/基利安·唐纳利/Natalie McQueen/Sean Needham/Cordelia Farnworth,歌舞,英语,英国,8.9,266,54.10%,37.10%,7.90%,0.40%,0.40%,86
47,33387146,茶花女 La traviata,2019,理查德·艾尔,埃尔莫利拉·亚霍/查尔斯·卡斯特罗诺夫Charles Castronovo/普拉西多·多明戈,爱情/音乐,意大利语,英国,8.8,240,61.30%,29.00%,3.20%,3.20%,3.20%,86
48,34945394,呼叫助产士：2019圣诞特别篇 Call the Midwife Christmas Special 2019,2019,西德·麦卡特尼,瓦妮莎·雷德格雷夫/米瑞安·玛格莱斯/Ella Bruccoleri/Cliff Parisi/安娜贝勒艾裴逊/Jennifer Kirby/Helen George/Leonie Elliott/珍妮·艾加特/琳达·巴塞特/Alice Brown/April Rae Hoang/乔治·格伦/史蒂芬·麦可甘/劳拉·美恩,剧情,英语,英国,8.9,66,60.00%,30.90%,7.30%,0.00%,1.80%,17
49,34868197,银河英雄传说 Die Neue These 星乱 第2章 銀河英雄伝説 Die Neue These 星乱 第2章,2019,多田俊介,宫野真守/铃村健一/梅原裕一郎/梶裕贵/诹访部顺一/小野大辅/中村悠一/川岛得爱/远藤绫/三木真一郎/铃木达央/石川界人/花泽香菜/古谷彻/二又一成/下山吉光,动画,日语,日本,8.9,630,58.70%,31.60%,8.20%,0.80%,0.60%,83
50,30234265,日常 Normal,2019,Mragendra Singh,Suzanna Akins/Cynthia Aileen Strahan/Maryam Roberts,剧情,英语,美国,8.9,359,58.70%,31.80%,7.80%,0.70%,1.10%,69
51,27010768,寄生虫 기생충,2019,奉俊昊,宋康昊/李善均/曹汝贞/崔宇植/朴素丹/李姃垠/张慧珍/郑知晓/朴明勋/朴叙俊/朴根禄/郑贤俊/朴孝新/安德烈亚斯·弗龙克,剧情,韩语 / 英语,韩国,8.8,1253898,48.80%,42.20%,8.20%,0.60%,0.30%,335134
52,6981153,爱尔兰人 The Irishman,2019,马丁·斯科塞斯,罗伯特·德尼罗/阿尔·帕西诺/乔·佩西/安娜·帕奎因/杰西·普莱蒙/哈威·凯特尔/斯蒂芬·格拉汉姆/鲍比·坎纳瓦尔/杰克·休斯顿/阿莱卡萨·帕拉迪诺/凯瑟琳·纳杜奇/多米尼克·隆巴多兹/雷·罗马诺/塞巴斯蒂安·马尼斯科/杰克·霍夫曼/保罗·本-维克托/斯蒂芬妮·库尔特祖巴/莎伦·菲弗/路易斯·坎瑟米/茵迪亚·恩能加/J.C.麦肯泽/巴里·普赖默斯/吉姆·诺顿/盖里·巴萨拉巴/玛格丽特·安妮·佛罗伦斯/约翰·斯库蒂/约翰·塞纳迭姆博/大卫·阿隆·贝克/桃乐丝·麦卡锡/凯文·凯恩/加里·帕斯托雷/约瑟夫·罗素/凯文·奥罗克/娜塔莎·罗曼诺娃/杰里米·卢克/凯莉·P·威廉姆斯/詹妮弗·马奇/保罗·鲍格才/蒂姆·聂夫/斯蒂芬·梅尔勒/克雷格·文森特/比利·史密斯/布莱斯·科里根/斯泰西·爱丽丝·科恩/吉诺·卡法雷利/拉里·罗曼诺/罗伯特·富纳罗/维罗妮卡·阿利奇诺/克劳黛特·拉利/詹姆斯·洛林兹/阿什莉·诺斯/肯·斯拉迪克/帕特里克·加洛,剧情/传记/犯罪,英语 / 意大利语 / 拉丁语 / 西班牙语 / 德语,美国,8.8,241705,52.70%,37.10%,9.10%,0.80%,0.30%,71117
53,30271841,多哥 Togo,2019,埃里克松·科尔,威廉·达福/朱丽安妮·尼科尔森/克里斯托弗·赫耶达尔/理查德·多默/阿德里安·多瓦尔/玛德琳·威金斯/麦克尔·格雷耶斯/妮维·尼尔森/尼古拉·尼克拉斐/托尔比约恩·哈尔/凯瑟琳·麦格雷戈/迈克尔·麦克埃尔哈顿/保罗·皮斯科斯基/迈克尔·加斯顿/肖恩·本森/杰米·麦克沙恩/巴布·米切尔/大卫·博特/杰夫·汉尼,剧情/冒险,英语,美国,8.8,91786,52.00%,38.20%,9.10%,0.60%,0.20%,27703
54,30410114,给我翅膀 Donne-moi des ailes,2019,尼古拉·瓦尼埃,让-保罗·卢弗/梅拉妮·杜泰/路尔斯·瓦兹奎兹/弗雷德里克·索雷尔/丽露·弗格利/葛里高利·巴奎特/多米尼克·皮侬/费利佩·曼吉安/阿丽安·皮瑞/克里斯汀·布雷康尼尔/西里尔·内克尔/塞德里克·梅斯伯格/米里耶勒·休伊特·奥奈/雅克·热尔曼/马蒂厄·瓦尔特/英加·海尔格·吉姆勒,冒险,法语,法国,8.8,38803,50.50%,40.80%,8.00%,0.60%,0.20%,15597
55,30207994,摇曳百合 十周年特别篇 ゆるゆり、,2019,山岸大悟,三上枝织/大坪由佳/津田美波/大久保瑠美/藤田咲/丰崎爱生/加藤英美里/三森铃子,喜剧/动画,日语,日本,8.8,294,60.80%,23.70%,11.80%,2.40%,1.20%,63
56,33956233,柯林·奎恩：红州蓝州 Colin Quinn: Red State Blue State,2019,柯林·奎恩,柯林·奎恩,喜剧,英语,美国,8.8,187,53.70%,35.40%,8.80%,1.40%,0.70%,65
57,34970071,终将成为你 舞台剧 特典：河内和小泉的水族馆约会 舞台「やがて君になる」水族館デート企画,2019,鈴木智晴,河内美里/小泉萌香,真人秀,日语,日本,8.8,73,57.60%,27.10%,13.60%,1.70%,0.00%,18
58,27119724,小丑 Joker,2019,托德·菲利普斯,华金·菲尼克斯/罗伯特·德尼罗/马克·马龙/莎姬·贝兹/谢伊·惠格姆/弗兰西丝·康罗伊/布莱恩·考伦/布莱恩·泰里·亨利/布莱特·卡伦/道格拉斯·霍奇斯/格伦·弗莱舍尔/比尔·坎普/乔什·帕斯/但丁·佩雷拉-奥尔森/玛丽·凯特·马拉特/迈克尔·本茨/莎珑·华盛顿/桑德拉·詹姆斯/托尼·赫德/曼德拉·贝拉米/乔·奥克曼/卡尔·伦德施泰特/米克·奥罗克/大卫·吉布森/伊万·罗萨多/安妮·比萨比亚/布莱斯·科里根/乔恩·道格拉斯·雷尼/艾恩斯利·丹恩/杰森·约翰·奇卡莱塞,剧情/惊悚/犯罪,英语,美国 / 加拿大,8.7,918247,49.90%,38.00%,10.30%,1.20%,0.60%,253997
59,30257175,燃烧女子的肖像 Portrait de la jeune fille en feu,2019,瑟琳·席安玛,诺米·梅兰特/阿黛拉·哈内尔/卢安娜·巴杰拉米/瓦莱丽亚·戈利诺/Christel Baras/阿曼德·博兰格/Guy Delamarche/Clément Bouyssou/米歇尔·克莱门特/Cécile Morel,剧情/爱情/同性,法语 / 意大利语,法国,8.7,172345,46.80%,40.50%,11.60%,0.90%,0.20%,63549
60,30329902,青春期猪头少年不做怀梦少女的梦 青春ブタ野郎はゆめみる少女の夢を見ない,2019,增井壮一,石川界人/濑户麻沙美/水濑祈/东山奈央/种崎敦美/内田真礼/久保由利香/内田雄马/佐藤聪美/相川奈都姬/志村知幸/大津爱理/福西胜也/奈波果林/柚木尚子/石黑史刚/内野孝聪/内村史子/影山灯,剧情/爱情/动画,日语,日本,8.7,29653,54.70%,30.60%,11.90%,2.10%,0.80%,7233
61,34816614,透过欧内斯托的眼睛 Aos Olhos de Ernesto,2019,安娜·路易莎·阿兹维多,Jorge Bolani/Jorge D'Elía/Gabriela Poester/儒利奥·安德拉德/格洛里亚·德梅西/奥利亚·巴普蒂斯塔/Kaya Rodrigues/Celina Alcântara/Janaína Kremer Motta/Pedro Tergolina,剧情,葡萄牙语,巴西,8.7,943,44.50%,46.90%,7.60%,0.90%,0.10%,445
62,26858510,克劳斯：圣诞节的秘密 Klaus,2019,塞尔希奥·巴勃罗斯,J·K·西蒙斯/詹森·舒瓦兹曼/拉什达·琼斯/琼·库萨克/诺曼·麦克唐纳徳/威尔·萨索/塞尔希奥·巴勃罗斯/米拉·布雷纳/内达·玛格丽特·拉巴/悉尼·布朗/泰迪·布鲁姆/艾玛·香农/肯德尔·卓依/朱利安·赞恩/阿曼达·菲莉普森/芬·卡尔/塔克·米克/海莉·赫尔米达/杰登·贝滕古,喜剧/动画/冒险,英语 / 萨米语,西班牙 / 英国 / 美国,8.7,49324,48.30%,40.80%,10.10%,0.60%,0.10%,17344
63,30291500,复活的鲁路修 コードギアス 復活のルルーシュ,2019,谷口悟朗,福山润/野上尤加奈/樱井孝宏/名冢佳织/小清水亚美/白鸟哲/新井里美/千叶纱子/真殿光昭/桧山修之/皆川纯子/幸野善之/成田剑/后藤邑子/保志总一朗/井上伦宏/仓田雅世/三户耕三/黑泽朋世/高田裕司/渡边明乃/金井美香/折笠富美子/大原沙耶香/杉山纪彰/户田惠子/村瀬步/大塚明夫/岛崎信长/高木涉/津田健次郎,动画,日语,日本,8.7,11118,56.30%,28.00%,12.20%,2.30%,1.20%,4641
64,35437632,情熱大陸 上野千鶴子篇,2019,上野千鹤子,上野千鹤子,,日语,日本,8.8,574,51.20%,38.10%,10.10%,0.70%,0.00%,232
65,30258072,为美好的世界献上祝福！ 红传说 映画 この素晴らしい世界に祝福を！ 紅伝説,2019,金崎贵臣,福岛润/雨宫天/高桥李依/茅野爱衣/丰崎爱生/堀江由衣/西田雅一/生天目仁美/长绳麻理亚/高桥广树/能登麻美子/名冢佳织/富田美忧/铃代纱弓/中岛良树/长谷美希/樫井笙人/酒卷光宏/安田陆矢/佐佐木启夫/最上嗣生/竹内顺子/小林优/御堂大丽亚/原纱友里/稻田彻/安元洋贵/津田健次郎/长岛雄一/渡边明乃,喜剧/动画,日语,日本,8.7,6910,52.50%,33.60%,11.90%,1.40%,0.50%,1864
66,34909286,米歇尔·沃尔夫：玩笑秀 Michelle Wolf: Joke Show,2019,Lance Bangs,Michelle Wolf,喜剧,英语,美国,8.7,789,46.10%,43.80%,9.30%,0.50%,0.30%,284
67,34795702,议事录 Hansard,2019,西蒙·戈德温,阿历克斯·杰宁斯/琳赛·邓肯,,英语,英国,8.7,664,46.60%,44.00%,8.10%,1.20%,0.00%,279
68,30328981,请问您今天要来点兔子吗？？～Sing for You～ ご注文はうさぎですか？？～Sing For You～,2019,桥本裕之,佐仓绫音/水濑祈/种田梨沙/佐藤聪美/内田真礼/德井青空/村川梨衣/早见沙织/清川元梦/速水奖/水树奈奈/东地宏树/一城美由希/石桥桃/七濑彩夏,动画,日语,日本,8.7,619,53.70%,29.60%,14.40%,1.30%,0.90%,121
69,30458079,风筝 Pouštět draka,2019,Martin Smatana,,动画,无对白,捷克 / 斯洛伐克 / 波兰,8.8,203,52.30%,35.50%,10.50%,1.70%,0.00%,50
70,34834536,蕾哈娜内衣秀 Savage X Fenty Show,2019,艾力克斯·鲁津斯基,卡拉·迪瓦伊/拉弗恩·考克斯/蕾哈娜/哈尔希/Isis King/吉吉·哈迪德/贝拉·哈迪德/DJ卡拉德/Offset/琼·斯莫斯/Fat Joe/Normani/艾莉克·万克/Quavo/Big Sean/神奇小子,音乐/传记,英语,美国,8.7,285,53.80%,31.60%,9.80%,3.00%,1.70%,92
71,34854955,BanG Dream! 电影演唱会 BanG Dream! FILM LIVE,2019,梅津朋美,寺川爱美/大冢纱英/西本里美/大桥彩香/伊藤彩沙,动画,日语,日本,8.6,226,55.90%,26.90%,13.40%,0.50%,3.20%,63
72,30442351,吾子吾弟 National Theatre Live: All  My Sons,2019,杰瑞米·赫林,莎莉·菲尔德/比尔·普尔曼/珍娜·科尔曼/科林·摩根/贝西·卡特/Oliver Johnstone/Kayla Meikle/Sule Rimi,剧情,英语,英国,8.7,377,45.00%,44.70%,10.00%,0.30%,0.00%,160
74,30327842,82年生的金智英 82년생 김지영,2019,金度英,郑有美/孔刘/金美京/孔敏晶/朴成妍/李凤莲/金圣喆/李挚/孙成灿/金正英/李海云/李娜云/禹志贤/艺秀晶/廉惠兰,剧情,韩语,韩国,8.6,347690,42.70%,45.30%,10.90%,0.80%,0.20%,125434
75,27202818,婚姻故事 Marriage Story,2019,诺亚·鲍姆巴赫,斯嘉丽·约翰逊/亚当·德赖弗/劳拉·邓恩/艾奇·罗伯逊/梅里特·韦弗/阿伦·阿尔达/朱丽·哈基提/雷·利奥塔/马克·奥布莱恩/华莱士·肖恩/凯尔·柏海莫/米奇·萨姆纳/马修·马希尔/罗伯特·斯密戈尔/艾登·梅耶里/布洛克·布罗姆/玛莎·凯莉/阿尔伯特·琼斯/汉娜·邓恩/桑德拉·罗斯科/麦金利·贝尔彻三世/戈登·格里克/马修·希尔/阿米尔·塔莱/萨拉·琼斯/文尼·希伯/胡安·阿方索/洛蕾塔·谢诺斯基/滕德·艾德比佩/贾思敏·赛法斯·琼斯,剧情/爱情,英语,英国 / 美国,8.6,293707,40.30%,48.00%,10.70%,0.80%,0.20%,106307
76,30331959,黑水 Dark Waters,2019,托德·海因斯,马克·鲁弗洛/安妮·海瑟薇/蒂姆·罗宾斯/比尔·坎普/维克多·加博/比尔·普尔曼/梅尔·温宁汉姆/威廉·杰克森·哈珀/路易莎·克劳瑟/凯文·克劳利/丹尼尔·R·希尔/王明/西尼·迈尔斯/马克·霍克尔/考特尼·德科斯基/斯嘉丽·希克斯/布莱恩·加拉格尔/约翰·纽伯格/莱曼·陈/丹妮丝·达·维拉/杰弗里·格罗弗/泰里·克拉克/杰夫·福尔克/温·赖克特/乔恩·奥斯贝克/理查德·杜恩/迈克尔·海尼/大卫·皮廷格,剧情,英语 / 韩语,美国,8.6,121276,40.60%,48.40%,10.30%,0.50%,0.10%,37959
77,27132510,教宗的承继 The Two Popes,2019,费尔南多·梅里尔斯,安东尼·霍普金斯/乔纳森·普雷斯/胡安·米努欣/路易斯·尼科/克里斯蒂娜·巴尼加斯/玛丽亚·乌斯多/雷纳托·斯卡帕/西德尼·科尔/阿基里·布鲁尼尼/费德里科·托瑞/赫尔曼·德·席尔瓦/利桑德罗·菲克斯/利贝罗·德·瑞恩佐/威利·乔纳/索非亚·塞萨克/文森特·里奥特/塞奇莉亚·达齐/塞尔吉奥·尼古拉/洛伦佐·维格万诺/教皇本尼迪克特十六世/方济各,剧情/传记,拉丁语 / 英语 / 西班牙语 / 意大利语 / 法语 / 葡萄牙语 / 德语,英国 / 意大利,8.6,54991,42.80%,46.70%,9.70%,0.70%,0.20%,18748
78,34429100,音乐 音楽,2019,岩井泽健治,坂本慎太郎/驹井莲/前野朋哉/芹泽兴人/平岩纸/竹中直人,动画/音乐,日语,日本,8.6,10423,46.80%,40.00%,11.50%,1.40%,0.40%,4713
79,34835784,异乡人：上海的芥川龙之介 ストレンジャー～上海の芥川龍之介～,2019,加藤拓,松田龙平/冈部崇/中村友理/奈绪/金世佳/任洛敏/邱必昌,剧情/传记,日语,日本,8.6,14400,43.80%,44.30%,10.70%,0.90%,0.30%,5436
