排名,电影id,名称,年份,导演,演员,类型,国别,语言,评分,评分人数,五星占比,四星占比,三星占比,二星占比,一星占比,短评数
﻿1,33459931,雷曼兄弟三部曲 National Theatre Live: The Lehman Trilogy,2019,萨姆·门德斯,西蒙·拉塞尔·比尔/亚当·戈德利/本·迈尔斯/Gary Bland,剧情,英语,英国,9.5,5738,81.50%,15.10%,2.60%,0.30%,0.60%,2864
2,34858066,星野源巡回演唱会：流行病毒 GEN HOSHINO STADIUM TOUR “POP VIRUS”,2019,Naoto Amazutsumi,星野源,音乐,日语,日本,9.5,531,85.70%,7.80%,3.80%,0.70%,2.00%,192
3,34454108,宇多田光Laugher in the Dark 2018 巡回演唱会 Hikaru Utada: Laughter in the Dark Tour 2018,2019,宇多田光,宇多田光,音乐,日语,日本,9.5,916,83.10%,11.80%,2.70%,0.40%,1.90%,283
4,35248685,Funtastic Babii Fanmeeting,2019,巴特潘·忽栓,巴特潘·忽栓/钟朋·阿卢迪吉朋/那瓦·蓬朴提岸/辛纳拉·西里朋查瓦雷/皮拉帕·瓦塔纳汕西瑞,音乐/真人秀,泰语,泰国,9.3,85,79.50%,11.00%,5.50%,1.40%,2.70%,24
5,34856004,丹尼尔·斯洛斯：X Daniel Sloss: X,2019,丹尼尔·斯洛斯,丹尼尔·斯洛斯,喜剧/脱口秀,英语,美国,9.4,2783,76.50%,19.20%,2.70%,1.20%,0.50%,1189
6,35424716,容祖儿 PRETTY CRAZY 演唱会,2019,容祖儿,容祖儿/黎明/郑伊健/张学友/杨千嬅/林俊杰/李克勤/张信哲/钟欣潼/蔡卓妍/古天乐/张敬轩/谢霆锋/古巨基/周柏豪 /王菀之/关智斌/黄天翱/翁厚梁/伍汉邦/刘德华/苏志威/蔡一智/蔡一杰,音乐/歌舞,粤语,中国香港,9.5,376,84.70%,9.60%,2.70%,1.00%,2.00%,124
7,34955889,威胁等级午夜：电影 Threat Level Midnight: The Movie,2019,塔克·盖茨,莱斯利·大卫·贝克/布莱恩·鲍姆加特纳/克瑞德·布拉顿/史蒂夫·卡瑞尔/大卫·丹曼/珍娜·费舍/凯特·弗兰纳里/梅罗拉·哈丁/艾德·赫尔姆斯/拉什达·琼斯/敏迪·卡灵/安吉拉·金赛/大卫·科恩查内/约翰·卡拉辛斯基/保罗·立博斯坦/B·J·诺瓦克/奥斯卡·努内斯/克雷格·罗宾森/菲利丝·史密斯/雷恩·威尔森,喜剧,英语,美国 / 英国,9.4,274,81.10%,9.90%,6.00%,1.70%,1.30%,98
8,33392890,灵能百分百II OVA モブサイコ100 第一回霊とか相談所慰安旅行～ココロ満たす癒やしの旅～,2019,立川让,伊藤节生/樱井孝宏/大塚明夫/入野自由/松冈祯丞/星野贵纪,动画,日语,日本,9.3,9179,71.50%,24.10%,4.10%,0.10%,0.20%,2005
9,34892489,悲惨世界：音乐会现场 Les Misérables: The Staged Concert,2019,尼克·莫里斯,迈克尔·波尔/阿尔菲·博/凯莉·霍普·弗莱彻/马特·卢卡斯/罗布·豪森/布拉德利·贾登/凯蒂·塞科姆/单·亚子/厄尔.卡朋特/克雷格·马瑟,音乐/歌舞,英语,英国,9.3,1997,71.20%,22.70%,5.30%,0.20%,0.60%,479
10,33459937,乐在当下 National Theatre Live: Present Laughter,2019,马修·沃楚斯,安德鲁·斯科特,剧情/喜剧/同性,英语,英国,9.2,1190,69.80%,24.60%,4.60%,0.20%,0.80%,658
11,34803098,马修·伯恩版《天鹅湖》 Swan Lake,2019,马修·伯恩,威尔·博泽尔/利亚姆·莫威尔/Nicole Kabera/Katrina Lyndon/Jonathon Luke Baker,歌舞,英语,英国,9.3,836,67.30%,31.80%,0.90%,0.00%,0.00%,315
12,34926652,2019Avicii群星纪念音乐会 Avicii Tribute Concert,2019,亚当·兰伯特,亚当·兰伯特/瑞塔·奥拉/大卫·库塔/艾维奇,音乐/歌舞,英语,瑞典,9.3,209,84.40%,6.70%,3.40%,0.60%,5.00%,46
13,27062638,吹响悠风号剧场版：誓言的终章 劇場版 響け！ユーフォニアム～誓いのフィナーレ～,2019,石原立也,黑泽朋世/朝井彩加/丰田萌绘/安济知佳/石谷春贵/藤村鼓乃美/山冈百合/津田健次郎/小堀幸/雨宫天/七濑彩夏/久野美咲/土屋神叶/寿美菜子/樱井孝宏,动画,日语,日本,9.2,7672,67.90%,25.50%,5.60%,0.60%,0.30%,2651
14,34839082,老友记25周年：周年纪念 Friends 25th: The One With The Anniversary,2019,加里·哈勒沃尔森,詹妮弗·安妮斯顿/柯特妮·考克斯/丽莎·库卓/马特·勒布朗/马修·派瑞/大卫·休默/詹姆斯·迈克尔·泰勒/埃利奥特·古尔德/克里斯蒂娜·皮克勒斯/玛姬·惠勒,喜剧,英语,美国,9.2,1069,72.30%,19.60%,6.00%,0.30%,1.80%,180
15,34902533,五月天陪你守岁2019,2019,陈信宏,陈信宏/温尚翊/蔡升晏/石锦航/刘冠佑,脱口秀,汉语普通话,中国台湾,9.1,189,74.40%,14.00%,7.80%,2.30%,1.60%,20
16,30425907,さんタク2019 Santaku 2019,2019,木村拓哉,木村拓哉/明石家秋刀鱼,,日语,日本,9.2,244,76.30%,14.10%,6.10%,0.50%,3.00%,48
17,30486903,榉坂小屋 KEYAKI HOUSE,2019,平手友梨奈,平手友梨奈/小林由依/铃本美愉/渡边理佐/土生瑞穗/小池美波/菅井友香/渡边梨加/佐藤诗织/石森虹花/长滨祢留/上村莉菜/尾关梨香/织田奈那/斋藤冬优花/长泽菜菜香/守屋茜,真人秀,日语,日本,9.1,150,74.80%,11.80%,8.70%,0.80%,3.90%,45
18,35042434,十年后：加长版魔笛手纪录片 Ten Years Later: The Extended Pied Piper Documentary,2019,托马斯·米德蒂奇,托马斯·米德蒂奇/马丁·斯塔尔/库梅尔·南贾尼/扎克·伍兹/阿曼达·克鲁/马特·罗斯/欧阳万成,,英语,美国,9.1,131,73.30%,14.90%,7.90%,1.00%,3.00%,35
19,34928023,2019 WINNER's SUMMER STORY [in Hawaii],2019,姜昇润,姜昇润/宋旻浩/金秦禹/李昇勋,真人秀,韩语,韩国,8.9,79,75.40%,12.30%,3.10%,1.50%,7.70%,9
20,33393167,鬼灭之刃 兄妹的羁绊 鬼滅の刃 兄妹の絆,2019,外崎春雄,大塚芳忠/梶裕贵/加隈亚衣/冈本信彦/森川智之/浪川大辅/山崎巧/绿川光/子安武人/井泽诗织/悠木碧,动作/动画/惊悚/奇幻,日语,日本,9.1,19997,66.30%,26.00%,5.90%,0.60%,1.10%,4212
21,30175633,来自深渊：流浪的黄昏 メイドインアビス 放浪する黄昏,2019,小岛正幸,富田美忧/伊濑茉莉也/井泽诗织/喜多村英梨/大原沙耶香/丰崎爱生/田村睦心/沼仓爱美/原奈津子/川田绅司/下山吉光/森川智之/水濑祈/坂本真绫,动画/奇幻/冒险,日语,日本,9.1,4299,65.70%,27.10%,5.90%,0.70%,0.60%,813
22,27596682,路人女主的养成方法 Fine 冴えない彼女の育てかた Fine,2019,柴田彰久,松冈祯丞/安野希世乃/矢作纱友里/赤崎千夏/柿原彻也/生天目仁美/桑岛法子/田边留依/铃木绘理/大地叶/天海由梨奈/长谷德人/大西沙织/茅野爱衣,爱情/动画,日语,日本,9.1,6490,66.50%,23.50%,7.80%,1.30%,0.90%,1833
23,35182891,易烊千玺2019玊尔演唱会,2019,易烊千玺,易烊千玺,音乐,汉语普通话,中国大陆,9.2,5427,76.40%,16.40%,0.00%,3.60%,3.60%,1526
24,34963578,M-1グランプリ2019,2019,ミルクボーイ,ミルクボーイ/かまいたち/ぺこぱ/和牛/見取り図/からし蓮根/オズワルド/すゑひろがりず/インディアンス/ニューヨーク,真人秀,日语,日本,9.1,128,64.20%,27.40%,7.40%,1.10%,0.00%,58
