排名,电影id,名称,年份,导演,演员,类型,国别,语言,评分,评分人数,五星占比,四星占比,三星占比,二星占比,一星占比,短评数
1,26700818,极品基老伴：完结篇 Vicious Series Finale,2016,埃德·拜,伊恩·麦克莱恩/德里克·雅各比/弗朗西斯·德·拉·图瓦/伊万·瑞恩/玛西娅·沃伦/菲利普-沃斯/艾琳·阿特金斯/弗兰西斯·巴贝/阿利斯泰尔·布拉默/理查德·加德,喜剧/同性,英语,英国,9.4,22578,75.10%,20.20%,4.10%,0.30%,0.30%,6877
﻿2,35064279,「既然青春留不住-還是做個大叔好」演唱會巡迴影音紀錄 LIVE,2016,李宗盛,李宗盛,音乐,汉语普通话,中国台湾,9.4,899,76.50%,19.50%,2.20%,0.70%,1.10%,209
3,26903883,GOT7的HardCarry 갓세븐 하드캐리,2016,Got7,Got7,真人秀,韩语,韩国,9.4,2058,82.50%,12.00%,2.30%,0.20%,3.10%,578
4,33425520,A Classic Tour 学友.经典世界巡回演唱会,2016,张学友,张学友,音乐,粤语 / 汉语普通话,中国香港,9.4,445,84.30%,8.90%,2.60%,0.60%,3.70%,129
5,26899000,元气少女缘结神 新婚篇 神様はじめました 神様、幸せになる,2016,大地丙太郎,三森铃子/立花慎之介/冈本信彦/岸尾大辅/松井菜樱子/佐藤聪美/清水香里/森久保祥太郎/石田彰,爱情/动画,日语,日本,9.3,15853,71.20%,23.30%,4.80%,0.50%,0.20%,4124
6,26946612,狐妖小红娘剧场版：王权富贵,2016,王昕,杨天翔/刘校妤/乔诗语/魏超/阎萌萌/张凯/范哲琛,剧情/喜剧/爱情/动画,汉语普通话,中国大陆,9.3,12038,70.80%,23.30%,4.60%,0.40%,0.80%,2912
7,26972694,狐妖小红娘剧场版：月红篇,2016,王昕,杨天翔/刘校妤/张杰/张予佟/张凯/乔诗语/宝木中阳/图特哈蒙,爱情/动画/奇幻,汉语普通话,中国大陆,9.3,12256,71.80%,23.00%,4.10%,0.40%,0.80%,2668
8,25662329,疯狂动物城 Zootopia,2016,拜伦·霍华德,金妮弗·古德温/杰森·贝特曼/伊德里斯·艾尔巴/珍妮·斯蕾特/内特·托伦斯/邦尼·亨特/唐·雷克/汤米·钟/J·K·西蒙斯/奥克塔维亚·斯宾瑟/艾伦·图代克/夏奇拉/雷蒙德·S·佩尔西/德拉·萨巴/莫里斯·拉马奇/菲尔·约翰斯顿/约翰·迪·马吉欧/凯蒂·洛斯/吉塔·雷迪/杰西·科尔蒂/汤米·利斯特/乔希·达拉斯/瑞奇·摩尔/凯斯·索西/彼得·曼斯布里奇/拜伦·霍华德/杰拉德·布什/马克·史密斯/乔西·特立尼达/约翰·拉维尔/克里斯汀·贝尔/吉尔·科德斯/梅利莎·古德温,喜剧/动画/冒险,英语 / 挪威语,美国,9.2,1732798,65.50%,29.60%,4.60%,0.20%,0.10%,355648
9,30484534,摇滚红与黑 Le Rouge et le Noir,2016,François Chouquet,Côme/Haylen/Yoann Launay/Julie Fournier/Michel Lerousseau/Patrice Maktav/Elsa Pérusin/Cynthia Tolleron/Philippe Escande,剧情/音乐/歌舞,法语,法国,9.2,14914,65.90%,28.00%,5.60%,0.40%,0.10%,5431
10,26830080,极限公益联欢会,2016,严敏 Min Yan,张艺兴/罗志祥/黄渤/黄磊/孙红雷/王迅/庾澄庆/蔡依林/林俊杰/杨魏玲花/曾毅,音乐/歌舞/真人秀,汉语普通话,中国大陆,9.2,5463,72.70%,18.70%,6.60%,0.90%,1.10%,969
