排名,电影id,名称,年份,导演,演员,类型,国别,语言,评分,评分人数,五星占比,四星占比,三星占比,二星占比,一星占比,短评数
11,26359261,机动战士高达 THE ORIGIN Ⅲ 破晓起义 機動戦士ガンダム THE ORIGIN Ⅲ 暁の蜂起,2016,安彦良和,池田秀一/潘惠美/柿原彻也/前野智昭/三宅健太/浦山迅/银河万丈/渡边明乃/茅野爱衣/坂东尚树/宗矢树赖/山野井仁/小松史法/星野充昭/松田健一郎/杉村宪司/高阶俊嗣/大畑伸太郎/阪口周平/林大地/滨田洋平/鸟丸祐一/铃木晴久/木岛隆一/山本祥太/村中知/森奈奈子/森优子/津田英三/喜山茂雄/土屋利秀/卷岛康一/秋元千贺子/落合弘治/坂口候一/新井里美/关俊彦/田中真弓/古谷彻/大塚明夫,科幻/动画,日语,日本,9.3,4412,68.70%,26.40%,4.00%,0.40%,0.40%,788
12,26759792,排球少年：VS“不及格” ハイキュー!! VS“赤点”,2016,满仲劝,村瀬步/石川界人/内山昂辉/诸星堇/冈本信彦/齐藤壮马/林勇/日野聪/小松由佳,动画/运动,日语,日本,9.2,3288,69.60%,23.20%,6.80%,0.20%,0.20%,759
13,26746536,无头骑士异闻录第二季：结 OVA デュラララ!!×2 結 第19.5話 デュフフフ!!,2016,大森贵弘,泽城美雪/神谷浩史/小野大辅/福山润/中村悠一/梶裕贵/高垣彩阳/寺岛拓笃/岸尾大辅/小林沙苗/市道真央/小西克幸/黑田崇矢/小野坂昌也/津田健次郎,动画,日语,日本,9.2,1821,66.10%,27.00%,6.00%,0.30%,0.60%,264
14,30246422,威尼斯商人 The Merchant of Venice,2016,Jonathan Munby,乔纳森·普雷斯,喜剧,英语,英国,9.2,712,67.80%,27.20%,3.50%,0.20%,1.30%,272
15,26887094,银魂晴祭2016 銀魂晴祭り2016(仮),2016,空知英秋,杉田智和/阪口大助/釘宮理恵,动画,日语,日本,9.2,640,73.10%,17.30%,6.80%,0.60%,2.10%,70
16,30291567,杰拉德：永不独行,2016,天下足球,史蒂文·杰拉德,传记,汉语普通话,中国大陆,9.1,413,71.30%,19.20%,5.90%,0.60%,3.00%,67
17,25938803,莫娣 Maudie,2016,艾斯林·沃什,莎莉·霍金斯/伊桑·霍克/卡瑞·玛切特/加布里埃尔·罗斯/扎卡里·贝内特/比利·麦克莱伦/劳伦斯·巴里/格雷戈·马龙/玛丝·伯纳德/大卫·菲恩/凯特·罗斯,剧情/爱情/传记,英语,爱尔兰 / 加拿大,9.1,109451,61.00%,33.10%,5.40%,0.30%,0.10%,37867
18,26823817,孤独的美食家特别篇！盛夏的东北·宫城出差篇 孤独のグルメスペシャル！真夏の東北・宮城出張編,2016,井川尊史,松重丰/向井理/渡边一计/绪方义博/余贵美子,剧情,日语,日本,9.1,7462,60.50%,32.90%,6.20%,0.30%,0.20%,1651
19,26359260,机动战士高达 THE ORIGIN Ⅳ 命运前夜 機動戦士ガンダム THE ORIGIN Ⅳ 運命の前夜,2016,安彦良和,池田秀一/早见沙织/古谷彻/柿原彻也/潘惠美/浦山迅/银河万丈/三宅健太/渡边明乃/喜山茂雄/一条和矢/松田健一郎/土屋利秀/坂口候一/福圆美里/古川登志夫/新井里美/坂东尚树/中博史/楠见尚己/茅野爱衣/白熊宽嗣/志贺克也/杉村宪司/福田贤二/进藤尚美/落合弘治/小松史法/大西健晴/高阶俊嗣/滨野大辉/铃木晴久/木岛隆一/关俊彦/前野智昭/津田英三/田中真弓/大塚明夫,科幻/动画,日语,日本,9.2,4023,65.10%,28.50%,5.70%,0.40%,0.40%,466
20,26682874,孤独的美食家新春SP：严冬之北海道·旭川出差篇 孤独のグルメお正月スペシャル！～真冬の北海道・旭川出張編,2016,久住昌之,松重丰,剧情/喜剧,日语,日本,9.1,9130,60.00%,33.80%,5.70%,0.20%,0.20%,2031
21,26862240,我的青春恋爱物语果然有问题 第二季 OVA やはり俺の青春ラブコメはまちがっている。続 OVA,2016,岩崎光洋,江口拓也/早见沙织/东山奈央/佐仓绫音/工藤雅久,爱情/动画,日语,日本,9.1,4343,62.80%,28.70%,7.40%,0.60%,0.40%,700
22,26759566,情热大陆 菅田将晖篇,2016,福田雄一,菅田将晖,,日语,日本,9.1,6120,61.90%,30.00%,7.60%,0.40%,0.10%,2691
23,35209654,TFBOYS三周年演唱会,2016,易烊千玺,易烊千玺/王俊凯/王源,音乐,汉语普通话,中国大陆,9.1,387,80.10%,9.60%,3.20%,0.00%,7.10%,46
24,26707476,悠哉日常大王OAD2：萤很快乐 のんのんびより OAD2 蛍が楽しんだ,2016,川面真也,小岩井小鸟/村川梨衣/佐仓绫音/阿澄佳奈/佐藤利奈/平松晶子/永岛由子,喜剧/动画,日语,日本,9.1,1103,63.60%,27.00%,8.80%,0.10%,0.40%,153
26,33416062,柯南无国界：柏林 Conan Without Borders: Berlin,2016,Levi MacDougall,柯南·奥布莱恩/安迪·里克特/弗卢拉·博格/Lady Velvet Steel/Marcus Benser/Sado Opera/Colonel,喜剧/脱口秀,英语,美国,9.1,141,64.30%,26.80%,8.00%,0.00%,0.90%,28
27,26890357,tvN十周年颁奖典礼 tvN 10어워즈,2016,金硕贤,金惠秀/赵镇雄/李圣旻/徐玄振/成东日/李一花/罗映锡/郑恩地,真人秀,韩语,韩国,9.1,800,64.40%,28.90%,4.50%,0.60%,1.60%,221
28,3203197,阿伦·艾弗森之答案 Allen Iverson: The Answer,2016,Steve Michaud,Allen Iverson,,英语,美国,9.1,611,64.50%,26.90%,7.50%,0.00%,1.00%,30
31,30468266,布朗夫人的兒子們2016年直播版：媽媽的愛經 Mrs. Brown's Boys Live 2016: Mammy Sutra,2016,Ben Kellett,布伦丹·奥卡罗尔,喜剧/家庭,英语,爱尔兰 Ireland / 英国,9.1,103,68.80%,22.50%,5.00%,1.30%,2.50%,18
32,26387939,摔跤吧！爸爸 Dangal,2016,涅提·蒂瓦里,阿米尔·汗/法缇玛·萨那·纱卡/桑亚·玛荷塔/阿帕尔夏克提·库拉那/沙克希·坦沃/塞伊拉·沃西/苏哈妮·巴特纳格尔/里特维克·萨霍里/吉里什·库卡尼,剧情/家庭/传记/运动,印地语 / 英语,印度,9,1442713,59.70%,32.90%,6.80%,0.50%,0.20%,300522
33,26756279,桥头风景 National Theatre Live: A View from the Bridge,2015,伊沃·冯·霍夫,马克·斯特朗/菲比·福克斯/妮可拉·沃克,戏曲,英语,英国,9,906,57.60%,35.20%,6.70%,0.30%,0.30%,294
34,27038922,拂晓的尤娜OAD3 暁のヨナ OAD3,2016,米田和弘,下野纮/花泽香菜/斋藤千和/前野智昭/小林裕介/森田成一/冈本信彦/诹访部顺一/皆川纯子,动画,日语,日本,9,448,62.30%,28.60%,7.20%,0.50%,1.30%,83
35,26909309,EX'ACT 回归show EX'ACT comeback showcase,2016,金珉锡,金珉锡/张艺兴/金俊勉/边伯贤/金钟大/朴灿烈/金钟仁/吴世勋,音乐/脱口秀,韩语,韩国,9,328,79.10%,7.10%,4.70%,0.40%,8.70%,35
36,26745571,危险关系 National Theatre Live: Les Liaisons Dangereuses,2016,乔西·洛克,珍妮·麦克蒂尔/莫菲德·克拉克/多米尼克·韦斯特/伊莲·卡西迪/西奥·巴克利姆-比格斯/爱德华·霍尔克罗夫特/尤娜·斯塔布斯,戏曲,英语,英国,9,436,61.20%,30.10%,7.20%,0.30%,1.20%,138
37,26837989,降魔成道,2016,陈海涛 陈琦,,,汉语普通话,中国大陆,9.1,151,67.30%,23.00%,6.20%,2.70%,0.90%,43
38,26727359,怪胎 Freak,2016,Yours Truly,拉娜德雷/Father John Misty,,英语,美国,8.9,86,66.20%,19.10%,11.80%,0.00%,2.90%,15
39,26615208,隐藏人物 Hidden Figures,2016,西奥多·梅尔菲,塔拉吉·P·汉森/奥克塔维亚·斯宾瑟/加奈儿·梦奈/凯文·科斯特纳/克斯汀·邓斯特/吉姆·帕森斯/马赫沙拉·阿里/阿尔迪斯·霍吉/格伦·鲍威尔/金贝利·奎恩/奥莱克·克鲁帕,剧情/传记/历史,英语,美国,8.9,191616,52.30%,39.80%,7.40%,0.40%,0.10%,55069
40,5327189,伦敦一家人 Ethel & Ernest,2016,罗杰·梅因伍德,卢克·崔德威/吉姆·布劳德本特/布兰达·布莱斯/帕姆·费里斯/罗杰·阿拉姆/彼得·怀特/弗吉尼亚·麦肯娜/茱恩·布朗/西蒙·戴/亚历克斯·乔丹,剧情/动画/家庭,英语,英国,8.9,70648,54.00%,38.10%,7.50%,0.30%,0.10%,27194
41,26655962,吹响悠风号剧场版：欢迎来到北宇治高中吹奏乐部 劇場版 響け！ユーフォニアム～北宇治高校吹奏楽部へようこそ～,2016,石原立也,黑泽朋世/朝井彩加/丰田萌绘/安济知佳/寿美菜子/早见沙织/茅原实里/石谷春贵/樱井孝宏,剧情/喜剧/动画/音乐,日语,日本,8.9,2776,57.80%,31.60%,9.40%,0.50%,0.70%,488
42,26827751,机动战士高达 雷霆宙域 DECEMBER SKY 機動戦士ガンダム サンダーボルト DECEMBER SKY,2016,松尾衡,中村悠一/木村良平/行成桃姬/平川大辅/咲野俊介/土田大/大原沙耶香/佐佐木睦,科幻/动画/战争,日语,日本,8.9,2097,58.50%,31.30%,8.30%,1.30%,0.60%,301
43,26860018,守望先锋：英雄 Overwatch: Hero,2016,Jeramiah Johnson,,动画,英语,美国,8.9,2980,56.30%,33.20%,9.30%,0.70%,0.40%,323
44,30207836,虚惊一场 The Weeknd: False Alarm,2016,伊利亚·奈舒勒,威肯/克里斯汀·弗劳赛斯,剧情 Drama/惊悚 Thriller/恐怖 Horror/短片 Short,英语 English,美国 / 英国,8.8,848,55.90%,32.80%,9.50%,1.00%,0.80%,158
45,26895960,拂晓的尤娜OAD2 暁のヨナOAD2,2016,米田和弘,下野纮/森田成一/冈本信彦/诹访部顺一/斋藤千和/前野智昭/皆川纯子/山本希望/新垣樽助,动画,日语,日本,8.9,614,55.70%,34.40%,8.50%,0.80%,0.60%,99
46,26733346,乃木坂46 4th Anniversary 乃木坂46時間TV,2016,乃木坂46,乃木坂46,真人秀,日语,日本,8.9,122,61.50%,28.10%,6.30%,3.10%,1.00%,19
47,27012441,24小时不准笑：科学博士 絶対に笑ってはいけない科学博士24時,2016,松本人志,松本人志/浜田雅功/远藤章造/田中直树/月亭方正,喜剧/脱口秀,日语,日本,8.9,184,55.80%,34.10%,8.70%,0.70%,0.70%,34
48,26580232,看不见的客人 Contratiempo,2016,奥里奥尔·保罗,马里奥·卡萨斯/阿娜·瓦格纳/何塞·科罗纳多/巴巴拉·莱涅/弗兰塞斯克·奥雷利亚/帕科·图斯/大卫·塞尔瓦斯/伊尼戈·加斯特西/圣·耶拉莫斯/马内尔·杜维索/布兰卡·马丁内斯/佩雷·布拉索/霍尔迪·布鲁内特/鲍比·冈萨雷斯/玛蒂娜·乌尔塔多,剧情/悬疑/惊悚/犯罪,西班牙语,西班牙,8.8,1139833,48.60%,41.60%,9.20%,0.50%,0.10%,275130
49,26694988,比海更深 海よりもまだ深く,2016,是枝裕和,阿部宽/真木阳子/小林聪美/树木希林/中川雅也/池松壮亮/桥爪功/中村友理/高桥和也/小泽征悦/峰村理惠/古馆宽治/叶山奖之/吉泽太阳,剧情/家庭,日语,日本,8.8,181224,47.90%,43.40%,8.20%,0.40%,0.10%,61575
50,26703158,斯隆女士 Miss Sloane,2016,约翰·马登,杰西卡·查斯坦/古古·姆巴塔-劳/约翰·利思戈/艾丽森·皮尔/迈克尔·斯图巴/马克·斯特朗/杰克·莱西/道格拉斯·史密斯/萨姆·沃特森/迪伦·贝克/恩尼斯·埃斯莫/梅格翰·法伊/亚历桑德拉·卡斯蒂略/凯尔·麦克/杰克·默里,剧情/悬疑,英语,美国 / 法国,8.8,87235,49.50%,41.50%,8.20%,0.70%,0.20%,28712
51,26772763,黄阿丽：小眼镜蛇 Ali Wong: Baby Cobra,2016,杰伊·卡拉斯,黄阿丽,脱口秀,英语,美国,8.8,15205,51.20%,39.80%,8.00%,0.70%,0.30%,4737
53,26745206,野良神 OAD4 ノラガミ カピパーランド,2016,タムラコータロー,神谷浩史/内田真礼/梶裕贵/泽城美雪/福山润/巽悠衣子/丰崎爱生/小野大辅/山本兼平,动画,日语,日本,8.8,4234,54.60%,33.90%,10.60%,0.70%,0.20%,910
54,26922992,蔚蓝深海 National Theatre Live: The Deep Blue Sea,2016,Carrie Cracknell,海伦·麦克洛瑞/玛丽昂·贝利/Hubert Burton/Yolanda Kettle/Nick Fletcher/彼得·苏利文/汤姆·伯克/托米瓦·埃敦,剧情/爱情,英语,英国,8.8,1510,47.60%,43.60%,7.90%,0.70%,0.20%,715
56,26751961,血界战线：王者餐厅的王者 血界戦線 王様のレストランの王様,2016,松本理惠,小山力也/阪口大助/中井和哉/宫本充/折笠爱/小林优/绿川光/内田雄马/石田彰/森川智之/中田让治,喜剧/动画,日语,日本,8.8,1437,51.90%,36.70%,10.10%,0.70%,0.60%,223
57,26771186,柯南无国界：韩国 Conan in Korea,2016,柯南·奥布莱恩,柯南·奥布莱恩/史蒂文·延,喜剧/脱口秀,英语,美国,8.8,388,56.00%,31.90%,9.80%,1.60%,0.70%,90
58,26865994,她爱我 She Loves Me,2016,乔·麦斯特洛夫,劳拉·本纳蒂/扎克瑞·莱维/加文·克瑞尔/拜伦·詹宁斯/简·科拉克斯基/汤姆·麦高恩,,英语,美国,8.7,354,47.80%,43.30%,7.90%,0.70%,0.30%,151
59,26708269,詹姆斯·伯罗斯特辑 Must See TV: A Tribute to James Burrows,2016,詹姆斯·伯罗斯,詹姆斯·伯罗斯/柯尔斯蒂·艾利/詹妮弗·安妮斯顿/威尔·阿奈特/杰森·贝特曼/瓦莱丽·伯提内莉/卡尔利斯·布克/柯特妮·考克斯/乔恩·克莱尔/凯莉·库柯/特德·丹森/托尼·丹扎/丹尼·德维托/凯特·弗兰纳里/约翰尼·盖尔克奇/比利·加德尔/佩里·吉普林/凯尔希·格兰莫/伍迪·哈里森/西恩·海耶斯/西蒙·赫尔伯格/玛丽露·亨纳尔/贾德·赫希/大卫·海德·皮尔斯/卡罗尔·凯恩/斯泰西·基齐/丽莎·库卓/马特·勒布朗/简·丽芙丝/克里斯托弗·洛伊德/谢莉·朗/梅丽莎·麦卡西/艾瑞克·麦柯马克/黛博拉·梅辛/凯蒂·米克松/梅根·莫拉莉/毕比·诺维尔什/鲍勃·纽哈特/尼扬比·尼扬比/吉姆·帕森斯/雷亚·普尔曼/马修·派瑞/卡丽·普雷斯顿/约翰·拉岑贝格/大卫·休默/托尼·夏尔赫布/查理·辛/J·B·斯穆夫/帕特里克·沃伯顿/斯蒂文·韦伯/乔治·温迪特/雷诺·维尔森/Thomas F. Evans,喜剧,英语,英国,8.8,125,57.70%,29.50%,11.50%,0.00%,1.30%,32
60,26325320,血战钢锯岭 Hacksaw Ridge,2016,梅尔·吉布森,安德鲁·加菲尔德/萨姆·沃辛顿/文斯·沃恩/雨果·维文/卢克·布雷西/泰莉莎·帕尔墨/瑞切尔·格里菲斯/内森奈尔·布佐里克/理查德·劳斯伯格/马特·纳夫莱/费拉斯·迪拉尼/瑞安·柯尔/卢克·佩格勒,剧情/传记/历史/战争,英语 / 日语,澳大利亚 / 美国,8.7,725768,46.70%,41.40%,10.80%,0.90%,0.20%,174234
61,27073245,反叛的童谣 Revolting Rhymes,2016,扬·拉豪尔,罗伯·布莱顿/露丝·莱斯利/嘉玛·陈/伊萨克·亨普斯特德-怀特/蓓尔·波利/博迪·卡维尔/塔姆辛·格雷格/丹尼斯·史托霍伊/大卫·威廉姆斯/多米尼克·韦斯特/艾蜜莉·福雷斯特-埃文斯/迪伦·伊斯贝内/多莉·希维/伊登·马克尔,动画,英语,英国,8.7,40971,45.50%,44.10%,9.80%,0.50%,0.10%,13818
62,26390631,总有一天 Der kommer en dag,2016,杰斯珀·W·尼尔森,拉斯·米克尔森/苏菲·格拉宝/哈拉尔德·凯泽·赫尔曼/艾伯特·鲁德贝克·林哈特/劳里斯·斯科夫高·安德森/拉斯·兰特/索伦·希特-拉森/大卫·丹席克/松佳·里奇特/索比亚格·侯菲尔德/雅各布·B·恩格曼,剧情,丹麦语,丹麦,8.7,27641,47.20%,42.40%,9.60%,0.60%,0.20%,11157
63,26926703,超感猎杀：圣诞特别篇 Sense8: A Christmas Special,2016,拉娜·沃卓斯基,裴斗娜/杰米·克莱顿/蒂娜·德赛/塔彭丝·米德尔顿/马克思·雷迈特/米格尔·安赫尔·西尔维斯特/布莱恩·J·史密斯/托比·奥伍梅尔/弗莉玛·阿吉曼/纳威恩·安德利维斯/达丽尔·汉纳/马克斯·毛夫/阿方索·埃雷拉/埃伦迪拉·伊瓦拉/马丁·乌特克/泰伦斯·曼,剧情/科幻/同性,英语,美国,8.7,32745,51.00%,34.70%,12.20%,1.60%,0.50%,8048
64,34809304,周杰伦2016地表最强世界巡回演唱会,2016,钟佐泓,周杰伦,音乐,汉语普通话,中国台湾,8.8,1123,52.80%,35.20%,9.30%,2.00%,0.70%,312
65,25964201,理查三世 Richard III,2016,多米尼克·库克,本尼迪克特·康伯巴奇/朱迪·丹奇/凯莉·霍威/本·丹尼尔斯/苏菲·奥康内多/詹姆斯·弗雷特/菲比·福克斯/山姆·特劳顿/卢克·崔德威,剧情/传记/历史,英语,英国,8.7,2799,46.60%,41.40%,11.10%,0.40%,0.40%,979
66,25818372,Soul,2016,James King,Casey Fuller/C.J. Perry/Justin Miles,剧情,英语,美国,8.7,93,48.60%,39.20%,12.20%,0.00%,0.00%,33
67,26897405,乱莺 乱鶯,2016,いのうえひでのり,古田新太/稻森泉/大东骏介,剧情/动作/爱情,日语,日本,8.7,157,52.00%,39.00%,5.70%,0.80%,2.40%,65
68,26727885,爸爸参军去 Toen mijn vader een struik werd,2016,Nicole van Kilsdonk,Celeste Holsheimer/Matsen Montsma/Teun Kuilboer/诺杰·赫拉尔,家庭/儿童,荷兰语,荷兰 / 比利时 / 克罗地亚,8.7,112,48.90%,40.40%,7.40%,3.20%,0.00%,32
69,25986180,釜山行 부산행,2016,延尚昊,孔刘/郑有美/马东锡/金秀安/金义城/崔宇植/安昭熙/崔奎华/郑锡勇/艺秀晶/朴明申/张赫镇/禹都临/沈恩京,动作/惊悚/灾难,韩语,韩国,8.6,1089656,42.80%,44.80%,11.20%,0.90%,0.30%,248438
70,25980443,海边的曼彻斯特 Manchester by the Sea,2016,肯尼思·洛纳根,卡西·阿弗莱克/卢卡斯·赫奇斯/米歇尔·威廉姆斯/C·J·威尔逊/凯尔·钱德勒/卡拉·海沃德/格瑞辰·摩尔/泰特·多诺万/埃里卡·麦克德莫特/希瑟·伯恩斯/蜜西·雅格/斯蒂芬·亨德森/本·汉森/玛丽·梅伦/安东尼·埃斯特拉/苏珊·波尔法/罗伯特·塞拉/卡罗琳·皮克曼/约什·汉密尔顿/肖恩·菲茨吉本/肯尼思·洛纳根/安娜·巴瑞辛尼科夫/利亚姆·麦克尼尔/马修·布罗德里克/Kt·巴达萨罗/威廉·博恩凯塞尔/弗兰克·达戈斯蒂诺/托马斯·马里亚诺,剧情/家庭,英语,美国,8.6,460571,43.90%,43.30%,11.50%,1.00%,0.20%,149415
71,26710657,芬妮的旅程 Le voyage de Fanny,2016,萝拉·多尔伦,莱奥尼·西索德/芳汀·阿杜安/朱莉安娜·勒普罗/赖恩·布罗迪/安妮·梅林格/卢·拉布雷希特/塞西尔·德·弗朗斯/玛龙·莱瓦纳/马丁·斯威比,剧情/战争,法语,法国 / 比利时,8.6,34523,40.00%,49.10%,10.30%,0.40%,0.10%,11465
72,26682565,在西伯利亚森林中 Dans les forêts de Sibérie,2016,萨菲·奈布,拉斐尔·佩尔索纳/Evgeniy Sidikhin,冒险,法语 / 俄语 / 英语,法国,8.5,6077,40.60%,47.00%,11.60%,0.80%,0.10%,2762
73,26635319,伤物语2：热血篇 傷物語Ⅱ 熱血篇,2016,新房昭之,神谷浩史/坂本真绫/堀江由衣/樱井孝宏/入野自由/江原正士/大塚芳忠,喜剧/动作/动画/奇幻,日语,日本,8.6,7077,48.30%,36.20%,12.90%,1.80%,0.80%,1370
74,26779555,柠檬水 Lemonade,2016,碧昂丝,碧昂丝/杰斯/克洛伊·贝利/海莉·贝利/米凯拉·迪普利斯/马修·诺尔斯/蒂娜·诺尔斯/理查德·劳森/奎文赞妮·瓦利斯/塞蕾娜·威廉姆斯/赞达亚/阿曼德拉·斯坦伯格 ,音乐,英语,美国,8.6,2198,52.70%,29.50%,13.80%,2.90%,1.10%,461
75,26895987,庇护所 SHELTER,2016,赤井俊文,三泽纱千香,科幻/动画,日语,日本 / 美国,8.6,1332,49.80%,34.20%,14.50%,0.60%,0.80%,315
77,26798020,周六夜现场 Saturday Night Live  Fred Armisen/Courtney Barnett,2016,弗莱德·阿米森,弗莱德·阿米森/Courtney Barnett,,英语,美国,8.6,133,47.70%,38.40%,10.50%,1.20%,2.30%,51
78,26905807,火星时代前传 Before Mars,2016,Lloyd Lee Choi,Nekhebet Kum Juch/Uatchet Jin Juch/Joyce Wong,剧情/科幻,英语,美国,8.5,84,47.00%,40.90%,6.10%,1.50%,4.50%,23
79,26683290,你的名字。 君の名は。,2016,新海诚,神木隆之介/上白石萌音/长泽雅美/市原悦子/成田凌/悠木碧/岛崎信长/石川界人/谷花音/寺杣昌纪/大原沙耶香/井上和彦/茶风林/加藤有花/花泽香菜/寺崎裕香,剧情/爱情/动画,日语,日本,8.5,1266286,43.60%,38.50%,15.90%,1.60%,0.40%,314307
80,26614893,完美陌生人 Perfetti sconosciuti,2016,保罗·杰诺维塞,马可·贾利尼/卡夏·斯穆特尼亚克/爱德华多·莱奥/阿尔芭·罗尔瓦赫尔/瓦莱里奥·马斯坦德雷亚/安娜·福列塔/朱塞佩·巴蒂斯通,剧情/喜剧,意大利语,意大利,8.5,489625,40.10%,46.90%,12.00%,0.80%,0.20%,147456
81,26414979,丘奇先生 Mr. Church,2016,布鲁斯·贝尔斯福德,艾迪·墨菲/布丽特·罗伯森/娜塔莎·麦克艾霍恩/泽维尔·塞缪尔/露西·弗莱/克里斯蒂安·马德森/麦肯娜·格瑞丝/娜塔莉·考夫林/麦迪逊·沃尔夫/林肯·梅尔彻,剧情/喜剧,英语,美国,8.5,24767,42.50%,43.60%,12.60%,1.00%,0.20%,7630
82,26307755,季春奶奶 계춘할망,2016,尹鸿承,尹汝贞/金高银/崔珉豪/申恩廷/朴敏智/柳俊烈/金熙元/梁益准/申银贞,剧情/家庭,韩语,韩国,8.5,59767,39.90%,46.40%,12.80%,0.70%,0.10%,20659
83,24860289,西葫芦的生活 Ma vie de courgette,2016,克洛德·巴拉斯,加斯帕德·施拉特/西斯汀·穆拉特/波林·雅库/米歇尔·维耶尔莫/劳尔·里贝拉/埃斯特尔·亨纳德/埃利奥特·桑切斯/卢·威克/布丽奇特·罗塞特/娜塔莎·科奇库莫夫/莫妮卡·布德/阿德里安·巴拉佐尼/维诺妮可·蒙特尔/罗马妮·科瑞特尼/伊芙琳·布维尔/伦纳德·杰纳/安妮-劳雷·布雷西/让-克劳德·伊森曼/伊安尼斯·雅库/埃里克·阿巴特/威尔·福特/尼克·奥弗曼/艾利奥特·佩吉/玢·罗宾斯/艾米·塞德丽丝/克拉拉·杨,剧情/动画/儿童,法语,瑞士 / 法国,8.5,27545,37.30%,49.00%,12.70%,0.80%,0.20%,10559
84,26719140,惠特妮·卡明：我是你女朋友 Whitney Cummings: I'm Your Girlfriend,2016,惠特妮·卡明 Whitney Cummings,惠特妮·卡明,喜剧,英语,美国,8.5,1303,42.10%,43.30%,12.60%,1.30%,0.70%,380
85,26924748,无人之境 National Theatre Live: No Man's Land,2016,哈罗德·品特,伊恩·麦克莱恩/帕特里克·斯图尔特/欧文·蒂尔/戴米恩·莫隆尼,剧情/戏曲,英语,英国,8.5,2060,37.10%,50.00%,12.00%,0.80%,0.10%,999
86,26631353,妄想学生会2 OAD4 生徒会役員共* OAD4,2016,金泽洪充,浅沼晋太郎/日笠阳子/佐藤聪美/矢作纱友里/下田麻美/小林优/上坂堇,喜剧/动画,日语,日本,8.5,425,45.90%,36.90%,15.40%,1.20%,0.60%,52
